"action_id","location_scope","region_code","communal_code","doc_relevance","primitive_type","primitive_relation","match_type","policy_subject","subject_match_reason","signal_confidence","explicitness","document_type","document_name","relevance_note","evidence_text","page"
"c40_0010","municipal","05","05601","high","target","targets","direct","Explicit implementation target.","The policy atom names the same intervention object and mechanism as the action profile.","high","explicit","paccc","Plan de Acción Comunal de Cambio Climático San Antonio 2023-2030","The policy atom names the same intervention object and mechanism as the action profile.","* Reducción del consumo de energía en un 20% en las edificaciones nuevas","117"
"c40_0010","municipal","12","12101","high","target","targets","direct","Explicit performance target for M008","The policy atom names the same intervention object and mechanism as the action profile.","high","explicit","paccc","Plan de Acción Comunal de Cambio Climático Punta Arenas 2023-2030","The policy atom names the same intervention object and mechanism as the action profile.","* 50% de las edificaciones nuevas municipales y privadas certificadas con sellos verdes. * Reducción del consumo de energía en un 20% en las edificaciones nuevas certificadas. * 3 convenios de colaboración y/o alianzas para la certificación energética","124"
"c40_0010","national","00","","high","action","commits","contextual","Table-listed action: |Medida 1 (MM.1)|Implementación de la<br>actualización de la<br>reglamentación térmica del 2007|A1|Difusión y/o capacitación sobre<br>la entrada en vigor de la<br>actualización de la RT||X|","The policy atom provides narrowly relevant context without implementing or enabling the action.","low","inferred","sector_plan","Plan de Mitigación Sector Ciudades","The policy atom provides narrowly relevant context without implementing or enabling the action.","|Medida 1 (MM.1)|Implementación de la<br>actualización de la<br>reglamentación térmica del 2007|A1|Difusión y/o capacitación sobre<br>la entrada en vigor de la<br>actualización de la RT||X|","148"
"c40_0010","national","00","","high","action","commits","direct","The Ministry of Housing and Urbanism (MINVU) will implement the updated thermal regulation from 2007.","The policy atom names the same intervention object and mechanism as the action profile.","high","explicit","sector_plan","Plan de Mitigación Sector Ciudades","The policy atom names the same intervention object and mechanism as the action profile.","Implementación de la Actualización de la reglamentación térmica del 2007","83"
"c40_0010","national","00","","high","action","commits","indirect","Action 2 involves conducting studies for the future update of thermal regulation.","The policy atom is a concrete enabling measure but does not implement the full action.","medium","inferred","sector_plan","Plan de Mitigación Sector Ciudades","The policy atom is a concrete enabling measure but does not implement the full action.","Estudios para la futura actualización de la reglamentación térmica.","85"
"c40_0010","national","00","","high","context","contextualizes","contextual","Approximately 53% of homes in Chile were built before thermal regulations, and it is likely that only a small percentage met the required standard.","The policy atom provides narrowly relevant context without implementing or enabling the action.","low","inferred","sector_plan","Plan de Mitigación Sector Ciudades","The policy atom provides narrowly relevant context without implementing or enabling the action.","Aproximadamente el 53% de las viviendas (casas y departamentos) en Chile fueron construidas antes de la reglamentación térmica (Estrategia de transición energética residencial, 2020), y es probable que solo un pequeño porcentaje de ellas haya cumplido el estándar requerido.","70"
"c40_0010","national","00","","high","context","contextualizes","contextual","The first stage of thermal regulations (OGUC Art. 4.1.10) has been in effect since March 2000, requiring thermal insulation for roofs, followed by a second stage from January 4, 2007, extending requirements to the entire building envelope,","The policy atom provides narrowly relevant context without implementing or enabling the action.","low","inferred","sector_plan","Plan de Mitigación Sector Ciudades","The policy atom provides narrowly relevant context without implementing or enabling the action.","Por otra parte, la primera etapa de la reglamentación térmica (OGUC Art. 4.1.10) se encuentra vigente desde marzo 2000 e indicaba requisitos de aislamiento térmico del techo, y luego, en una segunda etapa (desde 04 de enero de 2007), requisitos para toda la envolvente, cubierta, muros, pisos ventilados y ventanas de viviendas nuevas.","70"
"c40_0010","national","00","","low","target","targets","contextual","Al 2025, contar con la Cuarta versión de Reglamentación Térmica en desarrollo con enfoque «energía neta cero».","The policy atom provides narrowly relevant context without implementing or enabling the action.","low","inferred","framework","Estrategia Climática de Largo Plazo","The policy atom provides narrowly relevant context without implementing or enabling the action.","Al 2025, contar con la Cuarta versión de Reglamentación Térmica en desarrollo con enfoque «energía neta cero».","68"
"c40_0010","national","00","","low","target","targets","contextual","Al 2030, la Cuarta versión de Reglamentación Térmica que tiende al estándar Net cero energía está implementada.","The policy atom provides narrowly relevant context without implementing or enabling the action.","low","inferred","framework","Estrategia Climática de Largo Plazo","The policy atom provides narrowly relevant context without implementing or enabling the action.","Al 2030, la Cuarta versión de Reglamentación Térmica que tiende al estándar Net cero energía está implementada.","68"
"c40_0012","national","00","","high","context","contextualizes","direct","el desarrollo de edificación pública sostenible permite mejorar la calidad de vida de los usuarios mediante los criterios de diseño pasivo, eficiencia energética, entre otros aspectos.","The policy atom names the same intervention object and mechanism as the action profile.","high","explicit","sector_plan","Plan de Mitigación Sector Infraestructura","The policy atom names the same intervention object and mechanism as the action profile.","el desarrollo de edificación pública sostenible permite mejorar la calidad de vida de los usuarios mediante los criterios de diseño pasivo, eficiencia energética, entre otros aspectos.","27"
