action_id,action_name,primary_outcome,primary_intervention,primary_channel,sr15_options,match_strength,mapping_rule,mapping_note
c40_0010,Introduce energy-efficiency standards for new residential buildings,emissions_efficiency,regulatory,building_residential,Low/zero-energy buildings,direct,rule_eff_res_new,New construction signal
c40_0012,Introduce energy-efficiency standards for new institutional buildings,emissions_efficiency,regulatory,building_institutional_public,Low/zero-energy buildings,direct,rule_eff_building,
c40_0013,Support Implementation of Industrial Building Efficiency Standards.,emissions_efficiency,regulatory,building_industrial,Low/zero-energy buildings,direct,rule_eff_building,
c40_0015,Retrofit residential buildings for energy efficiency,emissions_efficiency,infrastructure,building_residential,Efficient appliances,direct,rule_eff_res_retrofit,Residential retrofit primary → Efficient appliances (existing-stock equipment/HVAC swaps). v2 narrowed from Low/zero|Efficient pair.
c40_0016,Retrofit commercial and institutional other non-residential buildings  for energy efficiency ,emissions_efficiency,infrastructure,building_institutional_public,Low/zero-energy buildings,direct,rule_eff_building,
c40_0017,Retrofit municipal buildings for energy efficiency,emissions_efficiency,infrastructure,building_institutional_public,Low/zero-energy buildings,direct,rule_eff_building,
c40_0018,Optimize energy efficiency and sustainability standards for existing industrial infrastructure,emissions_efficiency,regulatory,building_industrial,Low/zero-energy buildings,direct,rule_eff_building,
c40_0023,Adopt zero-emission bus fleets for public transport,emissions_fuel_switch,,public_bus,Electric cars and buses,direct,rule_fuel_transport,
c40_0025,Promote deployment of zero-emission freight fleets (trucks),emissions_fuel_switch,program,freight,Electric cars and buses,direct,rule_fuel_transport,
c40_0029,Electrify municipal vehicle fleets,emissions_fuel_switch,,public_bus,Electric cars and buses,direct,rule_fuel_transport,
c40_0034,Enact and enforce material bans in order to restrict single use and non-recyclable materials,emissions_demand_reduction,regulatory,waste_regulation,Reduced food wastage,weak,rule_demand_waste,
c40_0035,Optmize waste management systems ,emissions_waste_diversion,planning,waste_regulation,Reduced food wastage,weak,rule_waste_msw,General MSW (channel=waste_regulation) — SR1.5 covers only food waste; cite with low confidence
c40_0036,Upgrade Landfills to Engineered Sanitary Landfills with Gas Capture.,emissions_waste_diversion,infrastructure,landfill,Bioenergy,partial,rule_fuel_biogas,Reclassified to Bioenergy (was Reduced food wastage / weak). Engineered landfills with gas capture deliver methane-to-energy; partial because the action is broader (landfill upgrade) than pure bioenergy. [v3 reclassified 2026-05-21]
c40_0037,"Implement residential and business segregated collection of recyclables, organic, and residual waste",emissions_waste_diversion,program,recycling_collection,Reduced food wastage,direct,rule_waste_food,
c40_0040,Implement Volume-Based Collection policy,emissions_demand_reduction,regulatory,waste_regulation,Reduced food wastage,weak,rule_demand_waste,
c40_0042,Expand urban and peri-urban green spaces,carbon_sequestration,infrastructure,urban_green,Afforestation & reforestation,weak,rule_carbon_forest,Urban / coastal / wetland NBS not directly in SR1.5; using Afforestation as closest proxy
c40_0071,Promote the phase out the reliance on fossil fuels for cooking (in favour of high-efficiency electric cookstoves such as induction stoves).,emissions_fuel_switch,program,not_applicable,(cross-cutting) unclassified,cross_cutting,rule_fuel_na,Fuel-switch with no channel signal
icare_0001,Improve heat and energy recovery,emissions_efficiency,,industrial_process,Energy efficiency,direct,rule_eff_industrial,
icare_0002,Promote and expand the use of the Brazilian Energy Labeling Program for Buildings,emissions_efficiency,program,building_institutional_public,Low/zero-energy buildings,direct,rule_eff_building,
icare_0006,Develop integrated renewable energy planning and solar–battery microgrids for rural and peri-urban areas,emissions_fuel_switch,planning,renewable_general,Solar PV,direct,rule_fuel_solar,Solar-battery microgrids — explicitly solar+storage; primary → Solar PV. v2 narrowed from Wind|Solar PV|Bioenergy.
icare_0008,Enable smart grid integration and distributed energy storage through municipal collaboration and demonstration projects,emissions_efficiency,infrastructure,renewable_general,Smart grids,direct,rule_smart_grid_keyword,"Renewable efficiency — averages Wind and Solar SR1.5 priors | Description mentions smart grid + distributed energy storage explicitly; SR1.5 Smart grids option (4.SM.12) is the correct match, not generic renewable. (previously: Wind (on-shore & off-shore)|Solar PV)"
icare_0009,Deploy cogeneration systems in industries,emissions_efficiency,infrastructure,industrial_process,Energy efficiency,direct,rule_eff_industrial,
icare_0010,Promote Net-Zero and Green Building Certifications,emissions_efficiency,program,building_residential,Low/zero-energy buildings,direct,rule_eff_res_new,New construction signal
icare_0012,Expand solar energy generation on municipal facilities and public assets,emissions_fuel_switch,infrastructure,solar_pv,Solar PV,direct,rule_fuel_solar,
icare_0015,Promote Mini and Micro-Hydropower and Biomass Energy,emissions_fuel_switch,infrastructure,hydro,(cross-cutting) hydropower,no_match,rule_fuel_hydro,Hydropower not in SR1.5 Ch.4 SM mitigation options
icare_0016,"Promote solar thermal and heat pump systems for water heating in residential, commercial, and public buildings",emissions_efficiency,program,water_heating,Efficient appliances,direct,rule_eff_appliance,water_heating treated as Efficient appliances category
icare_0023,Upgrade and maintain electrical substations,emissions_efficiency,infrastructure,renewable_general,Smart grids,direct,rule_smart_grid_keyword,Renewable efficiency — averages Wind and Solar SR1.5 priors | Description mentions substation modernization; grid-modernisation falls under SR1.5 Smart grids option (4.SM.12). (previously: Wind (on-shore & off-shore)|Solar PV)
icare_0024,Integrate renewables into municipal water systems,emissions_fuel_switch,infrastructure,renewable_general,Solar PV,weak,rule_fuel_solar,Renewables in municipal water systems are predominantly PV-driven in Chilean context; primary → Solar PV (weak: action is generic). v2 narrowed from Wind|Solar PV|Bioenergy.
icare_0025,Promote energy-efficient and climate-resilient housing for low-income and informal settlements,emissions_efficiency,program,building_residential,Efficient appliances,direct,rule_eff_res_retrofit,Informal-settlement EE upgrades focus on equipment/heating; primary → Efficient appliances. v2 narrowed from Low/zero|Efficient pair.
icare_0026,Implement time-of-use electricity tariffs to enhance demand-side flexibility and efficiency,emissions_demand_reduction,financial,financial_incentive_scheme,(cross-cutting) policy instrument,cross_cutting,rule_demand_policy,Demand-reduction policy instrument (channel=financial_incentive_scheme) — no specific SR1.5 option
icare_0027,Create financing programs for local renewable energy projects,emissions_fuel_switch,financial,financial_incentive_scheme,(cross-cutting) financial incentive,cross_cutting,rule_fuel_finance,Financial-instrument channel — no specific SR1.5 option
icare_0028,"Promote passive cooling through natural shading and ventilation in residential, commercial, and public buildings",emissions_efficiency,regulatory,building_residential,Low/zero-energy buildings,direct,rule_eff_res_passive,Passive cooling via shading/ventilation is a building-shell (envelope) design intervention; primary → Low/zero-energy buildings. v2 narrowed from Low/zero|Efficient pair.
icare_0031,Capture & Use Biogas at Wastewater Treatment Plants',emissions_waste_diversion,,biogas,Bioenergy,direct,rule_fuel_biogas,"Reclassified to Bioenergy (was Reduced food wastage / direct). Biogas capture at wastewater treatment plants is the canonical bioenergy-from-MSW pathway, not food-wastage reduction. [v3 reclassified 2026-05-21]"
icare_0033,Install biodigesters in rural properties,emissions_fuel_switch,infrastructure,biogas,Bioenergy,weak,rule_fuel_biogas,Scale mismatch — household-scale biodigesters; SR1.5 Bioenergy option assesses utility-scale and overstates land-use/water-use barriers.
icare_0034,Improve Fuel Supply Systems for Industrial Heating,emissions_efficiency,,industrial_process,Energy efficiency,direct,rule_eff_industrial,
icare_0035,Enhance industrial energy efficiency processes,emissions_efficiency,infrastructure,industrial_process,Energy efficiency,direct,rule_eff_industrial,
icare_0040,Deploy energy-efficient and solar-powered street lighting across all neighborhoods,emissions_efficiency,infrastructure,street_lighting,Efficient appliances,direct,rule_eff_appliance,street_lighting treated as Efficient appliances category
icare_0045,"Promote organic, regenerative and agroecological agriculture in rural areas",carbon_sequestration,program,agricultural_soil,Soil carbon sequestration & biochar,direct,rule_carbon_soil,
icare_0049,Develop regional hubs for renewable energy production,emissions_fuel_switch,infrastructure,renewable_general,Solar PV,weak,rule_fuel_solar,Regional renewable hubs are generic; primary → Solar PV (most-common Chilean renewable). v2 narrowed from Wind|Solar PV|Bioenergy.
icare_0050,Accelerate the adoption of Agroforestry',carbon_sequestration,,agricultural_soil,Soil carbon sequestration & biochar,direct,rule_carbon_soil,
icare_0053,Support cooperatives of voluntary waste collectors to aggregate into small enterprises and expand into organics management,emissions_waste_diversion,program,organic_composting,Reduced food wastage,direct,rule_waste_food,
icare_0064,Develop an organic waste management strategy ,emissions_waste_diversion,planning,organic_composting,Reduced food wastage,direct,rule_waste_food,
