action_id,action_name,subsector,sector,coverage_level,n_dedicated_channels,n_general_channels,example_channels
c40_0010,Introduce energy-efficiency standards for new residential buildings,I.1,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
c40_0012,Introduce energy-efficiency standards for new institutional buildings,I.2,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
c40_0013,Support Implementation of Industrial Building Efficiency Standards.,I.3,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
c40_0015,Retrofit residential buildings for energy efficiency,I.1,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
c40_0016,Retrofit commercial and institutional other non-residential buildings  for energy efficiency ,I.2,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
c40_0017,Retrofit municipal buildings for energy efficiency,I.2,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
c40_0018,Optimize energy efficiency and sustainability standards for existing industrial infrastructure,I.3,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
c40_0023,Adopt zero-emission bus fleets for public transport,II.1,transportation,broad-only,0,8,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
c40_0025,Promote deployment of zero-emission freight fleets (trucks),II.1,transportation,broad-only,0,8,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
c40_0029,Electrify municipal vehicle fleets,II.1,transportation,broad-only,0,8,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
c40_0034,Enact and enforce material bans in order to restrict single use and non-recyclable materials,III.1,waste,sector-specific,2,11,FPR 2026 - Fondo para el Reciclaje (cl-mma); Agua Potable Rural / Servicios Sanitarios Rurales (APR/SSR) — inversión (cl-mop)
c40_0035,Optmize waste management systems ,III.1,waste,sector-specific,2,11,FPR 2026 - Fondo para el Reciclaje (cl-mma); Agua Potable Rural / Servicios Sanitarios Rurales (APR/SSR) — inversión (cl-mop)
c40_0036,Upgrade Landfills to Engineered Sanitary Landfills with Gas Capture.,III.1,waste,sector-specific,2,11,FPR 2026 - Fondo para el Reciclaje (cl-mma); Agua Potable Rural / Servicios Sanitarios Rurales (APR/SSR) — inversión (cl-mop)
c40_0037,"Implement residential and business segregated collection of recyclables, organic, and residual waste",III.1,waste,sector-specific,2,11,FPR 2026 - Fondo para el Reciclaje (cl-mma); Agua Potable Rural / Servicios Sanitarios Rurales (APR/SSR) — inversión (cl-mop)
c40_0040,Implement Volume-Based Collection policy,III.1,waste,sector-specific,2,11,FPR 2026 - Fondo para el Reciclaje (cl-mma); Agua Potable Rural / Servicios Sanitarios Rurales (APR/SSR) — inversión (cl-mop)
c40_0042,Expand urban and peri-urban green spaces,V.2,afolu,sector-specific,2,12,"Programa Concursable de Espacios Públicos (cl-minvu); Fondo de Conservación, Recuperación y Manejo Sustentable del Bosque Nativo (Ley 20.283) (cl-conaf)"
