src_action_id,publisher_id,action_name,action_type,description,investment_cost,implementation_timeline,subsector_number,gpc_reference_number,emissions_impact_text,emissions_impact_numeric,cobenefits,action_role,intervention_type,outcome_summary,intervention_summary,generation_method,priority_or_paradigm,sector_names
CONS_0103,ssg,Shift short-distance freight transportation to cargo bikes,mitigation,"Transporting freight short distances, whether it’s last-mile delivery or movement of goods around a farmers’ market, can often be carried out on cargo bikes.",,,II,"[""II.1.1"", ""II.1.2"", ""II.1.3""]",,,,intervention,,,,expert_reviewed,1. Avoid,transportation
CONS_0104,ssg,Increase urban density,mitigation,"Increasing urban density is a key component of city planning to reduce the amount of energy required for travel, for building heating and cooling, and for all types of infrastructure from electricity network expansion to water and wastewater piping, to road networks, transit services, street lighting, fire hydrants, and fire rescue services. 
Communities in which residents are closer together, closer to their places of employment, schools, and the services they access regularly can travel to more of their destinations on bikes, walking or by transit. This in turn reduces the need for large-scale roadways to handle single-occupant vehicles. 
Similarly, buildings with more shared walls and fewer external walls are more energy efficient. This means that row housing is easier to make more energy efficient than single-family housing, and apartment complexes are easier to make more energy efficient than row housing.  
There are many ways to increase urban density. Municipalities can leverage their zoning bylaws to require and incentivize denser housing or commercial developments in selected zones, as well as 'mixed-use' developments  in which there are dwellings, services and businesses all within the same building or directly adjacent to each other. Municipalities can also require active transportation infrastructure and limit the amount of parking for vehicles, to simultaneously incentivize active transportation and discourage vehicle use, particularly for short trips.",,,V,"[""V.2""]",,,,intervention,,,,expert_reviewed,2. Reduce,urban_form
CONS_0105,ssg,Add green roofs to new buildings to reduce the energy required to cool the building.,mitigation,"What are green roofs?
A green roof or living roof is a roof of a building that is partially or completely covered with vegetation and a growing medium, planted over a waterproofing membrane. It may also include additional layers such as a root barrier and drainage and irrigation systems.
Why do we include this action? 
Installing green roofs provides many benefits including: 
- Creating a natural buffer that insulates and primarily cools the building's interior, reducing the energy required to cool the space with technology. A simple sedum roof on a building in Canada provides energy savings (for cooling) of 75% in a single-storey building and 29% in a 2-storey building.
- Sequestering CO2 in the vegetation growth on the roof, removes GHGs from the atmosphere. A simple sedum roof on a building in Canada sequesters 13.74 kg / m2 / year.
- Extending the life expectancy of the roof surface below the green roof by moderating the temperature variation it is exposed to.
- Increasing habitat for insects and birds, supporting an increase in biodiversity.
- Absorbing rainfall during storm events, reducing the volume of water reaching stormwater infrastructure.
- Absorption of other air pollutants by the rooftop vegetation, producing better outdoor quality around the building.",,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,2. Reduce,stationary_energy
CONS_0106,ssg,"Reduce average dwelling size, and increase the number of multi-family dwellings while reducing the number of single family dwellings, for new residential construction",mitigation,"The most difficult wall of any building to make energy-efficient is an exterior wall, because of the temperature gradient between outside and inside. For the same reason, multi-unit residential buildings are more energy-efficient ways to house people than to build many single-family homes.

Sinilarly, decreasing the average size of homes also reduces the amount of energy required to heat and cool a community’s per capita living space.",,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,2. Reduce,stationary_energy
CONS_0107,ssg,"Remove buildings that cannot be retrofit, refurbished or repurposed",mitigation,"If buildings exist that cannot be renovated sufficiently, they should be taken down. As much as possible the components of the building should be re-used. Those that cannot be re-used should be broken down into their constituent parts to become materials to be used for other manufacturing.",,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,2. Reduce,stationary_energy
CONS_0108,ssg,Retrofit non-residential buildings to improve energy efficiency and decrease energy use,mitigation,See Retrofit existing buildings to reduce energy use and improve energy efficiency for details.,,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,2. Reduce,stationary_energy
CONS_0109,ssg,Install faucet aerators,mitigation,,,,III,"[""III.4.1""]",,,,intervention,,,,expert_reviewed,,water_use
CONS_0110,ssg,Improve energy efficiency of appliances and other plug load,mitigation,"Although SSG rarely models this action, it is important that communities support replacing appliances with energy-efficient models. This is part of the overall need to reduce per-household energy consumption before switching everything to electricity. This is also an area that national standards are already addressing, so it isn't as high a priority as other actions. 
Because it isn’t normally included in SSG’s modelling, and is often part of existing programs, it has not been identified as 'Not Generally Included'. However, it can still be discussed with a client during projects or included in Climate Action Plans, , as requiring certain standards can be included in corporate buildings standards, new building standards, affordable housing standards, etc.		
The most commonly-used reference in North America for identifying high-efficiency appliances is the American ENERGY STAR program (https://www.energystar.gov/?s=mega).",,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,2. Reduce,stationary_energy
CONS_0111,ssg,Manage energy distribution more efficiently to reduce overall consumption,mitigation,"'Smart technologies' can be used to reduce overall energy consumption. For example, smart home thermostats and building management controls allow you to program heating and air-conditioning equipment to keep the building at a desired temperature only during specific hours, and to optimize its energy use at other times. Lighting such as outdoor illuminated signs can also be programmed to operate only at specific times. And the use of presence and brightness detectors can optimize lighting and reduce overall energy demand. 
Technologies can also allow:
- Heat extracted from an ice arena in a recreation centre to be pumped over to a swimming pool within the same building, avoiding the waste that occurs if you generate heat for the pool while simultaneously blowing heat out of the ice arena. 
- Communities to optimize their overall energy consumption by diverting waste heat from one building (an industrial facility for example) to another (perhaps a commercial facility) through a district energy system.
- Groups of buildings to store excess renewable energy when a system is generating more than is required, and store it for use later, rather than releasing it and having to draw power from the grid later.",,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,,stationary_energy
CONS_0112,ssg,Increase pumping efficiency,mitigation,"Water and wastewater treatment are often the single largest consumers of energy within the portfolio a city’s corporately owned facilities. At the same time, they are often older, using much less efficient pumps than are available now, and wasting energy in a multitude of ways. The specific changes required will vary by facility and require detailed, engineering-level analyses. But for our modelling, we can assume simplified expressions of improvements such as, “Overall efficiency of water pumping is improved by 5% by 2035.” (That’s just an example.) This action should only be used if we have enough detail about the whole water treatment system to be able to control only the pump portion of the facility’s total energy use.",,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,2. Reduce,stationary_energy
