sm_section,option,dimension,indicator,is_city_varying,city_indicator,city_indicator_datasource,sr15_code,sign
Energy — renewables,Solar PV,economic,cost-effectiveness,yes,median_household_income,cl-casen 2022,C,1
Land & ecosystem,Reduced food wastage,economic,cost-effectiveness,yes,median_household_income,cl-casen 2022,C,1
Land & ecosystem,Sustainable intensification,economic,cost-effectiveness,yes,median_household_income,cl-casen 2022,C,1
"Urban — planning, EV, sharing",Land-use & urban planning,economic,cost-effectiveness,yes,median_household_income,cl-casen 2022,C,1
"Urban — planning, EV, sharing",Sharing schemes,economic,cost-effectiveness,yes,median_household_income,cl-casen 2022,C,1
"Urban — transit, active, aviation",Public transport,economic,cost-effectiveness,yes,median_household_income,cl-casen 2022,C,1
"Urban — transit, active, aviation",Non-motorised transport,economic,cost-effectiveness,yes,median_household_income,cl-casen 2022,C,1
"Urban — transit, active, aviation",Aviation & shipping,economic,cost-effectiveness,yes,median_household_income,cl-casen 2022,A,1
"Urban — grid, appliances, buildings",Efficient appliances,economic,cost-effectiveness,yes,median_household_income,cl-casen 2022,C,1
"Urban — grid, appliances, buildings",Low/zero-energy buildings,economic,cost-effectiveness,yes,median_household_income,cl-casen 2022,C,1
Industrial,Energy efficiency,economic,cost-effectiveness,yes,median_household_income,cl-casen 2022,C,1
Industrial,Electrification & hydrogen,economic,cost-effectiveness,yes,median_household_income,cl-casen 2022,A,1
"CDR — BECCS, DACCS",BECCS,economic,cost-effectiveness,yes,median_household_income,cl-casen 2022,A,1
"CDR — BECCS, DACCS",DACCS,economic,cost-effectiveness,yes,median_household_income,cl-casen 2022,A,1
"CDR — afforestation, soil, weathering",Afforestation & reforestation,economic,cost-effectiveness,yes,median_household_income,cl-casen 2022,C,1
"CDR — afforestation, soil, weathering",Soil carbon sequestration & biochar,economic,cost-effectiveness,yes,median_household_income,cl-casen 2022,C,1
"CDR — afforestation, soil, weathering",Enhanced weathering,economic,cost-effectiveness,yes,median_household_income,cl-casen 2022,A,1
Energy — renewables,Solar PV,economic,cost-effectiveness,yes,poverty_rate,cl-casen 2022,C,-1
Land & ecosystem,Reduced food wastage,economic,cost-effectiveness,yes,poverty_rate,cl-casen 2022,C,-1
Land & ecosystem,Sustainable intensification,economic,cost-effectiveness,yes,poverty_rate,cl-casen 2022,C,-1
"Urban — planning, EV, sharing",Land-use & urban planning,economic,cost-effectiveness,yes,poverty_rate,cl-casen 2022,C,-1
"Urban — planning, EV, sharing",Sharing schemes,economic,cost-effectiveness,yes,poverty_rate,cl-casen 2022,C,-1
"Urban — transit, active, aviation",Public transport,economic,cost-effectiveness,yes,poverty_rate,cl-casen 2022,C,-1
"Urban — transit, active, aviation",Non-motorised transport,economic,cost-effectiveness,yes,poverty_rate,cl-casen 2022,C,-1
"Urban — transit, active, aviation",Aviation & shipping,economic,cost-effectiveness,yes,poverty_rate,cl-casen 2022,A,-1
"Urban — grid, appliances, buildings",Efficient appliances,economic,cost-effectiveness,yes,poverty_rate,cl-casen 2022,C,-1
"Urban — grid, appliances, buildings",Low/zero-energy buildings,economic,cost-effectiveness,yes,poverty_rate,cl-casen 2022,C,-1
Industrial,Energy efficiency,economic,cost-effectiveness,yes,poverty_rate,cl-casen 2022,C,-1
Industrial,Electrification & hydrogen,economic,cost-effectiveness,yes,poverty_rate,cl-casen 2022,A,-1
"CDR — BECCS, DACCS",BECCS,economic,cost-effectiveness,yes,poverty_rate,cl-casen 2022,A,-1
"CDR — BECCS, DACCS",DACCS,economic,cost-effectiveness,yes,poverty_rate,cl-casen 2022,A,-1
"CDR — afforestation, soil, weathering",Afforestation & reforestation,economic,cost-effectiveness,yes,poverty_rate,cl-casen 2022,C,-1
"CDR — afforestation, soil, weathering",Soil carbon sequestration & biochar,economic,cost-effectiveness,yes,poverty_rate,cl-casen 2022,C,-1
"CDR — afforestation, soil, weathering",Enhanced weathering,economic,cost-effectiveness,yes,poverty_rate,cl-casen 2022,A,-1
Energy — renewables,Solar PV,economic,distributional_effects,yes,poverty_rate,cl-casen 2022,C,-1
