src_action_id,publisher,action_name,description,outcome_summary,intervention_summary
ipcc_0001,ipcc,Promover un desarrollo urbano compacto y orientado al transporte público,"Fomenta el desarrollo urbano compacto y de uso mixto para reducir las distancias de viaje, la dependencia del automóvil y las emisiones de GEI asociadas. Las medidas incluyen el desarrollo orientado al transporte público (TOD), reformas de zonificación, densificación alrededor de los corredores de transporte e integración de la planificación del uso del suelo y la movilidad. Especialmente adecuado para ciudades grandes con capacidad para actualizar planes maestros e invertir en infraestructura de transporte público.",La forma urbana se vuelve más compacta y de uso mixto.,La ciudad promueve el desarrollo orientado al tránsito y la densificación alrededor de los corredores de transporte.
ipcc_0023,ipcc,Diseñar productos con materiales ligeros,"Esta acción implica mejorar la eficiencia de los materiales mediante el diseño de productos más ligeros, la optimización del uso de materiales para mantener la funcionalidad e incorporar principios de economía circular como la reutilización, la reparabilidad y la reciclabilidad. Abarca todo el ciclo de vida del producto, desde el diseño hasta la gestión al final de su vida útil.",Los productos están diseñados con menos material y mayor circularidad.,La ciudad promueve el diseño de productos ligeros y circulares.
ipcc_0024,ipcc,Mejorar la eficiencia en la utilización de materiales en la producción,"Esta acción se centra en mejorar la eficiencia de los materiales mediante la adopción de técnicas innovadoras de fabricación como la fundición de forma casi neta y métodos similares. Estos métodos reducen el desperdicio de material durante la producción, mejoran el rendimiento de las materias primas y aumentan la eficiencia energética al minimizar el reprocesamiento. Las estrategias incluyen la optimización del diseño de productos, la reducción de peso y la mejora de los procesos de reciclaje y reutilización.",La manufactura aumenta el rendimiento de las materias primas.,
ipcc_0025,ipcc,"Diseñar para la recuperación, reutilización o revalorización","Esta acción implica diseñar productos para permitir principios circulares como la extensión de la vida útil del producto, la reutilización, la reparabilidad y la facilidad de reciclaje. Se enfatiza la reducción de peso, la optimización de materiales y la mejora en la recuperación de materiales al final de su ciclo de vida mediante la reutilización, la remanufactura o el reciclaje.","Los productos están diseñados para su reutilización, reparación y reciclaje.",La ciudad promueve principios de diseño de productos circulares.
ipcc_0026,ipcc,Adoptar materias primas alternativas en la producción industrial,"Utilizar materias primas alternativas, como escoria de alto horno, cenizas volantes y puzolanas, para reducir la proporción de clínker en la producción de cemento. Estas alternativas disminuyen las emisiones asociadas con la calcinación y los procesos de alta demanda energética. Una mayor eficiencia en el uso de materiales mediante concretos de alta resistencia y métodos innovadores de colocación reduce aún más el consumo de materiales.",La producción de cemento se desplaza hacia materias primas alternativas.,
ipcc_0028,ipcc,"Cambios de comportamiento para reducir los residuos (por ejemplo, alimentos)","Fomentar cambios de comportamiento para reducir los residuos en los procesos industriales y los hábitos de consumo, especialmente en la producción y el consumo de alimentos. Esto incluye reducir el desperdicio de alimentos mediante una mejor planificación, la optimización de los tamaños de las porciones y la mejora de las prácticas de reciclaje y reutilización en las etapas de producción y postconsumo.",El desperdicio de alimentos se distribuye entre la producción y el consumo.,
ipcc_0031,ipcc,"Niveles de servicio de producto mejorados por producto (por ejemplo, compartición de productos)","Promueve un uso más intensivo de productos duraderos fomentando el intercambio de productos, lo que reduce la demanda de nuevos productos y las emisiones de GEI asociadas a su fabricación y cadena de suministro.",Los productos duraderos se utilizan más intensamente compartiéndolos.,
ipcc_0033,ipcc,Mejorar el mantenimiento de los productos para extender su vida útil,Ampliar la vida útil de los edificios e infraestructuras mediante el mantenimiento de su integridad estructural a través de una mejor gestión del stock de productos. Esto implica asegurar que las estructuras de hormigón permanezcan funcionales durante más de 200 años.,Los edificios y la infraestructura permanecen estructuralmente sólidos por más tiempo.,
ipcc_0034,ipcc,Promover un comportamiento del consumidor enfocado en la suficiencia y la reducción del consumo,"Promueve cambios en el comportamiento y el consumo para reducir las emisiones industriales totales, haciendo hincapié en la disminución de la demanda de productos, la reutilización y el reciclaje, y un uso más eficiente de los recursos.",Los patrones de consumo se desplazan hacia la suficiencia.,La ciudad promueve cambios de comportamiento y consumo hacia la suficiencia.
ipcc_0037,ipcc,Adoptar materiales y cadenas de suministro con emisiones netas cero,"Transición hacia carbono incorporado neto cero en la construcción mediante la sustitución de materiales con altas emisiones (por ejemplo, acero, hormigón) por sistemas de madera ingenierizada (incluida la madera maciza para edificios de mediana altura) y la integración de prácticas circulares (reutilización, reciclaje, diseño para el desmontaje). Priorizar la silvicultura sostenible certificada (por ejemplo, FSC/PEFC), el uso en cascada y salvaguardas contra la deforestación, asegurando que el uso de la madera no entre en conflicto con los insumos energéticos. Utilizar la evaluación del ciclo de vida para guiar la selección de materiales y las mejoras en la cadena de suministro.",La construcción cambia hacia materiales y cadenas de suministro con emisiones netas de carbono incorporado.,
