id,opportunity_id,opportunity_name,source_actor_name,source_actor_type,instrument_type,geographic_scope,eligible_actor_types,gpc_sector,sector_scope,status,application_window,source_url,provider_actor_id,notes_internal,last_updated,Doc_Source,Grupo_Duplicado,Desición 
1,CHL_ED_008,Financiamiento Flexible para la Inversión,Banco Estado,private_sector,loan,Chile national,private,Stationary Energy – Energy Supply,energy,open,Rolling,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/inicio---bancoestado-pequena-empresa/productos/financiamiento---bancoestado-pequena-empresa/-financiamiento-flexible-para-la-inversion---bancoestado-pequena.html#/,No especificado,"- Vínculo ED: Inversión en términos generales, podría incluir energía distrital | - Barrera: Alta percepción de riesgo de inversionistas y desarrolladores | Tabla 2.2 | tipo original: Instrumento.",2026-03-19,B1. Copy of Programas de Financiamiento - informe 2.xlsx | I10. Copy of 23071 Informe final v2 - issued.docx,1,Son lo mismo
2,CHL_ED_009,Financiamiento Proyectos Eficiencia Energética,Banco Estado,private_sector,loan,Chile national,private,"Stationary Energy – Energy Supply, Stationary Energy – Industry",energy,open,Rolling,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/inicio---bancoestado-pequena-empresa/productos/financiamiento---bancoestado-pequena-empresa/financiamiento-proyectos-eficiencia-energetica---bancoestado-peq.html#/,No especificado,- Vínculo ED: Podría relacionarse con eficiencia energética | - Barrera: Alta percepción de riesgo de inversionistas y desarrolladores | Tabla 2.2 | tipo original: Instrumento.,2026-03-19,B1. Copy of Programas de Financiamiento - informe 2.xlsx | I10. Copy of 23071 Informe final v2 - issued.docx,2,Son lo mismo
3,CHL_ED_010,Fondo de Inversión y Reconversión Regional,Gobiernos Regionales,regional_government,grant,"Chile regional, Chile national","regional, municipal, public_agency","Stationary Energy – Energy Supply, Stationary Energy, Transportation, Waste, AFOLU","energy, cross_sector",recurring,No especificado,No especificado,No especificado,"- Vínculo ED: Financiamiento podría incluir energía distrital | - Barrera: Falta de proyectos piloto | Puede ser una fuente regional, pero el documento no especifica una línea agrícola o climática asociada. | Tabla 2.1 | tipo original: Transferencias de capital | monto: 41.299 MM$. | p. 19 | listado en Programas de Inversión Regional",2026-03-19,"B1. Copy of Programas de Financiamiento - informe 2.xlsx | B3. Copy of ODEPA Financiamiento Medidas de Mitigación.xlsx | I10. Copy of 23071 Informe final v2 - issued.docx | G3. Copy of FINANCIAMIENTO-CLIMATICO.pdf, p. 19 :contentReference[oaicite:18]{index=18} | estructura: Funding Database (Vocabulary).docx :contentReference[oaicite:19]{index=19}",3,Son lo mismo
4,CHL_ED_011,Fondo Nacional de Desarrollo Regional (90%),Gobiernos Regionales,regional_government,grant,"Chile regional, Chile national","municipal, public_agency, regional, ngo","Stationary Energy – Energy Supply, Stationary Energy – Residential Buildings, Transportation, Waste, AFOLU, Stationary Energy – Commercial/Public Buildings, Stationary Energy","energy, cross_sector",recurring,No especificado,https://www.gobiernosantiago.cl/fndr/,No especificado,"- Vínculo ED: Esta fuente de financiamiento permite financiar los proyectos de energía distrital a nivel | - Barrera: Necesidad de subsidios | Mencionado en Anexo 6 como posible fuente en L2.1, L3.1, L4.1, L4.2, L4.3, L4.4, L6.1 y L7.1. | Mencionado en cap. 6 (Tablas 13, 16 y 19) y Anexo 8.4 para infraestructura, techos solares, electromovilidad, residuos, energía y agricultura resiliente. | Fondo regional priorizado para inversión y convenios. El informe sugiere convenios de programación FNDR con INDAP/SAG para asistencia técnica e implementación de medidas. | Tabla 2.1 | tipo original: Transferencias de capital | monto: 688.947 MM$. | Financia acciones de desarrollo regional y compensación territorial | la guía lo presenta junto a provisiones y programa de convergencia. | p. 19 | listado en Programas de Inversión Regional",2026-03-19,"B1. Copy of Programas de Financiamiento - informe 2.xlsx | B3. Copy of ODEPA Financiamiento Medidas de Mitigación.xlsx | I1. PARCC Aysén Informe final_12 06 2023.pdf - Anexo 6 | I2. Copy of PACCC_Mejillones_Final_ENVIADO.docx | I9. Copy of 231204 Informe Final ODEPA Financiamiento Mitigación Agricultura (enviada 2.0).docx | I10. Copy of 23071 Informe final v2 - issued.docx | G2. Copy of Guia-de-financiamiento-asociado-con-acciones-de-mitigacion-y-adaptacion-al-cambio-climatico-de-Chile-1.pdf | G3. Copy of FINANCIAMIENTO-CLIMATICO.pdf, p. 19 :contentReference[oaicite:12]{index=12} | estructura: Funding Database (Vocabulary).docx :contentReference[oaicite:13]{index=13}",4,Son lo mismo
5,CHL_ED_012,Fondo de Apoyo Regional,Gobiernos Regionales,regional_government,grant,"Chile regional, Chile national","regional, municipal, public_agency","Stationary Energy – Energy Supply, Stationary Energy, Transportation, Waste, AFOLU","energy, cross_sector",recurring,No especificado,No especificado,No especificado,"- Vínculo ED: Financiamiento podría incluir energía distrital | - Barrera: Falta de proyectos piloto | En el entendido que las materias priorizadas, de bosques y otros asociados a lo silvoagropecuario es relacio | Tabla 2.1 | tipo original: Transferencias de capital | monto: 274.538 MM$. | p. 19 | listado en Programas de Inversión Regional",2026-03-19,"B1. Copy of Programas de Financiamiento - informe 2.xlsx | B3. Copy of ODEPA Financiamiento Medidas de Mitigación.xlsx | I10. Copy of 23071 Informe final v2 - issued.docx | G3. Copy of FINANCIAMIENTO-CLIMATICO.pdf, p. 19 :contentReference[oaicite:14]{index=14} | estructura: Funding Database (Vocabulary).docx :contentReference[oaicite:15]{index=15}",5,Son lo mismo
6,CHL_ED_013,Fondo de Innovación para la Competividad,Gobiernos Regionales,regional_government,grant,"Chile regional, Chile national","regional, public_agency, private, academia, municipal","Stationary Energy – Energy Supply, Waste, Stationary Energy, Transportation, AFOLU, Stationary Energy – Industry","energy, cross_sector",recurring,Anual,https://fic-r.subdere.gov.cl/sobre-fic-r/,ACTOR_GORE_AYP,"- Vínculo ED: Financiamiento podría incluir energía distrital | - Barrera: Falta de proyectos piloto | Poco aplicable, no hay descriptores asociados a las medidas identificadas (uso eficiente de nitrogenados, biod | Mencionado en Anexo 6 como posible fuente en L2.3 y L5.1. | • Financia iniciativas de innovación | • Pueden ser impulsadas por universidades estatales o reconocidas por el Estado, CORFO o Corporaciones Regionales de Desarrollo Productivo. | Tabla 38, fondos regionales | citado además en A3, A4, A5, A9, A10 y A11. | Promueve competitividad de sectores productivos mediante alianzas con instituciones especializadas. Usos citados: economía circular, eficiencia energética y gestión hídrica. | Fondo regional priorizado para innovación y competitividad. El informe lo considera potencial para pilotos, innovación y cofinanciamiento de medidas de mitigación agrícola. | Tabla 2.1 | tipo original: Transferencias de capital | monto: 41.903 MM$. | Financia iniciativas de innovación impulsadas por universidades, CORFO o corporaciones regionales de desarrollo productivo.",2026-03-19,B1. Copy of Programas de Financiamiento - informe 2.xlsx | B3. Copy of ODEPA Financiamiento Medidas de Mitigación.xlsx | I1. PARCC Aysén Informe final_12 06 2023.pdf - Anexo 6 | I5. Copy of Informe Final Propuestas valorización y gestión RSM design lite.docx | I6. (Listo) Copy of Propuesta PARCC .docx | I7. Copy of Informe 3_IDB PACCC Mejillones y La Higuera (v2)_ENVIADO (1).docx | I9. Copy of 231204 Informe Final ODEPA Financiamiento Mitigación Agricultura (enviada 2.0).docx | I10. Copy of 23071 Informe final v2 - issued.docx | G2. Copy of Guia-de-financiamiento-asociado-con-acciones-de-mitigacion-y-adaptacion-al-cambio-climatico-de-Chile-1.pdf,6,Son lo mismo
7,CHL_ED_014,Fondo de equidad interregional,Gobiernos Regionales,regional_government,grant,"Chile regional, Chile national","regional, municipal, public_agency","Stationary Energy – Energy Supply, Stationary Energy, Transportation, Waste, AFOLU","energy, cross_sector",recurring,No especificado,No especificado,No especificado,"- Vínculo ED: Financiamiento podría incluir energía distrital | - Barrera: Falta de proyectos piloto | Puede ser una fuente de cofinanciamiento regional, pero no se especifica una línea climática o agropecuaria. | Tabla 2.1 | tipo original: Transferencias de capital | monto: 221.180 MM$. | p. 19 | listado en Programas de Inversión Regional",2026-03-19,"B1. Copy of Programas de Financiamiento - informe 2.xlsx | B3. Copy of ODEPA Financiamiento Medidas de Mitigación.xlsx | I10. Copy of 23071 Informe final v2 - issued.docx | G3. Copy of FINANCIAMIENTO-CLIMATICO.pdf, p. 19 :contentReference[oaicite:22]{index=22} | estructura: Funding Database (Vocabulary).docx :contentReference[oaicite:23]{index=23}",7,Son lo mismo
8,CHL_ED_015,Subt 24. Al gobierno central (02). Fomento de la Ciencia y la Tecnología - ANID 01 (011),ANID,national_government,grant,Chile national,"academia, public_agency, national","Stationary Energy – Energy Supply, Stationary Energy","energy, cross_sector",recurring,No especificado,No especificado,No especificado,- Vínculo ED: Financiamiento podría incluir energía distrital | - Barrera: Falta de proyectos piloto | Tabla 2.1 | tipo original: Transferencias corrientes | monto: 93.064 MM$. | monto: 19.027 MM$.,2026-03-19,B1. Copy of Programas de Financiamiento - informe 2.xlsx | B3. Copy of ODEPA Financiamiento Medidas de Mitigación.xlsx | I10. Copy of 23071 Informe final v2 - issued.docx,8,Son lo mismo
10,CHL_ED_017,Subt 24. A Otras Entidades Públicas (03). Apoyo al Desarrollo de Energías Renovables no Convencionales (003),Subsecretaría de Energía,national_government,grant,Chile national,"public_agency, private","Stationary Energy – Commercial/Public Buildings, Stationary Energy – Energy Supply","buildings, energy",recurring,No especificado,No especificado,No especificado,- Vínculo ED: Financiamiento podría incluir energía distrital | - Barrera: Falta de proyectos piloto | Tabla 2.1 | tipo original: Transferencias corrientes | monto: 2.049 MM$.,2026-03-19,B1. Copy of Programas de Financiamiento - informe 2.xlsx | I10. Copy of 23071 Informe final v2 - issued.docx,9,Son lo mismo
11,CHL_ED_018,Subt 24. Al sector privado (01). Agencia Chilena de Eficiencia Energética (006),Subsecretaría de Energía,national_government,grant,Chile national,private,"Stationary Energy – Energy Supply, Stationary Energy – Residential Buildings, Stationary Energy – Commercial/Public Buildings, Stationary Energy – Industry","energy, buildings, cross_sector",recurring,No especificado,No especificado,No especificado,- Vínculo ED: Financiamiento podría incluir energía distrital | - Barrera: Falta de capacidad técnica en organismos incumbentes | - Vínculo ED: En línea con la misión de la agencia. | - Barrera: Falta de proyectos piloto | Tabla 2.1 | tipo original: Transferencias corrientes | monto: 2.056 MM$. | tipo original: Transferencias de Capital | monto: 4.982 MM$.,2026-03-19,B1. Copy of Programas de Financiamiento - informe 2.xlsx | I10. Copy of 23071 Informe final v2 - issued.docx,10,Son lo mismo
