action_id,action_name,n_findings,n_docs,signal_type,signal_relation,signal_strength,document_name,source_url,document_type,doc_relevance,explicitness,page,evidence_text,location_scope,location_code
icare_0008,Enable smart grid integration and distributed energy storage through municipal collaboration and demonstration projects,18,1,action,commits,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,inferred,4,los distintos sectores deberán desarrollar planes de mitigación y adaptación,national,CL
icare_0035,Enhance industrial energy efficiency processes,14,2,action,commits,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,inferred,4,los distintos sectores deberán desarrollar planes de mitigación y adaptación,national,CL
icare_0076,Electrify Industrial Processes (with Renewable Power),12,2,action,prioritizes,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,inferred,4,los distintos sectores deberán desarrollar planes de mitigación y adaptación,national,CL
ipcc_0040,Promote industry-government collaborations on emissions reduction,15,1,governance,governs,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,explicit,4,"participación de los Ministros de Hacienda, Energía y Ciencia",national,CL
ipcc_0040,Promote industry-government collaborations on emissions reduction,15,1,governance,governs,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,explicit,4,liderado por la Ministra de Medio Ambiente,national,CL
ipcc_0040,Promote industry-government collaborations on emissions reduction,15,1,action,commits,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,inferred,4,los distintos sectores deberán desarrollar planes de mitigación y adaptación,national,CL
ipcc_0042,Set carbon emissions reduction targets for industrial sectors,22,2,action,commits,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,inferred,4,los distintos sectores deberán desarrollar planes de mitigación y adaptación,national,CL
ipcc_0042,Set carbon emissions reduction targets for industrial sectors,22,2,target,targets,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,inferred,4,"establecemos límites sectoriales de emisiones de carbono al 2030, que serán obligatorios y vinculantes",national,CL
ipcc_0043,Encourage the Use of Zero-Emission Fuels in Industrial Processes,14,2,action,commits,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,inferred,4,los distintos sectores deberán desarrollar planes de mitigación y adaptación,national,CL
ipcc_0045,Transition to renewable energy for industrial operations,9,2,action,commits,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,inferred,4,los distintos sectores deberán desarrollar planes de mitigación y adaptación,national,CL
icare_0001,Improve heat and energy recovery,7,1,context,contextualizes,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,low,explicit,9,El sector Energía incluye todas las emisiones por quema de combustibles fósiles y emisiones fugitivas relacionadas con el procesamiento y distribución de los mismos;,national,CL
icare_0009,Deploy cogeneration systems in industries,9,2,context,contextualizes,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,low,explicit,9,El sector Energía incluye todas las emisiones por quema de combustibles fósiles y emisiones fugitivas relacionadas con el procesamiento y distribución de los mismos;,national,CL
icare_0071,Increase efficiency of industrial furnaces and kilns,6,1,context,contextualizes,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,low,explicit,9,el sector Procesos industriales y uso de productos (IPPU) que considera las emisiones por las transformaciones fisicoquímica durante la producción y el uso de productos;,national,CL
icare_0072,Improve Heat Recovery and Reuse through Heat Exchanger Networks or Heat Pumps,6,1,context,contextualizes,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,low,explicit,9,el sector Procesos industriales y uso de productos (IPPU) que considera las emisiones por las transformaciones fisicoquímica durante la producción y el uso de productos;,national,CL
icare_0078,Decarbonize industrial feedstocks,11,2,context,contextualizes,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,low,explicit,9,el sector Procesos industriales y uso de productos (IPPU) que considera las emisiones por las transformaciones fisicoquímica durante la producción y el uso de productos;,national,CL
icare_0079,Implement carbon capture and utilization (CCU),7,1,context,contextualizes,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,low,explicit,9,El sector Energía incluye todas las emisiones por quema de combustibles fósiles y emisiones fugitivas relacionadas con el procesamiento y distribución de los mismos;,national,CL
ipcc_0026,Adopt alternative feedstocks in industrial production,5,1,context,contextualizes,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,low,explicit,9,el sector Procesos industriales y uso de productos (IPPU) que considera las emisiones por las transformaciones fisicoquímica durante la producción y el uso de productos;,national,CL
ipcc_0064,Reduce methane emissions from enteric fermentation in livestock,11,1,governance,governs,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,explicit,9,"Chile ha sido un prominente defensor del Acuerdo de París a nivel internacional,",national,CL
ipcc_0064,Reduce methane emissions from enteric fermentation in livestock,11,1,context,contextualizes,high,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,explicit,9,"el sector Agricultura que incluye emisiones por fermentación entérica, manejo del estiércol y uso de fertilizantes;",national,CL
ipcc_0076,Implement energy audits in industrial plants,6,2,context,contextualizes,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,low,explicit,9,el sector Procesos industriales y uso de productos (IPPU) que considera las emisiones por las transformaciones fisicoquímica durante la producción y el uso de productos;,national,CL
ipcc_0043,Encourage the Use of Zero-Emission Fuels in Industrial Processes,14,2,action,commits,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,inferred,19,Alcanzar esta meta implica un trabajo sostenido para Chile en dos líneas de acción igualmente relevantes: i) conseguir una disminución sostenida de emisiones de GEI; y ii) aumentar y mantener los sumideros de carbono.,national,CL
icare_0001,Improve heat and energy recovery,7,1,action,commits,low,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,low,inferred,20,la acción climática debe ser ambiciosa y tomar en cuenta los mensajes entregados por el IPCC.,national,CL
c40_0018,Optimize energy efficiency and sustainability standards for existing industrial infrastructure,15,2,action,commits,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,inferred,24,"La Acción por el Empoderamiento Climático (ACE), reconoce que las políticas y estrategias de mitigación y adaptación ante el cambio climático u otras problemáticas requieren de un importante consenso ciudadano y participación de todos los grupos de interés de la sociedad civil en todos sus niveles y ámbitos de acción.",national,CL
ipcc_0034,Promote consumer behavior focused on sufficiency and reduced consumption,15,2,action,prioritizes,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,inferred,24,"La Acción por el Empoderamiento Climático (ACE), reconoce que las políticas y estrategias de mitigación y adaptación ante el cambio climático u otras problemáticas requieren de un importante consenso ciudadano y participación de todos los grupos de interés de la sociedad civil en todos sus niveles y ámbitos de acción.",national,CL
ipcc_0069,Promote sustainable and healthy diets,9,1,action,prioritizes,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,low,explicit,24,"La Acción por el Empoderamiento Climático (ACE), reconoce que las políticas y estrategias de mitigación y adaptación ante el cambio climático u otras problemáticas requieren de un importante consenso ciudadano y participación de todos los grupos de interés de la sociedad civil en todos sus niveles y ámbitos de acción.",national,CL
icare_0045,"Promote organic, regenerative and agroecological agriculture in rural areas",20,2,action,commits,high,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,high,explicit,25,"Dicha evaluación en el Plan Nacional de Adaptación se desarrollará a través de un proceso participativo, mediante diálogos indígenas considerando el apoyo técnico y financiero del Fondo Verde del Clima.",national,CL
icare_0045,"Promote organic, regenerative and agroecological agriculture in rural areas",20,2,action,commits,high,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,high,explicit,25,"Visibilizar buenas prácticas de comunidades locales y pueblos indígenas, junto con sus conocimientos ancestrales, para promover su incorporación en la elaboración de instrumentos de gestión del cambio climático a nivel nacional, sectorial y subnacional.",national,CL
ipcc_0053,"Implement afforestation, reforestation, and forest ecosystem restoration",12,2,action,commits,high,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,explicit,25,"Visibilizar buenas prácticas de comunidades locales y pueblos indígenas, junto con sus conocimientos ancestrales, para promover su incorporación en la elaboración de instrumentos de gestión del cambio climático a nivel nacional, sectorial y subnacional.",national,CL
c40_0042,Expand urban and peri-urban green spaces,14,2,action,commits,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,inferred,26,Incorporar las SbN en los instrumentos de gestión del cambio climático.,national,CL
c40_0042,Expand urban and peri-urban green spaces,14,2,action,commits,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,inferred,26,"Mejorar marcos normativos y regulatorios en la planificación territorial, para promover la incorporación de Infraestructura Ecológica y aplicación de SbN.",national,CL
icare_0050,Accelerate the adoption of Agroforestry',20,2,action,commits,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,inferred,26,"Mejorar marcos normativos y regulatorios en la planificación territorial, para promover la incorporación de Infraestructura Ecológica y aplicación de SbN.",national,CL
icare_0050,Accelerate the adoption of Agroforestry',20,2,action,commits,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,inferred,26,Incorporar las SbN en los instrumentos de gestión del cambio climático.,national,CL
ipcc_0037,Adopt net-zero-emissions materials and supply chains,10,2,action,commits,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,inferred,26,Incorporar las SbN en los instrumentos de gestión del cambio climático.,national,CL
ipcc_0037,Adopt net-zero-emissions materials and supply chains,10,2,action,commits,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,inferred,26,"Mejorar marcos normativos y regulatorios en la planificación territorial, para promover la incorporación de Infraestructura Ecológica y aplicación de SbN.",national,CL
ipcc_0052,Reduce Deforestation and Degradation,10,2,action,commits,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,explicit,26,"Mejorar marcos normativos y regulatorios en la planificación territorial, para promover la incorporación de Infraestructura Ecológica y aplicación de SbN.",national,CL
ipcc_0052,Reduce Deforestation and Degradation,10,2,action,commits,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,explicit,26,Incorporar las SbN en los instrumentos de gestión del cambio climático.,national,CL
ipcc_0053,"Implement afforestation, reforestation, and forest ecosystem restoration",12,2,action,commits,high,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,explicit,26,"Mejorar marcos normativos y regulatorios en la planificación territorial, para promover la incorporación de Infraestructura Ecológica y aplicación de SbN.",national,CL
ipcc_0053,"Implement afforestation, reforestation, and forest ecosystem restoration",12,2,action,commits,high,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,explicit,26,Incorporar las SbN en los instrumentos de gestión del cambio climático.,national,CL
ipcc_0054,Adopt sustainable forest management practices,11,1,action,commits,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,inferred,26,"Mejorar marcos normativos y regulatorios en la planificación territorial, para promover la incorporación de Infraestructura Ecológica y aplicación de SbN.",national,CL
ipcc_0054,Adopt sustainable forest management practices,11,1,action,commits,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,inferred,26,Incorporar las SbN en los instrumentos de gestión del cambio climático.,national,CL
ipcc_0056,Reduce and prevent degradation and conversion of Grasslands and Savannas,20,2,action,commits,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,inferred,26,"Mejorar marcos normativos y regulatorios en la planificación territorial, para promover la incorporación de Infraestructura Ecológica y aplicación de SbN.",national,CL
ipcc_0056,Reduce and prevent degradation and conversion of Grasslands and Savannas,20,2,action,commits,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,inferred,26,Incorporar las SbN en los instrumentos de gestión del cambio climático.,national,CL
ipcc_0057,Restore degraded peatlands and prevent further conversion or degradation.,10,1,action,commits,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,inferred,26,"Mejorar marcos normativos y regulatorios en la planificación territorial, para promover la incorporación de Infraestructura Ecológica y aplicación de SbN.",national,CL
ipcc_0057,Restore degraded peatlands and prevent further conversion or degradation.,10,1,action,commits,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,medium,inferred,26,Incorporar las SbN en los instrumentos de gestión del cambio climático.,national,CL
ipcc_0062,Create partnerships to implement biochar plants.,6,1,action,prioritizes,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,low,inferred,26,Incorporar las SbN en los instrumentos de gestión del cambio climático.,national,CL
ipcc_0062,Create partnerships to implement biochar plants.,6,1,action,prioritizes,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,low,inferred,26,"Mejorar marcos normativos y regulatorios en la planificación territorial, para promover la incorporación de Infraestructura Ecológica y aplicación de SbN.",national,CL
ipcc_0071,Increase sustainable use of wood products,5,1,action,prioritizes,medium,Estrategia Climática de Largo Plazo,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf,framework,low,inferred,26,"Mejorar marcos normativos y regulatorios en la planificación territorial, para promover la incorporación de Infraestructura Ecológica y aplicación de SbN.",national,CL
