action_id,action_name,sr15_option,match_strength,option_evidence,option_agreement,dimension,global_indicator,global_relation,city_indicator,sign,city_locode,city_quintile_category,city_capacity,global_indicator_code_value,global_indicator_signal,city_indicator_signed_score,city_mean_signed_score,city_adjusted_score,dimension_score,action_score
c40_0010,Introduce energy-efficiency standards for new residential buildings,Low/zero-energy buildings,direct,Medium,High,economic,cost-effectiveness,supportive,median_household_income,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0010,Introduce energy-efficiency standards for new residential buildings,Low/zero-energy buildings,direct,Medium,High,economic,cost-effectiveness,supportive,poverty_rate,-1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0010,Introduce energy-efficiency standards for new residential buildings,Low/zero-energy buildings,direct,Medium,High,economic,distributional_effects,supportive,home_ownership,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0010,Introduce energy-efficiency standards for new residential buildings,Low/zero-energy buildings,direct,Medium,High,economic,distributional_effects,supportive,poverty_rate,-1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0010,Introduce energy-efficiency standards for new residential buildings,Low/zero-energy buildings,direct,Medium,High,economic,distributional_effects,supportive,renter_share,-1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0010,Introduce energy-efficiency standards for new residential buildings,Low/zero-energy buildings,direct,Medium,High,economic,employment_productivity,supportive,industry_construction_employment,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0010,Introduce energy-efficiency standards for new residential buildings,Low/zero-energy buildings,direct,Medium,High,economic,employment_productivity,supportive,unemployment_rate,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0010,Introduce energy-efficiency standards for new residential buildings,Low/zero-energy buildings,direct,Medium,High,environmental,toxic_waste,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0010,Introduce energy-efficiency standards for new residential buildings,Low/zero-energy buildings,direct,Medium,High,environmental,water_use,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0010,Introduce energy-efficiency standards for new residential buildings,Low/zero-energy buildings,direct,Medium,High,geophysical,physical_feasibility,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0010,Introduce energy-efficiency standards for new residential buildings,Low/zero-energy buildings,direct,Medium,High,institutional,political_acceptability,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0010,Introduce energy-efficiency standards for new residential buildings,Low/zero-energy buildings,direct,Medium,High,technological,technical_scalability,supportive,electricity_access_rate,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0010,Introduce energy-efficiency standards for new residential buildings,Low/zero-energy buildings,direct,Medium,High,technological,technical_scalability,supportive,fixed_internet_household_share,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0012,Introduce energy-efficiency standards for new institutional buildings,Low/zero-energy buildings,direct,Medium,High,economic,cost-effectiveness,supportive,median_household_income,1,CL CNE,,,3,1,,,1.0,1.0,1.0
