EVALUACIÓN DE VIABILIDAD MUNICIPAL — ACCIONES DE MITIGACIÓN CLIMÁTICA / SECTOR ENERGÍA — TRAMO 1 (EDIFICIOS Y EFICIENCIA MUNICIPAL),,,,
"CÓMO LEER: Puntaje Total (0–100) = Legal×40% + Gobernanza×30% + Financiamiento×30%  |  ≥75 = Viable  |  40–74 = Viable con condiciones  |  <40 = Baja viabilidad actual  |  Ver pestaña ""Evaluación"" para desglose por componente, sub-criterio y referencias normativas",,,,
Código,Acción,Ámbito territorial,"Puntaje
Total
(0–100)",Justificación integrada — mecanismo jurídico principal y conclusión analítica
c40_0010,Introducir estándares de eficiencia energética para nuevas viviendas residenciales,Todas las comunas (con DOM activo),53.5,"Mecanismo: DOM como ejecutor de norma nacional (LGUC + CEV Ley 21.305). El municipio exige el cumplimiento de los estándares de eficiencia energética nacionales en los permisos de edificación, sin poder crear estándares propios adicionales. La Ley 21.305 y el DS 1/2020 son las habilitaciones normativas principales. Viable con condiciones: competencia de ejecución, no regulatoria."
c40_0012,Introducir estándares de eficiencia energética para nuevos edificios institucionales,Todas las comunas (edificios públicos nuevos),86.5,"Mecanismo: estándar de eficiencia energética para edificios institucionales propios (Ley 21.305 art. 10° + DS 174/2020 para sector público; Ley 18.695 art. 5° para administración de bienes municipales). Los municipios, como corporaciones autónomas de derecho público, no integran la Administración del Estado centralizada a la que se dirige formalmente el art. 10° de la Ley 21.305; sin embargo, el DS 174/2020 y la política sectorial los incluyen como destinatarios voluntarios del sistema de gestión de energía. La Ley 18.695 art. 5° es el habilitante directo para instalar estándares EE en nuevos edificios propios. La Agencia de Sostenibilidad Energética provee asistencia técnica gratuita. Viable: competencia directa sobre bienes propios, marco técnico establecido y apoyo técnico identificado."
c40_0015,Rehabilitar edificios residenciales para mejorar la eficiencia energética,Comunas con stock habitacional antiguo / vulnerabilidad energética,28.0,"Mecanismo: Entidad Patrocinante en programa MINVU (DS N° 27, Cap. IV — Proyectos de Eficiencia Energética e Hídrica para la Vivienda). El municipio puede organizar la demanda de familias, formular proyectos y acompañar técnicamente la postulación, pero no convoca llamados (MINVU, art. 22), no califica proyectos (SERVIU, arts. 27-28) ni asigna subsidios (MINVU/SEREMI, arts. 29-31). Sin llamado MINVU activo para el territorio, la acción no puede ejecutarse. Baja viabilidad actual: el municipio es agente facilitador sin control sobre disponibilidad ni continuidad del programa."
c40_0017,Reacondicionar edificios municipales para mejorar la eficiencia energética,Todas las comunas,94.8,"Mecanismo: competencia directa sobre bienes propios (Ley 18.695 art. 5°) alineada con el estándar de eficiencia energética para organismos públicos (Ley 21.305 art. 10° + DS 174/2020, de adopción voluntaria para municipios). El municipio puede y tiene interés institucional en reacondicionar sus edificios para reducir gasto energético. La Agencia de Sostenibilidad Energética provee auditorías gratuitas y planes de gestión. El FNDR y PMU SUBDERE financian las inversiones como proyectos de mejora de infraestructura. Viable: todas las condiciones para actuar sobre activos propios están dadas; la Ley 21.305 refuerza la alineación sin ser habilitante directo."
icare_0010,Promover certificaciones de edificios neto-cero y construcción verde,Comunas urbanas con mercado inmobiliario activo,79.0,Mecanismo: ordenanza municipal de incentivos (Ley 18.695 art. 12°). El municipio promueve la adopción de certificaciones de construcción sustentable mediante reducción de derechos municipales o tramitación expedita para proyectos que acrediten estándares superiores a la norma mínima nacional. Viable: el municipio tiene autonomía plena para diseñar el incentivo.
icare_0025,Promover vivienda eficiente y climáticamente resiliente para asentamientos de bajos ingresos,Comunas con déficit habitacional y pobreza energética,28.0,"Mecanismo: Entidad Patrocinante en programas MINVU (DS N° 27 — Mejoramiento de Viviendas y Barrios; DS 49 para familias vulnerables). El municipio puede identificar familias, organizar grupos y apoyar la postulación, pero no controla la apertura de llamados (MINVU), la calificación de proyectos (SERVIU) ni la asignación de subsidios (MINVU/SEREMI). El componente de eficiencia energética se incorpora como partida dentro de proyectos del DS 27 Cap. IV — no es una competencia municipal autónoma. Baja viabilidad actual: el municipio no puede garantizar la disponibilidad del programa ni el acceso de familias sin convocatoria MINVU activa."
icare_0028,Promover enfriamiento pasivo mediante sombra natural y ventilación en edificios,Comunas urbanas con isla de calor o zonas de alta temperatura,71.5,Mecanismo: ordenanza municipal complementaria (Ley 18.695 art. 12°) + gestión directa de activos propios (Ley 18.695 art. 5°). El municipio incorpora criterios bioclimáticos en sus propios edificios y puede incentivarlo en el sector privado mediante ordenanza local. Viable con condiciones: competencia diferenciada según se trate de activos propios (plena) o sector privado (incentivo normativo).
icare_0040,Desplegar alumbrado público eficiente y solar en todos los barrios,Todas las comunas,100.0,"Mecanismo: competencia privativa municipal (Ley 18.695 art. 3° letra d). El alumbrado público es función exclusiva del municipio. El recambio a luminarias eficientes (LED) y la instalación de sistemas solares son decisiones municipales autónomas. El PEEAP del Ministerio de Energía ha financiado proyectos de recambio y generación en alumbrado municipal a través de convocatorias periódicas; los recursos son concursables y sujetos a disponibilidad presupuestaria anual. Viable: máxima viabilidad — competencia exclusiva, precedente extenso, financiamiento accesible y payback rápido."
icare_0120,Implementar criterios de eficiencia energética en compras municipales,Todas las comunas,100.0,"Mecanismo: criterios en bases de licitación (Ley 19.886 + Ley 21.305 art. 10°). El municipio incorpora criterios de eficiencia energética en sus bases de licitación de bienes, servicios y obras. ChileCompra ofrece plantillas gratuitas. La Ley 19.886 habilita los criterios EE en licitaciones; la Ley 21.305 fija el estándar de referencia para el sector público al que el municipio se alinea voluntariamente. Viable: máxima autonomía, costo nulo, coherencia plena con política nacional."
icare_0137,Reemplazar luminarias ineficientes por tecnología LED en espacios públicos,Todas las comunas,100.0,"Mecanismo: competencia privativa municipal (Ley 18.695 art. 3° letra d). Reemplazo de luminarias de alumbrado público por tecnología LED — la acción de energía más implementada en municipios chilenos. El PEEAP del Ministerio de Energía ha financiado proyectos de recambio LED municipal a través de convocatorias periódicas; los recursos son concursables y sujetos a disponibilidad presupuestaria anual. Viable: máxima viabilidad — competencia exclusiva, financiamiento directo, payback rápido y precedente consolidado en todo el país."
icare_0012,Expandir generación solar en instalaciones municipales y activos públicos,Todas las comunas (con activos municipales con techos/terrenos aptos),82.8,"Mecanismo: net billing en activos propios (Ley 21.185 + Ley 20.936 + Ley 18.695). El municipio instala sistemas fotovoltaicos en sus edificios y terrenos, inyecta excedentes a la red eléctrica y recibe créditos. El programa Sol para Chile y el FNDR financian las instalaciones. Viable: competencia directa sobre activos propios, marco legal claro, precedente extenso y financiamiento identificado."
icare_0016,Promover sistemas de calentamiento solar térmico y bombas de calor,Comunas con alta irradiación solar o demanda de agua caliente,81.3,"Mecanismo: instalación directa en activos propios (Ley 18.695 art. 5°) + facilitación acceso subsidios para sector privado (Ley 21.305). El municipio instala sistemas solares térmicos o bombas de calor en sus edificios y articula el acceso de vecinos y organizaciones comunitarias a subsidios del Ministerio de Energía. Viable: competencia directa para activos propios, rol facilitador para el sector privado."
ipcc_0074,Promover forma urbana compacta mediante planificación espacial,Comunas urbanas con PRC vigente o en revisión,47.5,"Mecanismo: Plan Regulador Comunal (LGUC DFL 458/1975 + DFL 1/2005 arts. 17a, 20f, 36c). El municipio incorpora criterios de densificación y forma urbana compacta en el PRC, con aprobación del Consejo Regional. La forma urbana compacta reduce demanda energética de climatización y transporte. Viable con condiciones — pero con gobernanza gravemente limitada: el 79% de los PRC chilenos tiene más de 10 años de antigüedad (CChC 2024), los procesos de modificación duran en promedio 6 años, y el Consejo Regional, la SEREMI MINVU y la EAE son actores con poder de veto fuera del control municipal. La LMCC y el art. 28° decies LGUC intentan vincular planificación territorial y acción climática, pero sin desarrollo reglamentario el vínculo es más programático que operativo. En términos de mitigación al horizonte 2030, la contribución probable de ajustes de PRC es marginal, salvo casos excepcionales de comunas ya en proceso avanzado de actualización."
