schema_version,evidence_id,mapping_id,source_id,pdf_page,printed_page,quote_verbatim,quote_language,grounding_status,grounding_note,direction,quantified_value,support_scope,maladaptation_signal,extraction_run_id,review_status,reviewed_by,reviewed_at,review_note
0.3.0,ev_a0ba2d16322f3cf2,map_01743c53cf8c9e61,B_SRC_007,10,8,"Common examples of EbA measures include the conservation or restoration of mangroves to protect coastal communities from storm surges and sea level rise, the establishment of green roofs, street trees and urban parks to reduce the risks of heatwaves and flooding in cities, and the conservation of upslope forests to prevent landslides and downstream flooding under extreme weather events.",en,verified_ordered,Ordered token coverage on the cited PDF page is 100.0%.,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_09a4086367abf43a,map_01743c53cf8c9e61,B_SRC_010,7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",en,verified_ordered,Ordered token coverage on the cited PDF page is 100.0%.,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_ee2121dad23a8126,map_82d6d46872eaaadb,B_SRC_007,10,8,"Common examples of EbA measures include the conservation or restoration of mangroves to protect coastal communities from storm surges and sea level rise, the establishment of green roofs, street trees and urban parks to reduce the risks of heatwaves and flooding in cities, and the conservation of upslope forests to prevent landslides and downstream flooding under extreme weather events.",en,verified_ordered,Ordered token coverage on the cited PDF page is 100.0%.,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_d10730a7e0191bad,map_82d6d46872eaaadb,B_SRC_010,7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",en,verified_ordered,Ordered token coverage on the cited PDF page is 100.0%.,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_204138d05a43352d,map_19764118d5d76836,B_SRC_010,7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",en,verified_ordered,Ordered token coverage on the cited PDF page is 100.0%.,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_8d0b2fd7b74cc7a3,map_7276402686490194,B_SRC_005,139,121,"Fortalecer as medidas de conservação, recuperação e uso sustentável da biodiversidade visando o aumento da conectividade entre remanescentes dos ecossistemas e a consolidação de Unidades de Conservação, refletindo a gestão florestal integrada da paisagem e propiciando a redução da vulnerabilidade da biodiversidade.",pt,verified_exact,Normalized quote occurs on the cited PDF page.,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_54a418f38cc26412,map_7276402686490194,B_SRC_010,7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",en,verified_ordered,Ordered token coverage on the cited PDF page is 100.0%.,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_75c64f1771a34a3f,map_a8da6dcf6c79f8d1,B_SRC_005,139,121,"Fortalecer as medidas de conservação, recuperação e uso sustentável da biodiversidade visando o aumento da conectividade entre remanescentes dos ecossistemas e a consolidação de Unidades de Conservação, refletindo a gestão florestal integrada da paisagem e propiciando a redução da vulnerabilidade da biodiversidade.",pt,verified_exact,Normalized quote occurs on the cited PDF page.,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_a8d2838c20df1ee9,map_a8da6dcf6c79f8d1,B_SRC_010,7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",en,verified_ordered,Ordered token coverage on the cited PDF page is 100.0%.,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_0437e6ef092fcbbc,map_f2da6cf370a45239,B_SRC_007,10,8,"Common examples of EbA measures include the conservation or restoration of mangroves to protect coastal communities from storm surges and sea level rise, the establishment of green roofs, street trees and urban parks to reduce the risks of heatwaves and flooding in cities, and the conservation of upslope forests to prevent landslides and downstream flooding under extreme weather events.",en,verified_ordered,Ordered token coverage on the cited PDF page is 100.0%.,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_e89f8f55e5a29043,map_f2da6cf370a45239,B_SRC_010,7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",en,verified_ordered,Ordered token coverage on the cited PDF page is 100.0%.,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_17ceaf36a66fb614,map_bfd25d0ed61c882d,B_SRC_007,10,8,"Common examples of EbA measures include the conservation or restoration of mangroves to protect coastal communities from storm surges and sea level rise, the establishment of green roofs, street trees and urban parks to reduce the risks of heatwaves and flooding in cities, and the conservation of upslope forests to prevent landslides and downstream flooding under extreme weather events.",en,verified_ordered,Ordered token coverage on the cited PDF page is 100.0%.,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_98e3130b0dffc7f8,map_bfd25d0ed61c882d,B_SRC_010,7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",en,verified_ordered,Ordered token coverage on the cited PDF page is 100.0%.,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_aeb87333c0fcdba8,map_31c16504165818b6,B_SRC_007,10,8,"Common examples of EbA measures include the conservation or restoration of mangroves to protect coastal communities from storm surges and sea level rise, the establishment of green roofs, street trees and urban parks to reduce the risks of heatwaves and flooding in cities, and the conservation of upslope forests to prevent landslides and downstream flooding under extreme weather events.",en,verified_ordered,Ordered token coverage on the cited PDF page is 100.0%.,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_f0051b40454ef6d8,map_31c16504165818b6,B_SRC_010,7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",en,verified_ordered,Ordered token coverage on the cited PDF page is 100.0%.,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_b419ecf0e46db9f4,map_ab589c2ab0a6b803,B_SRC_007,10,8,"Common examples of EbA measures include the conservation or restoration of mangroves to protect coastal communities from storm surges and sea level rise, the establishment of green roofs, street trees and urban parks to reduce the risks of heatwaves and flooding in cities, and the conservation of upslope forests to prevent landslides and downstream flooding under extreme weather events.",en,verified_ordered,Ordered token coverage on the cited PDF page is 100.0%.,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_d7b0c7e4227ce4d2,map_ab589c2ab0a6b803,B_SRC_010,7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",en,verified_ordered,Ordered token coverage on the cited PDF page is 100.0%.,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_73e8d0d5708ff097,map_170d0760d5c9e511,B_SRC_007,15,13,"Building codes and zoning regulations can be used to promote the conservation, management and restoration of ecosystems for climate change adaptation. Governments can also revise and improve land and coastal zoning regulations so that they protect ecosystems that are critical for adaptation, for example, prohibiting development of vulnerable coastal ecosystems or floodplains that provide valuable flood protection services.",en,verified_ordered,Ordered token coverage on the cited PDF page is 100.0%.,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_08a94436ad56bd5d,map_cf874373beee7179,B_SRC_007,15,13,"Building codes and zoning regulations can be used to promote the conservation, management and restoration of ecosystems for climate change adaptation. Governments can also revise and improve land and coastal zoning regulations so that they protect ecosystems that are critical for adaptation, for example, prohibiting development of vulnerable coastal ecosystems or floodplains that provide valuable flood protection services.",en,verified_ordered,Ordered token coverage on the cited PDF page is 100.0%.,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_e6102a5439400512,map_ed4ee2172c409690,B_SRC_007,10,8,"Common examples of EbA measures include the conservation or restoration of mangroves to protect coastal communities from storm surges and sea level rise, the establishment of green roofs, street trees and urban parks to reduce the risks of heatwaves and flooding in cities, and the conservation of upslope forests to prevent landslides and downstream flooding under extreme weather events.",en,verified_ordered,Ordered token coverage on the cited PDF page is 100.0%.,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_556d782c8de1fbf3,map_33ef2776b7cac8c3,B_SRC_007,10,8,"Common examples of EbA measures include the conservation or restoration of mangroves to protect coastal communities from storm surges and sea level rise, the establishment of green roofs, street trees and urban parks to reduce the risks of heatwaves and flooding in cities, and the conservation of upslope forests to prevent landslides and downstream flooding under extreme weather events.",en,verified_ordered,Ordered token coverage on the cited PDF page is 100.0%.,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_da94a030246f6f75,map_e6e30fc1261086fa,B_SRC_005,139,121,"Fortalecer as medidas de conservação, recuperação e uso sustentável da biodiversidade visando o aumento da conectividade entre remanescentes dos ecossistemas e a consolidação de Unidades de Conservação, refletindo a gestão florestal integrada da paisagem e propiciando a redução da vulnerabilidade da biodiversidade.",pt,verified_exact,Normalized quote occurs on the cited PDF page.,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_3f014c0476b01e5b,map_e6e30fc1261086fa,B_SRC_007,10,8,"Common examples of EbA measures include the conservation or restoration of mangroves to protect coastal communities from storm surges and sea level rise, the establishment of green roofs, street trees and urban parks to reduce the risks of heatwaves and flooding in cities, and the conservation of upslope forests to prevent landslides and downstream flooding under extreme weather events.",en,verified_ordered,Ordered token coverage on the cited PDF page is 100.0%.,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_c881b462206c3010,map_e6e30fc1261086fa,B_SRC_010,7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",en,verified_ordered,Ordered token coverage on the cited PDF page is 100.0%.,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_837b8d7ae13148df,map_796ffeb70057a4e2,B_SRC_005,139,121,"Fortalecer as medidas de conservação, recuperação e uso sustentável da biodiversidade visando o aumento da conectividade entre remanescentes dos ecossistemas e a consolidação de Unidades de Conservação, refletindo a gestão florestal integrada da paisagem e propiciando a redução da vulnerabilidade da biodiversidade.",pt,verified_exact,Normalized quote occurs on the cited PDF page.,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_0398431a82786654,map_796ffeb70057a4e2,B_SRC_007,10,8,"Common examples of EbA measures include the conservation or restoration of mangroves to protect coastal communities from storm surges and sea level rise, the establishment of green roofs, street trees and urban parks to reduce the risks of heatwaves and flooding in cities, and the conservation of upslope forests to prevent landslides and downstream flooding under extreme weather events.",en,verified_ordered,Ordered token coverage on the cited PDF page is 100.0%.,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_2e0785afbfbf8368,map_796ffeb70057a4e2,B_SRC_010,7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",en,verified_ordered,Ordered token coverage on the cited PDF page is 100.0%.,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
