action_id,action_name_en,action_name_es,sector,verdict_category,verdict_score,ownership_category,ownership_score,ownership_weight,ownership_description,restrictions_category,restrictions_score,restrictions_weight,restrictions_description,legal_justification,analysis_date,generation_method,publisher_id,legal_reference_1,legal_reference_2,legal_reference_3,legal_reference_4,legal_reference_5,legal_reference_6
c40_0034,Enact and enforce material bans in order to restrict single use and non-recyclable materials,Promulgar y hacer cumplir prohibiciones de materiales para restringir el uso de materiales de un solo uso y no reciclables,waste,conditional,0.5,conditional,0.5,0.67,"Authority exists but is conditional, ambiguous, or mediated by an enabling instrument.",conditional,0.5,0.33,Moderate legal risk; may require prior authorization or face potential legal challenge.,"La Ley 21.100, arts. 1 y 3, prohíbe a los establecimientos de comercio la entrega de bolsas plásticas y fija multas por infracción. La fiscalización del cumplimiento de esta ley en el territorio comunal corresponde a los municipios según el informe BCN de implementación: se trata de una potestad de fiscalización de una ley nacional, no de una potestad reglamentaria propia.

El Segundo Tribunal Ambiental, en sentencia de 22 de diciembre de 2025 (Rol R-521-2025, Papier-Mettler Chile SpA con Ministerio del Medio Ambiente), confirmó que el MMA no tiene potestad de interpretación auténtica de la Ley 21.100 —la prohibición es de carácter estrictamente legal y nacional. Esto implica que ninguna autoridad subnacional, incluidos los municipios, puede alterar el núcleo de la prohibición establecida por la ley mediante instrumentos propios. Los municipios pueden fiscalizar y reforzar comunicacionalmente la Ley 21.100 en su territorio, pero no pueden crear nuevas prohibiciones de materiales adicionales por ordenanza sin habilitación legal expresa. Estudios en materia de libre competencia y orden público económico advierten que restricciones adicionales impuestas por autoridades subnacionales podrían ser objeto de controversia por eventuales efectos anticompetitivos.",2026-04-30,expert review,SSG,Ley 21.100 — Bolsas plásticas — BCN,Ley 18.695 (LOCM) — BCN,Sentencia R-521-2025 — Segundo Tribunal Ambiental,Expediente R-521-2025 — Tribunal Ambiental,,
c40_0035,Optmize waste management systems ,Optimizar los sistemas de gestión de residuos,waste,conditional,0.84,enabled,1.0,0.67,Municipality has explicit legal authority to act directly.,conditional,0.5,0.33,Moderate legal risk; may require prior authorization or face potential legal challenge.,"La Ley 18.695 art. 3 d) establece el aseo y ornato como función esencial municipal, y el art. 6 habilita expresamente a los municipios a contratar privados mediante licitación pública. La competencia es clara y no disputada. La condición relevante es que la eficacia real de la acción depende del diseño de las bases de licitación: si estas no exigen explícitamente optimización de rutas y uso de tecnología de seguimiento, el municipio no puede imponerlo al operador una vez adjudicado el contrato. La competencia de gestión está mediada por el contrato con el operador privado, no es plenamente directa.",2026-04-30,expert review,SSG,Ley 18.695 (LOCM) — BCN,Guía Metodológica Planes Residuos MMA,FNDR — GORE (referencia general),,,
c40_0036,Upgrade Landfills to Engineered Sanitary Landfills with Gas Capture.,Actualizar los vertederos a rellenos sanitarios diseñados con captura de gases.,waste,blocked,0.0,blocked,0.0,0.67,Authority belongs to another level of government; municipality cannot act alone.,blocked,0.0,0.33,"There is a legal prohibition/restriction, or legal reform is needed.","Los rellenos sanitarios son instalaciones de disposición final reguladas exclusivamente por el nivel nacional y regional: la autorización y fiscalización corresponde a la Autoridad Sanitaria (SEREMI de Salud) conforme al D.S. N° 189/2005 del Ministerio de Salud. Las SEREMI de Salud ejercen esta autoridad conforme al Código Sanitario y al D.S. N° 136/2004 (Reglamento Orgánico del MINSAL, arts. 32° y 35°). El municipio no tiene competencia para autorizar, construir ni operar rellenos sanitarios. Su rol posible es de coordinación con la SEREMI Salud y el GORE para identificar terrenos aptos y promover proyectos regionales, pero sin poder de decisión propio.",2026-04-30,expert review,SSG,D.S. 189/2005 Ministerio de Salud — BCN,Ley 18.695 (LOCM) — BCN,Ley 19.300 Bases del Medio Ambiente (SEIA) — BCN,D.S. 136/2004 Reglamento Orgánico MINSAL — BCN,,
c40_0037,"Implement residential and business segregated collection of recyclables, organic, and residual waste","Implementar la recolección segregada de residuos reciclables, orgánicos y residuales en viviendas y negocios",waste,blocked,0.34,conditional,0.5,0.67,"Authority exists but is conditional, ambiguous, or mediated by an enabling instrument.",blocked,0.0,0.33,"There is a legal prohibition/restriction, or legal reform is needed.","La Ley 18.695 art. 3 d) establece un mandato municipal claro sobre la recolección domiciliaria. La Ley REP 20.920 y su decreto de envases y embalajes (DS 12/2020) definen que los flujos de reciclables son responsabilidad de los Sistemas de Gestión, y que los municipios deben articular con ellos la recolección selectiva en sus territorios. La Resolución Exenta N° 9/2022 del MMA aprobó un modelo de ordenanza municipal que habilita a los municipios para incorporar la obligación de separar residuos en origen —pero dentro de los parámetros definidos por los decretos REP, no de forma unilateral.

La barrera principal es la dificultad de imponer y fiscalizar la separación en origen sin habilitación sancionatoria nacional: la ordenanza municipal puede establecer la obligación, pero carece de mecanismo coercitivo efectivo si el ciudadano no cumple, ya que no existe una obligación legal nacional para hogares que respalde la sanción municipal. No existe a la fecha sentencia judicial o dictamen de Contraloría que valide o invalide expresamente una ordenanza municipal que imponga separación en origen más allá de los parámetros del DS 12/2020.",2026-04-30,expert review,SSG,Ley 18.695 (LOCM) — BCN,Ley 20.920 REP — BCN,DS 12/2020 — Metas envases y embalajes — BCN,Res. Ex. N°9/2022 MMA — Modelo Ordenanza REP,DS 7/2017 MMA — Fondo para el Reciclaje,
c40_0040,Implement Volume-Based Collection policy,Implementar la política de recolección basada en volumen,waste,conditional,0.5,conditional,0.5,0.67,"Authority exists but is conditional, ambiguous, or mediated by an enabling instrument.",conditional,0.5,0.33,Moderate legal risk; may require prior authorization or face potential legal challenge.,"El DL N° 3.063 de 1979 (Rentas Municipales), arts. 6°-9°, habilita al municipio para cobrar un derecho de aseo domiciliario y regularlo mediante ordenanza local. El art. 7° establece que la tarifa es anual y se fija en función del costo real del servicio. El art. 8° define la extracción usual y ordinaria como aquella que no sobrepasa 60 litros diarios, fijando ese parámetro como referencia de extracción habitual —no como un sistema de medición individualizada por hogar. El art. 6° inc. 2° habilita expresamente a diferenciar la tarifa según programas ambientales que incluyan reciclaje. La Ley 18.695 art. 3 d) complementa esta habilitación como base general de la función de aseo.

La tarificación por volumen al estilo PAYT moderno —con medición individualizada— no está tipificada expresamente en el texto legal. Es una construcción jurídica interpretativa. La jurisprudencia administrativa de Contraloría General de la República es consistente en aplicar el principio de legalidad estricta a la configuración del derecho de aseo: los dictámenes N° 29.860/2006, N° 9.294/2003 y N° 30.585/2004 reiteran que los municipios carecen de facultades para alterar la estructura del derecho de aseo más allá de lo habilitado expresamente por el DL 3.063. Los dictámenes N° 33.416/2016 y N° 4.059/2016 confirman que el cobro debe ceñirse a los parámetros de los arts. 7° y 9° del decreto. Un diseño PAYT que se aparte significativamente de la lógica de tarifa anual por extracción usual estará bajo escrutinio y requiere una justificación particularmente rigurosa en la ordenanza habilitante. No existe a la fecha un dictamen específico de Contraloría que valide o declare ilegal un PAYT individualizado, por lo que el riesgo de impugnación es prudencial, no confirmado por pronunciamiento firme. Texto consolidado del DL 3.063 pendiente de verificación en BCN.",2026-04-30,expert review,SSG,DL 3.063 Rentas Municipales — BCN,Ley 18.695 (LOCM) — BCN,Dictamen CGR N°29.860/2006 — vLex,Dictamen CGR N°33.416/2016 — Contraloría,Dictamen CGR N°4.059/2016 — vLex,
icare_0053,Support cooperatives of voluntary waste collectors to aggregate into small enterprises and expand into organics management,Apoyar a las cooperativas de recolectores voluntarios de residuos para que se agrupen en pequeñas empresas y se expandan hacia la gestión de orgánicos,waste,conditional,0.5,conditional,0.5,0.67,"Authority exists but is conditional, ambiguous, or mediated by an enabling instrument.",conditional,0.5,0.33,Moderate legal risk; may require prior authorization or face potential legal challenge.,"La Ley 18.695 habilita al municipio a celebrar convenios para la gestión de residuos y a otorgar subvenciones a personas jurídicas sin fines de lucro que colaboren con sus funciones (art. 5° g). La Ley 19.207 (Ley Orgánica de SERCOTEC) habilita programas de fomento productivo para microempresas y cooperativas, incluyendo formalización de unidades de reciclaje. La limitación es que no existe un marco legal específico para recicladores informales en la legislación chilena de residuos: el vacío normativo hace que la base jurídica sea interpretativa y el apoyo municipal sea discrecional, sin obligación legal de mantenerlo entre administraciones.",2026-04-30,expert review,SSG,Ley 18.695 (LOCM) — BCN,Ley 19.207 — Ley Orgánica SERCOTEC — BCN,Ley 20.920 REP — BCN,DS 7/2017 MMA — Fondo para el Reciclaje,PMU SUBDERE — Programa Mejoramiento Urbano,
icare_0064,Develop an organic waste management strategy ,Desarrollar una estrategia de gestión de residuos orgánicos,waste,enabled,1.0,enabled,1.0,0.67,Municipality has explicit legal authority to act directly.,enabled,1.0,0.33,No legal restrictions; no additional authorization required.,"La Ley 18.695, art. 3 d) establece el aseo y ornato de la comuna como función privativa municipal, lo que constituye la base legal expresa para gestionar residuos orgánicos en el territorio. El art. 25 de la misma ley precisa que la Unidad de Aseo y Ornato —encargada de extracción de basura y administración de áreas verdes— es obligatoria en comunas con más de 100.000 habitantes; en comunas menores la función existe igualmente por art. 3 d), aunque sin unidad formal obligatoria. La alineación con política nacional es parcial: la ENRO 2040 fija la meta del 66% de valorización de residuos orgánicos y la acción está directamente orientada a ese objetivo, pero el encaje exacto del PACCC comunal en la LMCC requiere verificación del texto consolidado vigente en BCN.",2026-04-30,expert review,SSG,Ley 18.695 (LOCM) — BCN,ENRO 2040 — Estrategia Nacional Residuos Orgánicos,Guía Metodológica Planes Residuos MMA,LMCC — Ley 21.455 — BCN,,
icare_0110,"Regulate Construction and Demolition Waste Management to improve deconstruction, segregation at source, reutilization and recycling","Regular la gestión de residuos de construcción y demolición para mejorar la deconstrucción, la segregación en origen, la reutilización y el reciclaje",waste,conditional,0.5,conditional,0.5,0.67,"Authority exists but is conditional, ambiguous, or mediated by an enabling instrument.",conditional,0.5,0.33,Moderate legal risk; may require prior authorization or face potential legal challenge.,"La Ley 18.695 art. 3 d) habilita al municipio para exigir condiciones de gestión de residuos de construcción y demolición (RCD) vía permisos DOM (LGUC / OGUC, D.S. 47/1992 MINVU). El D.S. N° 4/2009 del MINVU regula específicamente el manejo de RCD y es la norma técnica aplicable. La restricción relevante es que la fracción peligrosa de RCD —suelos contaminados por constituyentes de la Lista II del D.S. 148/2003 MINSAL— queda sujeta a la Autoridad Sanitaria (SEREMI Salud), no al DOM. El municipio debe verificar si los RCD contienen esos constituyentes antes de gestionar. Adicionalmente, el D.S. 4/2009 está desactualizado (2009), lo que puede facilitar su impugnación si el municipio exige condiciones de reciclaje avanzado que la norma no contempla expresamente.",2026-04-30,expert review,SSG,Ley 18.695 (LOCM) — BCN,D.S. 4/2009 MINVU — Gestión RCD — BCN,D.S. 47/1992 MINVU — OGUC — BCN,D.S. 148/2003 MINSAL — Residuos peligrosos — BCN,PMU SUBDERE — Programa Mejoramiento Urbano,
icare_0111,Strengthen Extended Producer Responsibility (EPR) Systems,Fortalecer los sistemas de Responsabilidad Extendida del Productor (EPR),waste,blocked,0.0,blocked,0.0,0.67,Authority belongs to another level of government; municipality cannot act alone.,blocked,0.0,0.33,"There is a legal prohibition/restriction, or legal reform is needed.","La Ley REP 20.920 establece el marco legal completo para la Responsabilidad Extendida del Productor en Chile. La competencia regulatoria sobre el sistema corresponde expresamente al nivel nacional: la División de Recursos Naturales, Residuos y Evaluación de Riesgo del MMA tiene la atribución de diseñar políticas y normas en materia de residuos (Art. 7° letra c, D.S. N° 8/2012 del MMA), las metas REP son fijadas por el MMA mediante decretos supremos (DS 12/2020 para envases y embalajes), y la SMA fiscaliza el cumplimiento.

La Resolución Exenta N° 9 de 2022 del MMA aprobó un modelo de ordenanza municipal para envases y embalajes en el marco del DS 12/2020, estableciendo que las municipalidades deben incorporar en sus ordenanzas la obligación de separar residuos en origen dentro de los parámetros definidos por los decretos REP. Esto confirma que el rol municipal en el sistema REP es de apoyo operativo y reglamentario local —no de regulación del sistema en sí. Doctrina administrativa reciente (fichas CGR 2023-2024 sobre implementación REP) reitera que la regulación de metas y obligaciones corresponde al nivel central y los municipios solo pueden complementar en el plano operativo. Los Sistemas de Gestión son entidades privadas fiscalizadas por la SMA, completamente fuera del alcance regulatorio municipal.",2026-04-30,expert review,SSG,Ley 20.920 REP — BCN,DS 12/2020 — Metas envases y embalajes — BCN,Res. Ex. N°9/2022 MMA — Modelo Ordenanza REP,D.S. 8/2012 MMA — Reglamento Orgánico — BCN,DS 7/2017 MMA — Fondo para el Reciclaje,Portal Economía Circular MMA — Ley REP
icare_0122,Establish eco-parks.,Establecer eco-parques.,waste,conditional,0.5,conditional,0.5,0.67,"Authority exists but is conditional, ambiguous, or mediated by an enabling instrument.",conditional,0.5,0.33,Moderate legal risk; may require prior authorization or face potential legal challenge.,"La Ley 18.695 habilita al municipio para desarrollar infraestructura en suelo propio (arts. 3d y 5°). La competencia existe pero está condicionada por una cadena de habilitantes que el municipio no controla unilateralmente: un eco-parque de escala relevante requiere ingreso al SEIA (proceso de uno a dos años), autorización de la SEREMI MMA y permisos DOM. No existe una definición legal de 'eco-parque' en la normativa chilena, lo que genera riesgo de interpretaciones diversas por parte de las autoridades sectoriales. La alineación con política nacional es referencial: el MINVU tiene políticas de parques urbanos y el MMA tiene lineamientos de centros de valorización, pero ninguno constituye un mandato directo al municipio.",2026-04-30,expert review,SSG,Ley 18.695 (LOCM) — BCN,D.S. 8/2012 MMA — Reglamento Orgánico — BCN,Ley 19.300 Bases del Medio Ambiente (SEIA) — BCN,DS 7/2017 MMA — Fondo para el Reciclaje,D.S. 312/2016 MINVU — Espacios Públicos — BCN,
