program_id,program_name,funder,program_gpc_sector,program_climate_relevance,action_id,action_name,action_gpc_ref,mapping_confidence,rationale
indap_tas,Transición a la Agricultura Sostenible (TAS),INDAP,afolu,explicit,icare_0045,"Promote organic, regenerative and agroecological agriculture in rural areas",{'V.2'},high,TAS's stated purpose is the transition to sustainable/agroecological farming systems — a direct match to regenerative/agroecological agriculture.
indap_tas,Transición a la Agricultura Sostenible (TAS),INDAP,afolu,explicit,ipcc_0067,Improve manure management and crop nutrient practices,"{'V.1','V.2'}",medium,TAS transition investments include soil/nutrient practices; partial overlap with crop-nutrient management.
indap_tas,Transición a la Agricultura Sostenible (TAS),INDAP,afolu,explicit,icare_0099,Increase local participation in Agroecological Certification Programmes,"{'V.1','V.2'}",medium,TAS can lead users toward agroecological certification; instrument-adjacent (medium by convention).
indap_sirsds,SIRSD-S,INDAP,afolu,explicit,ipcc_0067,Improve manure management and crop nutrient practices,"{'V.1','V.2'}",medium,"SIRSD-S funds phosphorus fertilization and chemical correction — overlaps crop-nutrient practices, but SIRSD's soil-restoration core has no exact action (taxonomy gap)."
indap_sirsds,SIRSD-S,INDAP,afolu,explicit,icare_0045,"Promote organic, regenerative and agroecological agriculture in rural areas",{'V.2'},medium,Cover-crop establishment and erosion control are regenerative-agriculture practices; partial match.
indap_riego,Programa de Riego (PROMR/PRI),INDAP,afolu,explicit,,,,none,No on-farm irrigation / agricultural water-efficiency action exists in the target list; closest water actions are urban supply/energy. Taxonomy gap.
indap_prodesal,PRODESAL,INDAP,afolu,climate-adjacent,icare_0045,"Promote organic, regenerative and agroecological agriculture in rural areas",{'V.2'},medium,"Broad municipal-delivered extension with an explicit climate-adaptation/sustainable-practice mandate; delivery vehicle, not the option itself — medium."
indap_pdti,PDTI (INDAP-CONADI),INDAP,afolu,climate-adjacent,icare_0045,"Promote organic, regenerative and agroecological agriculture in rural areas",{'V.2'},medium,Indigenous rural-development extension that can fund sustainable practices; broad delivery vehicle — medium.
indap_pdti,PDTI (INDAP-CONADI),INDAP,afolu,climate-adjacent,icare_0127,Improve Accelerate Environmental Regularization of Rural Properties,{'V.2'},low,"PDTI can support environmental/land regularization for indigenous rural properties; weak, conditional."
indap_sat,Servicio de Asesoría Técnica (SAT),INDAP,afolu,climate-adjacent,icare_0045,"Promote organic, regenerative and agroecological agriculture in rural areas",{'V.2'},medium,Technical-advisory instrument toward sustainable practices; medium by the instruments convention.
indap_pap,Programa de Alianzas Productivas (PAP),INDAP,afolu,indirect,icare_0132,Encourage Local Agroecological Production and Short Supply Chains,{'V.2'},medium,Alianzas Productivas links smallholders to buyers; overlaps short-supply-chain action where produce is agroecological.
indap_pdi,Programa Desarrollo de Inversiones (PDI),INDAP,afolu,indirect,icare_0101,Accelerate the adoption of Zero Emission Agricultural Machinery,{'V.2'},low,PDI can co-finance on-farm machinery incl. lower-emission models; broad investment fund — low.
indap_pdi,Programa Desarrollo de Inversiones (PDI),INDAP,afolu,indirect,icare_0045,"Promote organic, regenerative and agroecological agriculture in rural areas",{'V.2'},low,PDI can co-finance sustainable productive investments; broad and indirect — low.
indap_creditos,Créditos INDAP,INDAP,afolu,indirect,,,,none,"Cross-cutting credit instrument financing any AFC investment; a finance lever, not a specific intervention."
