source_id,legacy_source_ids,sectors,title,publisher,publication_year,scope,url,tier,access_status,review_status,reviewed_by,reviewed_at,review_note
doc_0a8381c07d2d,GS_SRC_005,geohydrological_disasters,Scaling Up Flood Risk Management in Brazil to Build Community-Level Resilience: Identifying Disaster Risk and Building Capacity to Inform Urban Resilience Strategies at Both the National and Local Levels,World Bank,2021,brazil,https://thedocs.worldbank.org/en/doc/7d99a71998e1aae72110dffda1b27be1-0360012021/original/RIR-Brazil-20210407-Final-sy-bmj-1.pdf,B,retrieved,needs_review,,,The URL returned a PDF response; title and publisher still require document review.; reused existing validated PDF; 892201 bytes; identity_status=not_checked; human_review_status=download
doc_0da019ea3d32,H_SRC_010,health,Brazil Policy Brief 2023,Lancet Countdown / Fundação Oswaldo Cruz (Fiocruz),2023,international,https://lancetcountdown.org/wp-content/uploads/2024/06/2023-Lancet-Countdown-Policy-Brief_Brazil_EN.pdf,C,retrieved,proposed,,,Official Lancet Countdown resource page and PDF.; reused existing validated PDF; 2608625 bytes
doc_0df3327d3604,ES_SRC_001,energy_security,"Documento teórico-metodológico do Setor Estratégico Segurança Energética — AdaptaBrasil MCTI, versão 2.0",Instituto Nacional de Pesquisas Espaciais (INPE) / AdaptaBrasil MCTI,2023,brazil,https://www.dropbox.com/scl/fi/ok4raqpty3d8znavifvth/Te-rico-metodol-gico_Seguran-a_Energ-tica_19_07_2023.pdf?rlkey=jy2af1bhtfaaw14c5cwt01nho&dl=1,A,retrieved,proposed,,,Official AdaptaBrasil methodology-page link; workbook metadata was generic.; reused existing validated PDF; 1368282 bytes
doc_0fd938923517,ES_SRC_006,energy_security,Brazil Country Climate and Development Report,World Bank Group,2023,brazil,https://openknowledge.worldbank.org/server/api/core/bitstreams/8c0713d7-5768-4f2c-9be5-e5aa1a3855b5/content,B,retrieved,needs_review,,,The URL returned a PDF response; title and publisher still require document review.; reused existing validated PDF; 1118845 bytes; identity_status=not_checked; human_review_status=download
doc_118973b1113d,FS_SRC_005,food_security,Brazil National Pathways to Sustainable Food Systems,Government of Brazil / UN Food Systems Summit,2023,brazil,https://www.unfoodsystemshub.org/docs/unfoodsystemslibraries/national-pathways/brazil/2023-07-21-caminhos-nacionais-ii-eng.pdf,C,retrieved,needs_review,,,The URL returned a PDF response; title and publisher still require document review.; reused existing validated PDF; 143728 bytes; identity_status=not_checked; human_review_status=download
doc_189e08cb3e77,GS_SRC_010,geohydrological_disasters,Lifelines: The Resilient Infrastructure Opportunity,World Bank,2019,international,https://documents1.worldbank.org/curated/en/111181560974989791/pdf/Lifelines-The-Resilient-Infrastructure-Opportunity.pdf,B,retrieved,needs_review,,,The URL returned a PDF response; title and publisher still require document review.; reused existing validated PDF; 10330564 bytes; identity_status=not_checked; human_review_status=download
doc_18fcb773cee6,B_SRC_010,biodiversity,"Climate Change 2022: Impacts, Adaptation and Vulnerability - Chapter 2: Terrestrial and Freshwater Ecosystems and their Services",IPCC,2022,international,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter02.pdf,A,retrieved,proposed,,,Official IPCC chapter PDF.; reused existing validated PDF; 21745080 bytes
doc_1aed04b860be,WR_SRC_005,water_resources,Plano Nacional de Saneamento Básico (PLANSAB) – Revisão 2019,Ministério do Desenvolvimento Regional,2020,brazil,https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/saneamento/plano-nacional-de-saneamento-basico-plansab/revisao-2019/revisao-2019,A,not_checked,needs_review,,,The workbook names the 2019 Plansab revision but links the 2020 annual evaluation report published in 2022. Select the intended document before download.; identity_status=link_mismatch; human_review_status=review_first
doc_1c1f319ccb62,B_SRC_005,biodiversity,Plano Nacional de Adaptação à Mudança do Clima,Governo Federal do Brasil,2016,brazil,https://unfccc.int/sites/default/files/resource/NAP_Brazil_2016_PR.pdf,A,retrieved,needs_review,,,The URL returned a PDF response; title and publisher still require document review.; reused existing validated PDF; 8559017 bytes; identity_status=not_checked; human_review_status=download
doc_25866adf8d39,WR_SRC_007,water_resources,Guidance on Water and Adaptation to Climate Change,United Nations Economic Commission for Europe (UNECE),2009,international,https://digitallibrary.un.org/record/670358/files/Guidance_water_climate.pdf,B,retrieved,accepted,amandaeames,2026-08-28,Official UNECE replacement PDF confirmed.; updated to the official United Nations Digital Library copy; HTTP 200; application/pdf; 14059160 bytes; Accepted for the Water Resources pilot source set.
