action_id,action_name,action_type,hazard_name,sector_names,subsector_names,primary_purpose,description,cobenefits_airquality,cobenefits_waterquality,cobenefits_habitat,cobenefits_costofliving,cobenefits_housing,cobenefits_mobility,cobenefits_stakeholderengagement,equity_and_inclusion_considerations,ghgreduction_stationary_energy,ghgreduction_transportation,ghgreduction_waste,ghgreduction_ippu,ghgreduction_afolu,adaptation_effectiveness,cost_investment_needed,timeline_for_implementation,dependencies,key_performance_indicators,powers_and_mandates,adaptation_effectiveness_droughts,adaptation_effectiveness_heatwaves,adaptation_effectiveness_floods,adaptation_effectiveness_sealevelrise,adaptation_effectiveness_landslides,adaptation_effectiveness_storms,adaptation_effectiveness_wildfires,adaptation_effectiveness_diseases,biome
c40_0009,Novos Padrões de Construção,{mitigation},,{stationary_energy},{all},{ghg_reduction},"""Novos Padrões de Construção"" estabelecem diretrizes para a construção ambientalmente responsável, garantindo que novas estruturas sigam práticas de eficiência energética, reduzindo assim as emissões de carbono e promovendo o desenvolvimento urbano sustentável.",1,0,0,0,-1,0,0,"Os ""Novos Padrões de Construção"" promovem equidade e inclusão ao garantir que todas as novas construções, incluindo aquelas em comunidades vulneráveis ou carentes, sigam práticas de eficiência energética. Isso ajuda a reduzir os custos de energia para os residentes, tornando a habitação mais acessível e disponível. Além disso, ao priorizar o desenvolvimento urbano sustentável, esses padrões podem levar a melhores condições de vida e resultados de saúde nessas comunidades, que muitas vezes enfrentam encargos ambientais desproporcionais. Ademais, a implementação desses padrões pode criar oportunidades de emprego na construção verde, beneficiando os trabalhadores locais e promovendo o empoderamento econômico em áreas carentes. No geral, a ação considera as necessidades das populações vulneráveis ao promover práticas sustentáveis que melhoram sua qualidade de vida e estabilidade econômica.",0-19,,,,,,low,<5 years,"['Quadro regulatório para aplicar normas de construção', 'Disponibilidade de materiais de construção sustentáveis', 'Treinamento e educação para construtores e arquitetos sobre práticas de eficiência energética', 'Sistemas de monitoramento e avaliação para verificar a conformidade com as normas', 'Conscientização pública e apoio para práticas de construção sustentáveis']","['Redução nas emissões de carbono de novos edifícios', 'Percentagem de novos edifícios que cumprem os padrões de eficiência energética', 'Aumento no uso de materiais sustentáveis na construção', 'Número de edifícios certificados sob padrões de construção verde', 'Redução do consumo de energia em novas construções', 'Percentagem de projetos de desenvolvimento urbano que incorporam espaços verdes']",,,,,,,,,,none
c40_0010,Novos Padrões de Construção,{mitigation},,{stationary_energy},{residential_buildings},{ghg_reduction},"""Novos Padrões de Construção, Edifícios Residenciais"" estabelecem diretrizes para a construção ambientalmente responsável, garantindo que novas estruturas sigam práticas de eficiência energética, reduzindo assim as emissões de carbono e promovendo o desenvolvimento urbano sustentável.",1,0,0,0,-1,0,0,"A ação ""Novos Padrões de Construção, Edifícios Residenciais"" promove equidade e inclusão de várias maneiras:

1. **Acesso à Habitação Sustentável**: Ao estabelecer diretrizes para práticas energeticamente eficientes, a ação garante que todos os novos edifícios residenciais, incluindo aqueles em comunidades carentes, sejam construídos de forma ambientalmente responsável. Isso pode levar a custos de serviços públicos mais acessíveis para os residentes, beneficiando famílias de baixa renda.

2. **Ambientes de Vida Mais Saudáveis**: O foco no desenvolvimento urbano sustentável contribui para condições de vida mais saudáveis, o que é particularmente importante para populações vulneráveis que podem ser desproporcionalmente afetadas pela má qualidade da habitação e riscos ambientais.

3. **Criação de Empregos em Áreas Carentes**: A implementação de novos padrões de construção pode criar oportunidades de emprego na construção e em áreas relacionadas, especialmente em comunidades que podem carecer de recursos econômicos. Isso pode ajudar a impulsionar as economias locais e fornecer emprego para os residentes.

4. **Resiliência Comunitária**: Ao promover a eficiência energética e práticas sustentáveis, a ação aumenta a resiliência das comunidades aos impactos climáticos, o que é crucial para populações vulneráveis que podem ser mais suscetíveis a desafios relacionados ao clima.

5. **Desenvolvimento de Políticas Inclusivas**: O estabelecimento de padrões de construção muitas vezes envolve o engajamento de partes interessadas, o que pode incluir a contribuição de membros da comunidade, particularmente aqueles de origens carentes, garantindo que suas necessidades e perspectivas sejam consideradas no processo de desenvolvimento.

No geral, a ação integra equidade e inclusão ao garantir que todas as comunidades, especialmente aquelas que são vulneráveis ou carentes, se beneficiem de práticas de construção sustentáveis e condições de vida melhoradas.",20-39,,,,,,low,<5 years,"['Quadro regulatório para aplicar normas de construção', 'Disponibilidade de materiais de construção sustentáveis', 'Treinamento e educação para construtores e arquitetos sobre práticas de eficiência energética', 'Incentivos para desenvolvedores adotarem práticas de construção verde', 'Mecanismos de monitoramento e avaliação para verificar a conformidade com as normas']","['Redução do consumo de energia', 'Redução das emissões de carbono', 'Percentagem de edifícios que cumprem os padrões', 'Economia de custos com eficiência energética', 'Redução do uso de água', 'Uso de materiais sustentáveis', 'Satisfação dos ocupantes', 'Taxa de conformidade com os padrões de construção']",,,,,,,,,,none
c40_0012,Novos Padrões de Construção,{mitigation},,{stationary_energy},{commercial_and_institutional_buildings_and_facilities},{ghg_reduction},"""Novos Padrões de Construção, Edifícios Institucionais"" estabelecem diretrizes para a construção ambientalmente responsável, garantindo que novas estruturas sigam práticas de eficiência energética, reduzindo assim as emissões de carbono e promovendo o desenvolvimento urbano sustentável.",1,0,0,0,-1,0,0,"A ação ""Novos Padrões de Construção, Edifícios Institucionais"" promove equidade e inclusão de várias maneiras:

1. **Acesso a Ambientes Saudáveis**: Ao garantir que novos edifícios institucionais sejam construídos com práticas eficientes em termos de energia, a ação contribui para ambientes de vida e trabalho mais saudáveis para todos os membros da comunidade, beneficiando particularmente populações vulneráveis que podem ser mais suscetíveis a riscos ambientais.

2. **Criação de Empregos e Oportunidades Econômicas**: A implementação desses padrões de construção pode criar oportunidades de emprego na construção e em áreas relacionadas, especialmente para comunidades carentes. Isso pode ajudar a impulsionar economias locais e fornecer caminhos para empregos estáveis.

3. **Engajamento Comunitário**: O desenvolvimento de novos padrões de construção frequentemente envolve a participação da comunidade, garantindo que as vozes das populações carentes sejam ouvidas e consideradas no processo de tomada de decisão, promovendo um senso de propriedade e inclusão.

4. **Economia de Custos a Longo Prazo**: Edifícios eficientes em termos de energia podem levar a custos de serviços públicos mais baixos, o que é particularmente benéfico para famílias e comunidades de baixa renda. Esse alívio financeiro pode ajudar a reduzir disparidades econômicas e melhorar a qualidade de vida geral.

5. **Resiliência aos Impactos Climáticos**: Ao promover o desenvolvimento urbano sustentável, a ação ajuda a construir resiliência em comunidades que são frequentemente as mais afetadas pelas mudanças climáticas, garantindo que populações vulneráveis estejam melhor equipadas para lidar com desafios ambientais.

No geral, a ação integra equidade e inclusão ao abordar as necessidades de comunidades carentes, promover oportunidades econômicas e fomentar ambientes mais saudáveis.",20-39,,,,,,low,<5 years,"['Conformidade das empresas de construção com os novos padrões', 'Apoio de agências governamentais para fiscalização e monitoramento', 'Disponibilidade de programas de treinamento para construtores e arquitetos sobre práticas de eficiência energética', 'Conscientização e aceitação pública de práticas de construção sustentável', 'Acesso a financiamento ou incentivos para implementação de tecnologias de eficiência energética']","['Redução do consumo de energia', 'Redução das emissões de carbono', 'Percentagem de edifícios que atendem aos novos padrões', 'Economia de custos com eficiência energética', 'Redução do uso de água', 'Uso de materiais sustentáveis', 'Taxas de ocupação de edifícios', 'Taxa de conformidade com os códigos de construção', 'Redução do efeito de ilha de calor urbana', 'Feedback dos ocupantes dos edifícios sobre conforto e sustentabilidade']",,,,,,,,,,none
c40_0013,Novos Padrões de Construção,{mitigation},,{stationary_energy},{manufacturing_industries_and_construction},{ghg_reduction},"""Novos Padrões de Construção, Industrial"" estabelecem diretrizes para a construção ambientalmente responsável, garantindo que novas estruturas sigam práticas de eficiência energética, reduzindo assim as emissões de carbono e promovendo o desenvolvimento urbano sustentável.",1,0,0,0,-1,0,0,"A ação ""Novos Padrões de Construção, Industrial"" promove equidade e inclusão ao garantir que todas as novas estruturas, incluindo aquelas em comunidades vulneráveis ou carentes, sigam práticas de eficiência energética. Isso ajuda a reduzir os custos de energia para residentes e empresas nessas áreas, tornando a vida sustentável mais acessível. Além disso, ao priorizar a construção ambientalmente responsável, a ação apoia condições de vida mais saudáveis, o que pode beneficiar desproporcionalmente populações carentes que podem enfrentar maior exposição a riscos ambientais. Além disso, a implementação desses padrões pode criar oportunidades de emprego na construção verde, proporcionando benefícios econômicos para comunidades locais que podem ter sido historicamente marginalizadas. No geral, a ação promove um cenário de desenvolvimento urbano mais equitativo ao integrar a sustentabilidade na estrutura de todos os novos edifícios, elevando assim as comunidades vulneráveis.",20-39,,,,,,low,<5 years,"['Quadro regulatório para aplicar normas de construção', 'Disponibilidade de materiais de construção sustentáveis', 'Programas de formação e certificação para construtores e arquitetos', 'Mecanismos de monitoramento e conformidade para garantir a adesão às normas', 'Conscientização pública e apoio a práticas de construção sustentáveis']","['Redução nas emissões de carbono (toneladas/ano)', 'Percentual de novos edifícios que atendem aos padrões de eficiência energética', 'Consumo de energia por metro quadrado de novos edifícios', 'Percentual de materiais sustentáveis utilizados na construção', 'Número de novos edifícios certificados sob padrões de construção verde', 'Redução nos custos de energia para novos edifícios', 'Aumento no uso de energia renovável em novas construções', 'Taxa de conformidade com os padrões de construção']",,,,,,,,,,none
c40_0014,Normas de Edifícios Existentes,{mitigation},,{stationary_energy},{all},{ghg_reduction},"""Normas de Edifícios Existentes"" envolvem intervenções para melhorar o desempenho ambiental das estruturas atuais, visando aumentar a eficiência energética, reduzir emissões e melhorar a sustentabilidade geral dentro de uma cidade.",1,0,0,0,-1,0,0,"A ação climática ""Padrões de Edifícios Existentes"" promove equidade e inclusão ao focar nos seguintes aspectos:

1. **Foco em Comunidades Vulneráveis**: Ao melhorar o desempenho ambiental de edifícios existentes, a ação atende às necessidades de comunidades carentes que frequentemente residem em estruturas mais antigas e menos eficientes. Essas comunidades geralmente enfrentam custos de energia mais altos e condições de vida piores.

2. **Benefícios da Eficiência Energética**: Melhorar a eficiência energética em edifícios pode levar a contas de serviços públicos mais baixas, beneficiando diretamente as famílias de baixa renda. Esse alívio financeiro ajuda a aliviar os encargos econômicos sobre populações vulneráveis.

3. **Melhorias na Saúde**: Atualizar os padrões de construção pode levar a uma melhor qualidade do ar interno e condições de vida em geral, o que é particularmente benéfico para grupos marginalizados que podem ser mais suscetíveis a problemas de saúde relacionados a condições habitacionais precárias.

4. **Criação de Empregos e Treinamento**: A implementação desses padrões pode criar oportunidades de emprego na comunidade local, especialmente para indivíduos de origens carentes. Isso pode incluir programas de treinamento que equipam os residentes com habilidades necessárias para empregos verdes.

5. **Engajamento Comunitário**: O desenvolvimento e a implementação de padrões de construção frequentemente envolvem a participação da comunidade, garantindo que as vozes daqueles em comunidades vulneráveis sejam ouvidas e consideradas nos processos de tomada de decisão.

6. **Resiliência aos Impactos Climáticos**: Ao melhorar a sustentabilidade dos edifícios existentes, a ação ajuda as comunidades vulneráveis a se tornarem mais resilientes aos impactos das mudanças climáticas, como eventos climáticos extremos, promovendo assim a equidade a longo prazo.

No geral, a iniciativa ""Padrões de Edifícios Existentes"" considera inerentemente a equidade e a inclusão ao abordar as necessidades e desafios específicos enfrentados por comunidades carentes, promovendo, em última análise, um ambiente urbano mais sustentável e equitativo.",0-19,,,,,,low,<5 years,"['Disponibilidade de financiamento para reformas e atualizações', 'Acesso a mão de obra qualificada e empreiteiros para implementação', 'Conformidade com os códigos e regulamentos de construção locais', 'Disponibilidade de tecnologia e materiais para melhorias de eficiência energética', 'Apoio do governo local e partes interessadas para mudanças de políticas', 'Conscientização e aceitação pública dos padrões de construção e práticas de sustentabilidade']","['Redução do consumo de energia', 'Redução das emissões de gases de efeito estufa', 'Percentagem de edifícios que atendem aos novos padrões', 'Economia de custos com melhorias na eficiência energética', 'Aumento no uso de energia renovável', 'Satisfação e níveis de conforto dos ocupantes', 'Redução no uso de água', 'Melhoria na qualidade do ar interior', 'Taxa de conclusão de retrofit de edifícios', 'Taxa de conformidade com os padrões de construção existentes']",,,,,,,,,,none
c40_0015,Normas de Edifícios Existentes,{mitigation},,{stationary_energy},{residential_buildings},{ghg_reduction},"""Normas de Edifícios Existentes, Edifícios Residenciais"" envolvem intervenções para melhorar o desempenho ambiental das estruturas atuais, visando aumentar a eficiência energética, diminuir as emissões e melhorar a sustentabilidade geral dentro de uma cidade.",1,0,0,0,-1,0,0,"A ação climática ""Padrões de Edifícios Existentes, Edifícios Residenciais"" promove equidade e inclusão de várias maneiras:

1. **Focando em Comunidades Vulneráveis**: Ao concentrar-se em melhorar o desempenho ambiental de edifícios residenciais existentes, a ação atende às necessidades de comunidades de baixa renda e desatendidas que frequentemente residem em habitações mais antigas e menos eficientes. Essas populações geralmente enfrentam custos de energia mais altos e podem não ter recursos para fazer melhorias por conta própria.

2. **Benefícios da Eficiência Energética**: Melhorar a eficiência energética em edifícios residenciais pode levar a contas de serviços públicos mais baixas, o que beneficia diretamente as famílias de baixa renda. Esse alívio financeiro pode ajudar a aliviar os encargos econômicos e melhorar a qualidade de vida geral.

3. **Melhorias na Saúde**: Atualizar os padrões de construção pode levar a uma melhor qualidade do ar interno e reduzir a exposição a riscos ambientais, que afetam desproporcionalmente as populações vulneráveis. Isso contribui para melhores resultados de saúde para essas comunidades.

4. **Criação de Empregos e Oportunidades Econômicas**: A implementação de padrões de construção muitas vezes envolve trabalhos de retrofit e renovação, que podem criar oportunidades de emprego em comunidades locais, particularmente para aqueles que podem enfrentar barreiras ao emprego. Isso pode ajudar a estimular as economias locais e fornecer caminhos para o avanço econômico.

5. **Engajamento Comunitário**: O desenvolvimento e a implementação de padrões de construção podem envolver a participação da comunidade, garantindo que as vozes das populações desatendidas sejam ouvidas e consideradas nos processos de tomada de decisão. Isso promove um senso de propriedade e inclusão nos esforços de ação climática.

6. **Sustentabilidade a Longo Prazo**: Ao melhorar a sustentabilidade dos edifícios residenciais, a ação contribui para a resiliência das comunidades que são frequentemente as mais vulneráveis aos impactos climáticos, garantindo que estejam melhor equipadas para suportar mudanças ambientais.

No geral, a ação integra equidade e inclusão ao atender às necessidades específicas das comunidades desatendidas, promovendo benefícios de saúde e econômicos e garantindo a participação da comunidade no processo.",20-39,,,,,,low,<5 years,"['Disponibilidade de financiamento para reformas e atualizações', 'Acesso a mão de obra qualificada para implementar melhorias em edifícios', 'Conformidade com os códigos e regulamentos de construção locais', 'Disponibilidade de tecnologias e materiais energeticamente eficientes', 'Apoio do governo local e das partes interessadas para a implementação de políticas', 'Conscientização e aceitação pública das práticas de sustentabilidade']","['Redução do consumo de energia', 'Redução das emissões de gases de efeito estufa', 'Percentagem de edifícios que atendem aos novos padrões', 'Economia de custos com melhorias na eficiência energética', 'Aumento no uso de energia renovável', 'Satisfação e níveis de conforto dos ocupantes', 'Redução no uso de água', 'Melhoria na qualidade do ar interior', 'Taxa de edifícios reformados', 'Tempo necessário para conformidade com os padrões']",,,,,,,,,,none
c40_0016,Normas de Edifícios Existentes,{mitigation},,{stationary_energy},{commercial_and_institutional_buildings_and_facilities},{ghg_reduction},"Os ""Existing Building Standards, Commercial buildings"" envolvem intervenções para melhorar o desempenho ambiental das estruturas atuais, visando aumentar a eficiência energética, diminuir as emissões e melhorar a sustentabilidade geral dentro de uma cidade.",1,0,0,0,-1,0,0,"A ação climática ""Padrões de Edifícios Existentes, Edifícios Comerciais"" promove equidade e inclusão de várias maneiras:

1. **Acesso a Recursos**: Ao melhorar o desempenho ambiental de edifícios comerciais existentes, a ação pode ajudar a garantir que comunidades carentes tenham acesso a espaços mais eficientes em termos de energia, o que pode reduzir os custos de serviços públicos e melhorar as condições de vida em geral.

2. **Criação de Empregos**: As intervenções necessárias para modernizar edifícios frequentemente criam oportunidades de emprego, especialmente na construção e retrofit, o que pode beneficiar trabalhadores locais de comunidades vulneráveis, proporcionando-lhes emprego estável e desenvolvimento de habilidades.

3. **Benefícios para a Saúde**: Melhorar a sustentabilidade dos edifícios comerciais pode levar a uma melhor qualidade do ar e a uma redução dos riscos à saúde para os residentes em áreas carentes próximas, abordando preocupações de justiça ambiental.

4. **Engajamento Comunitário**: A implementação desses padrões pode envolver a colaboração com partes interessadas locais, garantindo que as vozes das comunidades vulneráveis sejam ouvidas e consideradas no processo de tomada de decisão.

5. **Resiliência a Longo Prazo**: Ao focar na eficiência energética e sustentabilidade, a ação ajuda a construir resiliência em comunidades carentes contra impactos climáticos, garantindo que estejam melhor preparadas para lidar com mudanças ambientais.

No geral, a ação integra equidade e inclusão ao atender às necessidades de populações vulneráveis, criar oportunidades econômicas e promover ambientes de vida mais saudáveis.",20-39,,,,,,low,<5 years,"['Disponibilidade de financiamento e incentivos financeiros para melhorias em edifícios', 'Acesso a mão de obra qualificada e empreiteiros para implementar melhorias', 'Conformidade com os códigos e regulamentos locais de construção', 'Disponibilidade de tecnologia e materiais para melhorias de eficiência energética', 'Envolvimento e apoio de proprietários e inquilinos de edifícios', 'Dados sobre o desempenho atual dos edifícios e uso de energia para avaliação']","['Redução do consumo de energia', 'Redução das emissões de gases de efeito estufa', 'Percentagem de edifícios que atendem aos padrões de eficiência energética', 'Economia de custos com melhorias de eficiência energética', 'Aumento no uso de energia renovável', 'Satisfação e níveis de conforto dos ocupantes', 'Taxa de conclusão de retrofit', 'Redução do uso de água', 'Níveis de certificação de edifícios (por exemplo, LEED, BREEAM)', 'Redução nos custos operacionais']",,,,,,,,,,none
c40_0017,Normas de Edifícios Existentes,{mitigation},,{stationary_energy},{commercial_and_institutional_buildings_and_facilities},{ghg_reduction},"""Normas de Edifícios Existentes, Edifícios Institucionais"" envolvem intervenções para melhorar o desempenho ambiental das estruturas atuais, visando aumentar a eficiência energética, reduzir emissões e melhorar a sustentabilidade geral dentro de uma cidade.",1,0,0,0,-1,0,0,"A ação climática ""Padrões de Edifícios Existentes, Edifícios Institucionais"" promove equidade e inclusão de várias maneiras:

1. **Foco em Edifícios Institucionais**: Ao concentrar-se em edifícios institucionais, que muitas vezes atendem comunidades vulneráveis ou carentes (como escolas, centros comunitários e instalações de saúde), a ação garante que esses espaços sejam melhorados, beneficiando aqueles que dependem deles para serviços essenciais.

2. **Eficiência Energética e Economia de Custos**: Melhorar a eficiência energética em edifícios existentes pode levar à redução dos custos de serviços públicos. Isso é particularmente benéfico para comunidades de baixa renda que podem ter dificuldades com contas de energia altas, aliviando assim os encargos financeiros e promovendo a equidade econômica.

3. **Saúde e Bem-estar**: Melhorar o desempenho ambiental dos edifícios pode levar a uma melhor qualidade do ar interno e a melhores resultados de saúde. Populações vulneráveis, que podem ser mais suscetíveis a problemas de saúde, têm muito a ganhar com ambientes de vida e trabalho mais saudáveis.

4. **Engajamento Comunitário**: A implementação de padrões de construção muitas vezes envolve a participação e o engajamento da comunidade, garantindo que as vozes das populações carentes sejam ouvidas e consideradas no processo de tomada de decisão.

5. **Criação de Empregos e Treinamento**: A modernização de edifícios existentes pode criar oportunidades de emprego na comunidade local, especialmente para aqueles de origens carentes. Isso pode incluir programas de treinamento que equipam indivíduos com habilidades necessárias para empregos verdes, promovendo a inclusão econômica.

6. **Resiliência aos Impactos Climáticos**: Ao melhorar a sustentabilidade dos edifícios institucionais, a ação aumenta a resiliência das comunidades que muitas vezes são desproporcionalmente afetadas pelas mudanças climáticas, garantindo que estejam melhor preparadas para os desafios ambientais.

No geral, esta ação climática integra equidade e inclusão ao abordar diretamente as necessidades das comunidades vulneráveis, promovendo saúde, benefícios econômicos e resiliência.",20-39,,,,,,low,<5 years,"['Disponibilidade de financiamento para reformas e atualizações', 'Acesso a mão de obra qualificada e empreiteiros para implementação', 'Conformidade com os códigos e regulamentos de construção locais', 'Disponibilidade de tecnologia e materiais para melhorias de eficiência energética', 'Apoio do governo local e partes interessadas para mudanças de políticas', 'Conscientização e aceitação pública de iniciativas de sustentabilidade']","['Redução do consumo de energia', 'Redução das emissões de gases de efeito estufa', 'Percentagem de edifícios que atendem aos padrões de eficiência energética', 'Economia de custos com melhorias de eficiência energética', 'Aumento no uso de energia renovável', 'Satisfação e níveis de conforto dos ocupantes', 'Redução do uso de água', 'Níveis de certificação de edifícios (por exemplo, LEED, BREEAM)', 'Taxa de conclusão de retrofit', 'Período médio de retorno sobre investimentos em eficiência energética']",,,,,,,,,,none
c40_0018,Normas de Edifícios Existentes,{mitigation},,{stationary_energy},{manufacturing_industries_and_construction},{ghg_reduction},"""Normas de Edifícios Existentes, Edifícios Industriais"" envolvem intervenções para melhorar o desempenho ambiental das estruturas atuais, visando aumentar a eficiência energética, diminuir as emissões e melhorar a sustentabilidade geral dentro de uma cidade.",1,0,0,0,-1,0,0,"A ação climática ""Padrões de Edifícios Existentes, Edifícios Industriais"" promove equidade e inclusão de várias maneiras:

1. **Foco em Comunidades Vulneráveis**: Ao melhorar o desempenho ambiental de edifícios existentes, a ação beneficia diretamente comunidades carentes que frequentemente residem em estruturas mais antigas e menos eficientes. Essas comunidades geralmente enfrentam custos de energia mais altos e pior qualidade do ar, portanto, melhorar os padrões de construção pode aliviar esses fardos.

2. **Criação de Empregos e Oportunidades Econômicas**: As intervenções necessárias para modernizar edifícios podem criar oportunidades de emprego, especialmente para trabalhadores locais em comunidades vulneráveis. Isso pode levar ao empoderamento econômico e ao desenvolvimento de habilidades para indivíduos que podem ter acesso limitado ao emprego em outros setores.

3. **Benefícios para a Saúde**: Melhorar a eficiência energética e reduzir as emissões em edifícios industriais pode levar a uma melhor qualidade do ar e a riscos reduzidos à saúde para os residentes próximos, muitos dos quais podem pertencer a populações carentes. Esta ação aborda a justiça ambiental ao mitigar disparidades de saúde ligadas à poluição.

4. **Engajamento Comunitário**: A implementação de padrões de construção frequentemente envolve a participação e o engajamento da comunidade, garantindo que as vozes das populações vulneráveis sejam ouvidas no processo de tomada de decisão. Isso promove um senso de propriedade e inclusão nos esforços de ação climática.

5. **Sustentabilidade a Longo Prazo**: Ao focar em estruturas existentes, a ação promove o desenvolvimento sustentável que beneficia todos os membros da comunidade, garantindo que as melhorias não sejam apenas para áreas afluentes, mas também para aquelas que historicamente foram negligenciadas.

No geral, a ação climática integra equidade e inclusão ao abordar as necessidades específicas de comunidades vulneráveis, criar oportunidades econômicas e melhorar os resultados de saúde por meio de padrões de construção aprimorados.",20-39,,,,,,low,<5 years,"['Disponibilidade de financiamento para reformas e atualizações', 'Acesso a mão de obra qualificada para a implementação de melhorias', 'Conformidade com os códigos e regulamentos de construção locais', 'Disponibilidade de tecnologia e materiais para melhorias de eficiência energética', 'Apoio do governo local e partes interessadas para mudanças de políticas', 'Dados sobre o desempenho atual dos edifícios e emissões para avaliação de referência']","['Redução do consumo de energia', 'Redução das emissões de gases de efeito estufa', 'Percentagem de edifícios que atendem aos novos padrões', 'Economia de custos com melhorias na eficiência energética', 'Aumento no uso de energia renovável', 'Satisfação e níveis de conforto dos ocupantes', 'Redução do uso de água', 'Taxas de redução e reciclagem de resíduos', 'Níveis de certificação de edifícios (por exemplo, LEED, BREEAM)', 'Retorno sobre o investimento (ROI) para projetos de retrofit']",,,,,,,,,,none
c40_0021,Redes de Calor,{mitigation},,{stationary_energy},{all},{ghg_reduction},"""Redes de Calor"" envolvem o desenvolvimento de sistemas eficientes para a distribuição de calor, promovendo a conservação de energia e reduzindo a pegada de carbono em áreas urbanas. Esta iniciativa visa melhorar a sustentabilidade da infraestrutura de aquecimento dentro da cidade.",1,0,0,1,0,0,0,"A iniciativa ""Redes de Calor"" promove equidade e inclusão ao focar nos seguintes aspectos:

1. **Acesso a Aquecimento Acessível**: Ao desenvolver sistemas de aquecimento eficientes, a iniciativa visa reduzir os custos de energia, beneficiando particularmente as famílias de baixa renda que podem ter dificuldades com despesas elevadas de aquecimento.

2. **Melhoria nos Resultados de Saúde**: Comunidades vulneráveis frequentemente enfrentam riscos de saúde associados ao aquecimento inadequado. A iniciativa aborda isso garantindo que todos os residentes tenham acesso a aquecimento confiável e suficiente, melhorando assim a saúde pública em geral.

3. **Engajamento Comunitário**: O planejamento e a implementação de redes de calor podem envolver comunidades locais, garantindo que as vozes de populações desatendidas sejam ouvidas e consideradas nos processos de tomada de decisão.

4. **Criação de Empregos**: O desenvolvimento e a manutenção de redes de calor podem criar oportunidades de emprego em áreas desatendidas, contribuindo para a equidade econômica e proporcionando treinamento para os residentes locais.

5. **Justiça Ambiental**: Ao reduzir pegadas de carbono e promover a conservação de energia, a iniciativa ajuda a mitigar os impactos das mudanças climáticas que afetam desproporcionalmente as comunidades vulneráveis, promovendo assim a equidade ambiental.

6. **Investimento em Infraestrutura**: O foco em melhorar a infraestrutura de aquecimento em áreas urbanas pode levar a serviços aprimorados em bairros historicamente negligenciados, promovendo uma maior inclusão nos esforços de desenvolvimento urbano.",40-59,,,,,,high,5-10 years,"['Investimento em infraestrutura para construir e manter redes de calor', 'Colaboração com o governo local e partes interessadas para planejamento e implementação', 'Acesso a fontes de energia renovável para fornecer calor', 'Conscientização e aceitação pública das redes de calor', 'Estruturas regulatórias que apoiam iniciativas de eficiência energética e sustentabilidade']","['Redução nas emissões de carbono (toneladas/ano)', 'Melhoria na eficiência energética (% de aumento)', 'Percentagem de edifícios conectados a redes de aquecimento (%)', 'Economia de custos para os consumidores ($/ano)', 'Redução de perda de calor no sistema de distribuição (% de diminuição)', 'Aumento no uso de fontes de energia renovável (%)', 'Taxa de satisfação do usuário (%)', 'Confiabilidade operacional das redes de aquecimento (% de tempo de atividade)', 'Investimento em infraestrutura ($)', 'Redução no consumo de energia (MWh/ano)']",,,,,,,,,,none
