action_id,action_name,action_type,hazard_name,sector_names,subsector_names,primary_purpose,description,cobenefits_airquality,cobenefits_waterquality,cobenefits_habitat,cobenefits_costofliving,cobenefits_housing,cobenefits_mobility,cobenefits_stakeholderengagement,equity_and_inclusion_considerations,ghgreduction_stationary_energy,ghgreduction_transportation,ghgreduction_waste,ghgreduction_ippu,ghgreduction_afolu,adaptation_effectiveness,cost_investment_needed,timeline_for_implementation,dependencies,key_performance_indicators,powers_and_mandates,adaptation_effectiveness_droughts,adaptation_effectiveness_heatwaves,adaptation_effectiveness_floods,adaptation_effectiveness_sealevelrise,adaptation_effectiveness_landslides,adaptation_effectiveness_storms,adaptation_effectiveness_wildfires,adaptation_effectiveness_diseases,biome
ipcc_0001,Promover un desarrollo urbano compacto y orientado al transporte público,{mitigation},,{transport},{on_road},{},"Fomenta el desarrollo urbano compacto y de uso mixto para reducir las distancias de viaje, la dependencia del automóvil y las emisiones de GEI asociadas. Las medidas incluyen el desarrollo orientado al transporte público (TOD), reformas de zonificación, densificación alrededor de los corredores de transporte e integración de la planificación del uso del suelo y la movilidad. Especialmente adecuado para ciudades grandes con capacidad para actualizar planes maestros e invertir en infraestructura de transporte público.",1,0,0,1,1,2,1,"Mejora el acceso a opciones de transporte eficientes y asequibles para comunidades desatendidas, reduciendo las disparidades sociales y económicas.",,0-19,,,,,high,>10 years,"Apoyo político para la planificación del uso del suelo
aceptación pública
reasignación de presupuestos de transporte hacia modos sostenibles",,,,,,,,,,,
ipcc_0023,Diseñar productos con materiales ligeros,{mitigation},,{ippu},{industrial_processes},{},"Esta acción implica mejorar la eficiencia de los materiales mediante el diseño de productos más ligeros, la optimización del uso de materiales para mantener la funcionalidad e incorporar principios de economía circular como la reutilización, la reparabilidad y la reciclabilidad. Abarca todo el ciclo de vida del producto, desde el diseño hasta la gestión al final de su vida útil.",1,0,0,0,0,0,0,Apoya el acceso equitativo a tecnologías energéticamente eficientes y promueve prácticas sostenibles en regiones en desarrollo con altas emisiones industriales. Se enfoca en reducir la competencia por los recursos y garantizar una distribución justa de los avances tecnológicos.,,,,20-39,,,high,5-10 years,"Disponibilidad de tecnologías avanzadas
marcos regulatorios de apoyo
inversión en investigación y desarrollo
alineación con estándares globales para la reducción de emisiones y la eficiencia energética","Reducción de las emisiones industriales de GEI  
tasas de adopción de tecnologías de recuperación de calor y energía  
mejoras en la intensidad energética en industrias clave  
tasas de reciclaje",,,,,,,,,,
ipcc_0024,Mejorar la eficiencia en la utilización de materiales en la producción,{mitigation},,{ippu},{industrial_processes},{},"Esta acción se centra en mejorar la eficiencia de los materiales mediante la adopción de técnicas innovadoras de fabricación como la fundición de forma casi neta y métodos similares. Estos métodos reducen el desperdicio de material durante la producción, mejoran el rendimiento de las materias primas y aumentan la eficiencia energética al minimizar el reprocesamiento. Las estrategias incluyen la optimización del diseño de productos, la reducción de peso y la mejora de los procesos de reciclaje y reutilización.",1,0,0,0,0,0,0,"Apoya el despliegue equitativo de tecnologías energéticamente eficientes en economías en desarrollo, garantizando un acceso justo a los recursos y reduciendo la contaminación ambiental en regiones industriales.",,,,20-39,,,high,5-10 years,"Disponibilidad de sistemas avanzados de suministro de combustible
marcos normativos de apoyo
inversión en I+D para reductores alternativos
adopción a nivel industrial de controles de procesos y tecnologías optimizados","Reducción de las emisiones de GEI provenientes de la calefacción en la producción de acero
mejoras en la intensidad energética
mayor adopción de la inyección de carbón pulverizado y combustibles alternativos
reducción en la producción de residuos peligrosos",,,,,,,,,,
ipcc_0025,"Diseñar para la recuperación, reutilización o revalorización",{mitigation},,{ippu},{industrial_processes},{},"Esta acción implica diseñar productos para permitir principios circulares como la extensión de la vida útil del producto, la reutilización, la reparabilidad y la facilidad de reciclaje. Se enfatiza la reducción de peso, la optimización de materiales y la mejora en la recuperación de materiales al final de su ciclo de vida mediante la reutilización, la remanufactura o el reciclaje.",1,0,0,0,0,0,0,"Garantiza que las tecnologías de hornos eficientes sean accesibles para las industrias en economías en desarrollo, reduciendo la contaminación y mejorando la seguridad en el lugar de trabajo.",,,,20-39,,,high,5-10 years,"Disponibilidad de diseños avanzados de hornos
políticas e incentivos de apoyo
mano de obra calificada para la instalación y el mantenimiento
adopción a nivel industrial de tecnologías energéticamente eficientes","Reducción en la intensidad energética
Emisiones de GEI
Producción de residuos peligrosos
Mayor adopción de hornos avanzados
Controles de procesos",,,,,,,,,,
ipcc_0026,Adoptar materias primas alternativas en la producción industrial,{mitigation},,{ippu},{industrial_processes},{},"Utilizar materias primas alternativas, como escoria de alto horno, cenizas volantes y puzolanas, para reducir la proporción de clínker en la producción de cemento. Estas alternativas disminuyen las emisiones asociadas con la calcinación y los procesos de alta demanda energética. Una mayor eficiencia en el uso de materiales mediante concretos de alta resistencia y métodos innovadores de colocación reduce aún más el consumo de materiales.",1,0,0,0,0,0,0,"Garantiza que las tecnologías avanzadas de recuperación de calor sean accesibles para las pequeñas y medianas industrias, especialmente en regiones en desarrollo, ayudándolas a reducir los costos energéticos y las emisiones.",60-79,,,40-59,,,high,5-10 years,"Disponibilidad de tecnologías avanzadas de recuperación de calor y bombas
mano de obra calificada para la instalación y el mantenimiento
apoyo político para la adopción de sistemas de recuperación de calor residual
inversión en infraestructura para capturar y redirigir el calor residual para satisfacer otras necesidades energéticas dentro de la instalación","Aumento de la tasa de recuperación de calor residual
reducción en la intensidad energética
porcentaje de calor reutilizado mediante sistemas de alta eficiencia",,,,,,,,,,
ipcc_0028,"Cambios de comportamiento para reducir los residuos (por ejemplo, alimentos)",{mitigation},,{ippu},{industrial_processes},{},"Fomentar cambios de comportamiento para reducir los residuos en los procesos industriales y los hábitos de consumo, especialmente en la producción y el consumo de alimentos. Esto incluye reducir el desperdicio de alimentos mediante una mejor planificación, la optimización de los tamaños de las porciones y la mejora de las prácticas de reciclaje y reutilización en las etapas de producción y postconsumo.",0,0,0,0,0,0,0,"Promueve el acceso equitativo a tecnologías eficientes para operaciones mineras a pequeña escala, reduciendo los costos energéticos y los impactos ambientales para las comunidades vulnerables que dependen de las actividades mineras.",,,,20-39,,,high,5-10 years,"Desarrollo de tecnologías avanzadas de conminución y clasificación de minerales  
disponibilidad de fuentes de energía renovable para la generación de electricidad  
apoyo político para incentivar la adopción","Reducción en el consumo de energía por tonelada de mineral procesado
mejora en la tasa de recuperación de mineral
reducción de emisiones de GEI provenientes de las operaciones mineras",,,,,,,,,,
ipcc_0031,"Niveles de servicio de producto mejorados por producto (por ejemplo, compartición de productos)",{mitigation},,{ippu},{industrial_processes},{},"Promueve un uso más intensivo de productos duraderos fomentando el intercambio de productos, lo que reduce la demanda de nuevos productos y las emisiones de GEI asociadas a su fabricación y cadena de suministro.",0,0,0,0,0,1,1,"Facilita el acceso a tecnologías energéticamente eficientes para pequeñas y medianas empresas, garantizando la participación equitativa en iniciativas de ahorro energético.",,,,20-39,,,high,5-10 years,"Disponibilidad de tecnologías avanzadas como sensores y sistemas de aprendizaje automático
infraestructura digital adecuada
políticas de apoyo para la adopción de la eficiencia energética","Reducción en el uso de energía
ahorro de costos por ciclo de producción
porcentaje de mejora en la eficiencia del proceso",,,,,,,,,,
ipcc_0033,Mejorar el mantenimiento de los productos para extender su vida útil,{mitigation},,{ippu},{industrial_processes},{},Ampliar la vida útil de los edificios e infraestructuras mediante el mantenimiento de su integridad estructural a través de una mejor gestión del stock de productos. Esto implica asegurar que las estructuras de hormigón permanezcan funcionales durante más de 200 años.,1,0,0,0,0,0,0,"Promueve el acceso equitativo a tecnologías avanzadas de electrificación y capacitación para la fuerza laboral, asegurando la participación de sectores industriales desatendidos.",,,,40-59,,,high,5-10 years,"Disponibilidad de electricidad baja en carbono
desarrollo de materiales de ánodo adecuados
infraestructura para la electrificación a gran escala en la producción de acero","Reducción de emisiones por tonelada de acero producida
aumento de la proporción de procesos electrificados
ahorro de energía en las etapas de producción",,,,,,,,,,
ipcc_0034,Promover un comportamiento del consumidor enfocado en la suficiencia y la reducción del consumo,{mitigation},,{ippu},{industrial_processes},{},"Promueve cambios en el comportamiento y el consumo para reducir las emisiones industriales totales, haciendo hincapié en la disminución de la demanda de productos, la reutilización y el reciclaje, y un uso más eficiente de los recursos.",0,0,0,0,0,0,0,"Garantiza el acceso a tecnologías de recuperación de energía para pequeños fabricantes, promoviendo una adopción más amplia en diferentes industrias y regiones.",,,,40-59,,,high,5-10 years,"Disponibilidad de tecnologías avanzadas de recuperación de calor
mano de obra calificada para la instalación y operación
políticas de apoyo e incentivos de financiamiento","Reducción en el consumo de energía por tonelada de producto
aumento en las tasas de recuperación de energía de residuos
disminución en la intensidad de emisiones de GEI en los procesos industriales",,,,,,,,,,
ipcc_0037,Adoptar materiales y cadenas de suministro con emisiones netas cero,{mitigation},,{ippu},{industrial_processes},{},"Transición hacia carbono incorporado neto cero en la construcción mediante la sustitución de materiales con altas emisiones (por ejemplo, acero, hormigón) por sistemas de madera ingenierizada (incluida la madera maciza para edificios de mediana altura) y la integración de prácticas circulares (reutilización, reciclaje, diseño para el desmontaje). Priorizar la silvicultura sostenible certificada (por ejemplo, FSC/PEFC), el uso en cascada y salvaguardas contra la deforestación, asegurando que el uso de la madera no entre en conflicto con los insumos energéticos. Utilizar la evaluación del ciclo de vida para guiar la selección de materiales y las mejoras en la cadena de suministro.",1,0,0,0,0,0,0,"Apoya el desarrollo industrial equitativo promoviendo el acceso a tecnologías más limpias, especialmente para las industrias en regiones en desarrollo, para reducir las emisiones sin comprometer el crecimiento económico.",,,,40-59,,,high,>10 years,"Requiere avances en las tecnologías de CCS y CCU
disponibilidad de electricidad baja en GEI
políticas de apoyo para incentivar la descarbonización industrial","Reducción de las emisiones de GEI provenientes de procesos industriales
aumento en el uso de materias primas bajas en carbono
el número de proyectos de CCS/CCU implementados",,,,,,,,,,
