mapping_id,action_id,action_name,action_definition,sector,component,eligibility,eligibility_rationale,mapping_indicator_ids,mapping_indicator_names,indicator_evidence_coverage,effectiveness_class,source_sufficiency,time_horizon,maladaptation_flag,assessment_basis,screening_status,screened_source_count,mapping_review_status,mapping_review_note,evidence_id,source_id,source_title,source_url,pdf_page,printed_page,quote_verbatim,evidence_grounding_status,evidence_grounding_note,evidence_indicator_ids,evidence_indicator_names,direction,quantified_value,support_scope,maladaptation_signal,evidence_review_status,evidence_review_note
map_fab19b14740fa8fb,c40_0046,Strengthen coastal protection infrastructure,"Strengthen coastal protection infrastructure strategies include the construction of sea walls and protective structures to mitigate the impact of rising sea levels and coastal erosion. This adaptation measure enhances the resilience of coastal areas and protects communities from the impacts of climate change. Crucially, these interventions must be developed through an integrated coastal management framework, prioritizing nature-based solutions where feasible, to avoid negative downstream effects and ensure equitable protection for all vulnerable communities.",biodiversity,vulnerability,eligible,"Conservative eligibility screen: the action's stated mechanism has a plausible direct pathway to Environmental liabilities, Vegetation loss. Evidence determines whether the effect is demonstrated and in which direction.",90018 | 90019,Environmental liabilities | Vegetation loss,none (0/2; missing 90018 | 90019),none_demonstrated,none,5-10 years,false,proposed_evidence,complete,7,proposed,,,,,,,,,,,,,,,,,,
map_7cd75406c45eb77d,c40_0046,Strengthen coastal protection infrastructure,"Strengthen coastal protection infrastructure strategies include the construction of sea walls and protective structures to mitigate the impact of rising sea levels and coastal erosion. This adaptation measure enhances the resilience of coastal areas and protects communities from the impacts of climate change. Crucially, these interventions must be developed through an integrated coastal management framework, prioritizing nature-based solutions where feasible, to avoid negative downstream effects and ensure equitable protection for all vulnerable communities.",biodiversity,exposure,not_eligible,The action's primary mechanism does not directly change a terminal Biodiversity exposure indicator.,,,not_applicable,not_applicable,not_applicable,5-10 years,false,not_applicable,not_required,0,proposed,,,,,,,,,,,,,,,,,,
map_e5ea08731d6419ba,c40_0048,Upgrade urban drainage systems,"""Upgrade urban drainage systems"" involves eco-engineering solutions to enhance drainage systems, through capacity upgrade and network expansion. This adaptation measure aims to improve urban resilience by minimizing the impact of extreme weather events such as flooding.",biodiversity,vulnerability,not_eligible,The action's primary mechanism does not directly change a terminal Biodiversity vulnerability indicator.,,,not_applicable,not_applicable,not_applicable,5-10 years,false,not_applicable,not_required,0,proposed,,,,,,,,,,,,,,,,,,
map_341f98a57117e285,c40_0048,Upgrade urban drainage systems,"""Upgrade urban drainage systems"" involves eco-engineering solutions to enhance drainage systems, through capacity upgrade and network expansion. This adaptation measure aims to improve urban resilience by minimizing the impact of extreme weather events such as flooding.",biodiversity,exposure,not_eligible,The action's primary mechanism does not directly change a terminal Biodiversity exposure indicator.,,,not_applicable,not_applicable,not_applicable,5-10 years,false,not_applicable,not_required,0,proposed,,,,,,,,,,,,,,,,,,
map_d12e19e9e1ed41c6,c40_0049,Build and maintain shelters for critical climate hazards,"""Build and maintain shelters for critical climate hazards"" involves building and maintaining shelters in high-risk areas to protect residents during extreme weather events such as floods, cyclones, storms, landslides, extreme heat events or other critical climate hazards. Shelters should meet resilient design standards, including wind- and flood-resistant construction, and be strategically located to maximize accessibility for vulnerable populations. Where possible, shelters can serve multipurpose roles as schools or community centers. Clear funding mechanisms and defined responsibilities for operations and maintenance are essential to ensure long-term reliability and effectiveness.",biodiversity,vulnerability,not_eligible,The action's primary mechanism does not directly change a terminal Biodiversity vulnerability indicator.,,,not_applicable,not_applicable,not_applicable,<5 years,false,not_applicable,not_required,0,proposed,,,,,,,,,,,,,,,,,,
map_f4eca4f4f6c319a2,c40_0049,Build and maintain shelters for critical climate hazards,"""Build and maintain shelters for critical climate hazards"" involves building and maintaining shelters in high-risk areas to protect residents during extreme weather events such as floods, cyclones, storms, landslides, extreme heat events or other critical climate hazards. Shelters should meet resilient design standards, including wind- and flood-resistant construction, and be strategically located to maximize accessibility for vulnerable populations. Where possible, shelters can serve multipurpose roles as schools or community centers. Clear funding mechanisms and defined responsibilities for operations and maintenance are essential to ensure long-term reliability and effectiveness.",biodiversity,exposure,not_eligible,The action's primary mechanism does not directly change a terminal Biodiversity exposure indicator.,,,not_applicable,not_applicable,not_applicable,<5 years,false,not_applicable,not_required,0,proposed,,,,,,,,,,,,,,,,,,
map_8c54f24f4638abd3,c40_0051,Provide public shading in heat hotspots,"""Provide public shading in heat hotspots"" involves the implementation of shade structures in public spaces, such as shade sails and canopies, and drought-tolerant trees, contributing to eco-engineering efforts. This adaptation measure enhances outdoor comfort, reduces heat stress, and promotes sustainable urban design.",biodiversity,vulnerability,not_eligible,The action's primary mechanism does not directly change a terminal Biodiversity vulnerability indicator.,,,not_applicable,not_applicable,not_applicable,<5 years,false,not_applicable,not_required,0,proposed,,,,,,,,,,,,,,,,,,
map_d7a7a167b3c05616,c40_0051,Provide public shading in heat hotspots,"""Provide public shading in heat hotspots"" involves the implementation of shade structures in public spaces, such as shade sails and canopies, and drought-tolerant trees, contributing to eco-engineering efforts. This adaptation measure enhances outdoor comfort, reduces heat stress, and promotes sustainable urban design.",biodiversity,exposure,not_eligible,The action's primary mechanism does not directly change a terminal Biodiversity exposure indicator.,,,not_applicable,not_applicable,not_applicable,<5 years,false,not_applicable,not_required,0,proposed,,,,,,,,,,,,,,,,,,
map_a2f14318702df706,c40_0052,Deploy cool pavements and cool roofs on heat‑exposed streets and buildings,"Introduce reflective coatings, light-colored materials, permeable surfaces and cool roofs in street paving and buildings to reduce heat absorption and mitigate the urban heat island effect. Municipal governments can pilot these approaches in the most heat-exposed areas, integrate them into routine street upgrades and public building refrofits, and assess cost–benefit outcomes to guide broader implementation. These measures improve thermal comfort, reduce energy demand for cooling, and enhance urban resilience to rising temperatures.",biodiversity,vulnerability,not_eligible,The action's primary mechanism does not directly change a terminal Biodiversity vulnerability indicator.,,,not_applicable,not_applicable,not_applicable,5-10 years,false,not_applicable,not_required,0,proposed,,,,,,,,,,,,,,,,,,
map_d49e5191ad46c72f,c40_0052,Deploy cool pavements and cool roofs on heat‑exposed streets and buildings,"Introduce reflective coatings, light-colored materials, permeable surfaces and cool roofs in street paving and buildings to reduce heat absorption and mitigate the urban heat island effect. Municipal governments can pilot these approaches in the most heat-exposed areas, integrate them into routine street upgrades and public building refrofits, and assess cost–benefit outcomes to guide broader implementation. These measures improve thermal comfort, reduce energy demand for cooling, and enhance urban resilience to rising temperatures.",biodiversity,exposure,not_eligible,The action's primary mechanism does not directly change a terminal Biodiversity exposure indicator.,,,not_applicable,not_applicable,not_applicable,5-10 years,false,not_applicable,not_required,0,proposed,,,,,,,,,,,,,,,,,,
map_bf6b9c5497c856c9,c40_0053,Promote water-saving technologies and practices,"Encourages the adoption of water-saving technologies and practices to conserve water resources and strengthen resilience to climate change. This includes measures such as rainwater harvesting, low-flow appliances, leak detection systems, and municipal incentive programs that support households and businesses in reducing consumption. These actions enhance sustainable water use and complement broader eco-engineering and adaptation efforts.",biodiversity,vulnerability,not_eligible,The action's primary mechanism does not directly change a terminal Biodiversity vulnerability indicator.,,,not_applicable,not_applicable,not_applicable,5-10 years,false,not_applicable,not_required,0,proposed,,,,,,,,,,,,,,,,,,
map_f81a42b09f7364d4,c40_0053,Promote water-saving technologies and practices,"Encourages the adoption of water-saving technologies and practices to conserve water resources and strengthen resilience to climate change. This includes measures such as rainwater harvesting, low-flow appliances, leak detection systems, and municipal incentive programs that support households and businesses in reducing consumption. These actions enhance sustainable water use and complement broader eco-engineering and adaptation efforts.",biodiversity,exposure,not_eligible,The action's primary mechanism does not directly change a terminal Biodiversity exposure indicator.,,,not_applicable,not_applicable,not_applicable,5-10 years,false,not_applicable,not_required,0,proposed,,,,,,,,,,,,,,,,,,
