action_id,action_name,sector,delivery_mode,mode_meaning,adjudicated_by,adjudicated_on
c40_0010,Introduce energy-efficiency standards for new residential buildings,stationary_energy,city_rule,"A standard, ban, target, tariff or procurement rule. Needs authority, not capital.",amanda@openearth.org,2026-08-16
c40_0012,Introduce energy-efficiency standards for new institutional buildings,stationary_energy,city_rule,"A standard, ban, target, tariff or procurement rule. Needs authority, not capital.",amanda@openearth.org,2026-08-16
c40_0013,Support Implementation of Industrial Building Efficiency Standards.,stationary_energy,city_rule,"A standard, ban, target, tariff or procurement rule. Needs authority, not capital.",amanda@openearth.org,2026-08-16
c40_0015,Retrofit residential buildings for energy efficiency,stationary_energy,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
c40_0016,Retrofit commercial and institutional other non-residential buildings  for energy efficiency,stationary_energy,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
c40_0017,Retrofit municipal buildings for energy efficiency,stationary_energy,city_works,"The city builds, installs or restores a physical asset it will own or manage.",amanda@openearth.org,2026-08-16
c40_0018,Optimize energy efficiency and sustainability standards for existing industrial infrastructure,stationary_energy,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
c40_0023,Adopt zero-emission bus fleets for public transport,transportation,city_equipment,The city buys vehicles or equipment.,amanda@openearth.org,2026-08-16
c40_0025,Promote deployment of zero-emission freight fleets (trucks),transportation,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
c40_0029,Electrify municipal vehicle fleets,transportation,city_equipment,The city buys vehicles or equipment.,amanda@openearth.org,2026-08-16
c40_0034,Enact and enforce material bans in order to restrict single use and non-recyclable materials,waste,city_rule,"A standard, ban, target, tariff or procurement rule. Needs authority, not capital.",amanda@openearth.org,2026-08-16
c40_0035,Optmize waste management systems,waste,city_works,"The city builds, installs or restores a physical asset it will own or manage.",amanda@openearth.org,2026-08-16
c40_0036,Upgrade Landfills to Engineered Sanitary Landfills with Gas Capture.,waste,city_works,"The city builds, installs or restores a physical asset it will own or manage.",amanda@openearth.org,2026-08-16
c40_0037,"Implement residential and business segregated collection of recyclables, organic, and residual waste",waste,city_works,"The city builds, installs or restores a physical asset it will own or manage.",amanda@openearth.org,2026-08-16
c40_0040,Implement Volume-Based Collection policy,waste,city_rule,"A standard, ban, target, tariff or procurement rule. Needs authority, not capital.",amanda@openearth.org,2026-08-16
c40_0042,Expand urban and peri-urban green spaces,afolu,city_works,"The city builds, installs or restores a physical asset it will own or manage.",amanda@openearth.org,2026-08-16
c40_0071,Promote the phase out the reliance on fossil fuels for cooking (in favour of high-efficiency electric cookstoves such as induction stoves).,stationary_energy,city_programme,"An ongoing service, campaign, incentive or partnership the city runs. Mostly operating cost.",amanda@openearth.org,2026-08-16
icare_0001,Improve heat and energy recovery,industry,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
icare_0002,Promote and expand the use of the Brazilian Energy Labeling Program for Buildings,stationary_energy,city_rule,"A standard, ban, target, tariff or procurement rule. Needs authority, not capital.",amanda@openearth.org,2026-08-16
