action_id,action_name,action_type,hazard_name,sector_names,subsector_names,primary_purpose,description,cobenefits_airquality,cobenefits_waterquality,cobenefits_habitat,cobenefits_costofliving,cobenefits_housing,cobenefits_mobility,cobenefits_stakeholderengagement,equity_and_inclusion_considerations,ghgreduction_stationary_energy,ghgreduction_transportation,ghgreduction_waste,ghgreduction_ippu,ghgreduction_afolu,adaptation_effectiveness,cost_investment_needed,timeline_for_implementation,dependencies,key_performance_indicators,powers_and_mandates,adaptation_effectiveness_droughts,adaptation_effectiveness_heatwaves,adaptation_effectiveness_floods,adaptation_effectiveness_sealevelrise,adaptation_effectiveness_landslides,adaptation_effectiveness_storms,adaptation_effectiveness_wildfires,adaptation_effectiveness_diseases,biome
ipcc_0001,Mudanças na Forma Urbana,{mitigation},,{transportation},{on-road},{ghg_reduction},"Aumentar a densidade urbana e o uso misto do solo para reduzir as distâncias de viagem, a dependência de carros e as emissões de gases de efeito estufa associadas. Inclui infraestrutura de transporte público, caminhos para pedestres e zonas amigáveis para bicicletas.",1,0,0,1,0,1,0,"Melhora o acesso a opções de transporte eficientes e acessíveis para comunidades desfavorecidas, reduzindo disparidades sociais e econômicas.",,0-19,,,,,medium,5-10 years,"['Apoio político para o planejamento do uso da terra', 'aceitação pública', 'realocação de orçamentos de transporte para modos sustentáveis']","['Redução no uso de carros per capita', 'aumento no uso de transporte público', 'melhoria no índice de caminhabilidade']",,,,,,,,,,none
ipcc_0002,Modos de Transporte Ativo,{mitigation},,{transportation},{on-road},{ghg_reduction},Promover a caminhada e o ciclismo como modos principais de transporte para viagens curtas (5 km ou menos) para reduzir a dependência de veículos leves e diminuir as emissões de GEE.,1,0,0,1,0,1,0,"Melhora o acesso a opções de transporte seguras e acessíveis, especialmente para comunidades de baixa renda, enquanto aprimora a mobilidade urbana para grupos desfavorecidos.",,0-19,,,,,medium,<5 years,"['Investimento em infraestrutura segura para caminhadas e ciclismo', 'campanhas de conscientização pública', 'políticas de planejamento urbano de apoio']","['Aumento em quilômetros de redes de bicicleta e caminhada', 'aumento na participação modal de transporte ativo', 'redução no uso de carros para viagens curtas']",,,,,,,,,,none
ipcc_0003,Transporte Público,{mitigation},,{transportation},{on-road},{ghg_reduction},"Promover o uso de sistemas de transporte público, como ônibus e trens, para viagens urbanas e intermunicipais, a fim de reduzir a dependência de veículos leves e diminuir as emissões de gases de efeito estufa.",1,0,0,1,0,1,1,"Melhora o acesso a opções de transporte acessíveis e eficientes, beneficiando particularmente as comunidades de baixa renda e carentes.",,20-39,,,,,medium,5-10 years,"['Investimentos em sistemas de transporte modernos e eficientes', 'políticas para desincentivar o uso de carros particulares', 'campanhas de conscientização pública para incentivar a adoção do transporte público']","['Aumento no uso do transporte público', 'redução nos quilômetros percorridos por veículos particulares', 'redução de emissões por quilômetro por passageiro']",,,,,,,,,,none
ipcc_0004,Desmaterialização da Economia,{mitigation},,{transportation},{on-road},{ghg_reduction},"Promover a redução na quantidade de materiais utilizados por unidade de produção para melhorar a eficiência dos materiais, reduzir as necessidades de transporte e aumentar a eficiência do transporte de carga. Exemplos incluem a combinação de múltiplas funções em dispositivos únicos, produção local através de impressão 3D e princípios de economia circular.",0,0,0,1,0,1,1,Apoia o acesso equitativo a produtos sustentáveis e promove o uso eficiente de recursos para beneficiar comunidades carentes,,0-19,,,,,medium,>10 years,"['Inovação tecnológica', 'adoção de práticas de economia circular', 'mudanças comportamentais em direção ao minimalismo e eficiência']","['Redução na intensidade de material por unidade de produção', 'diminuição nas emissões de transporte de carga', 'aumento na adoção de práticas de economia circular']",,,,,,,,,,none
ipcc_0007,Mobilidade Inteligente,{mitigation},,{transportation},{on-road},{ghg_reduction},"Utilizar tecnologias avançadas, como TIC, sensores IoT, IA e Mobilidade como Serviço (MaaS), para melhorar a eficiência do transporte, reduzir emissões e aprimorar a mobilidade urbana. A mobilidade inteligente integra vários modos de transporte e otimiza operações para competir com veículos particulares.",1,0,0,0,0,1,1,"Melhora o acesso a opções de transporte eficientes e acessíveis, especialmente para grupos marginalizados, enquanto apoia a regeneração urbana e a conectividade.",,0-19,,,,,high,5-10 years,"['Adoção generalizada de tecnologias de TIC e IoT', 'planejamento urbano de apoio', 'investimentos em sistemas de mobilidade compartilhada e digitalizada']","['Aumento no uso de transporte compartilhado e público', 'redução nos quilômetros percorridos por veículos particulares', 'diminuição das emissões relacionadas ao transporte']",,,,,,,,,,none
ipcc_0008,Gestão da Cadeia de Suprimentos,{mitigation},,{transportation},{on-road},{ghg_reduction},"Melhorar o planejamento logístico no transporte de carga por meio de estratégias como otimização de rotas, otimização de carga e condução ecológica para reduzir as distâncias de viagem e aumentar a eficiência, diminuindo assim as emissões de GEE.",1,0,0,1,0,1,0,"Promove o acesso equitativo a soluções logísticas sustentáveis para pequenas e médias empresas, ao mesmo tempo que apoia a retenção de empregos no setor logístico.",,0-19,,,,,medium,5-10 years,"['Acesso a ferramentas e software de logística avançados', 'colaboração entre os participantes da cadeia de suprimentos', 'integração de treinamento em eco-condução']","['Distâncias de frete reduzidas', 'capacidade de carga de veículos aumentada', 'eficiência de combustível melhorada', 'custos operacionais reduzidos']",,,,,,,,,,none
ipcc_0009,E-commerce,{mitigation},,{transportation},{on-road},{ghg_reduction},Incentivar a compra de bens online pelos consumidores para reduzir o deslocamento de veículos leves para fins de compras. Isso troca os quilômetros percorridos por veículos leves pelo transporte de carga através de caminhões leves ('entrega de última milha').,1,0,0,1,0,1,0,"Promove a acessibilidade a bens para indivíduos em áreas carentes ou remotas, enquanto reduz os custos de transporte pessoal.",,0-19,,,,,medium,5-10 years,"['Expansão de plataformas de e-commerce', 'investimentos em logística de entrega de última milha', 'confiança do consumidor nas compras online']","['Redução nos quilômetros percorridos por veículos (VMT) para compras', 'aumento nas taxas de adoção de compras online', 'reduções de emissões na logística de frete']",,,,,,,,,,none
ipcc_0010,Automação de Veículos,{mitigation},,{transportation},{on-road},{ghg_reduction},"Utiliza tecnologias avançadas para automatizar tarefas de condução, melhorar a segurança nas estradas, otimizar padrões de condução, reduzir congestionamentos e aumentar o uso eficiente do espaço viário. Os níveis variam desde assistência ao motorista até autonomia total.",1,0,0,0,0,1,0,"Fornece acesso à mobilidade para grupos marginalizados, incluindo idosos, pessoas com deficiência e aqueles que não podem dirigir, enquanto promove sistemas de transporte mais seguros.",,0-19,,,,,high,>10 years,"['Desenvolvimento e implementação de tecnologias de veículos autônomos', 'estruturas regulatórias de apoio', 'aceitação pública de sistemas automatizados']","['Redução de congestionamento', 'melhoria na eficiência de combustível', 'diminuição das emissões relacionadas ao transporte por quilômetro de veículo', 'aumento da acessibilidade para grupos marginalizados']",,,,,,,,,,none
ipcc_0011,Combustíveis Alternativos para Veículos,{mitigation},,{transportation},{on-road},{ghg_reduction},"Utiliza combustíveis de baixo carbono ou zero carbono, incluindo gás natural, biocombustíveis, amônia e combustíveis sintéticos, para substituir a gasolina e o diesel convencionais em motores de combustão interna (ICE). Esses combustíveis oferecem caminhos para reduzir as emissões de gases de efeito estufa e diversificar as fontes de energia, embora ainda existam desafios nos custos de produção, emissões ao longo do ciclo de vida e infraestrutura.",1,0,0,0,0,1,0,"Fornece um caminho para reduzir a dependência energética e aumentar a equidade energética, permitindo o acesso a combustíveis alternativos que atendem às necessidades energéticas locais e regionais.",,80-100,,,,,high,>10 years,"['Desenvolvimento de tecnologias de produção de baixo custo e sustentáveis', 'medidas de política de apoio (por exemplo, padrões de combustível, mandatos de mistura)', 'investimento em infraestrutura de distribuição e armazenamento']","['Redução nas emissões de GEE do ciclo de vida do combustível', 'porcentagem da frota de veículos usando combustíveis alternativos', 'métricas de implantação de infraestrutura']",,,,,,,,,,none
ipcc_0013,Tecnologias de Células a Combustível,{mitigation},,{transportation},{on-road},{ghg_reduction},"Uso da tecnologia de célula de combustível para alimentar veículos convertendo hidrogênio em eletricidade através de uma reação eletroquímica. Produz zero emissões no ponto de uso e água como subproduto. As células de combustível de hidrogênio são altamente eficientes, especialmente quando o hidrogênio é produzido a partir de fontes renováveis.",1,0,0,0,0,1,0,"Reduz emissões em áreas carentes e urbanas, oferecendo ar mais limpo e soluções de mobilidade sustentável para todas as comunidades.",,60-79,,,,,high,>10 years,"['Infraestrutura de produção de hidrogênio', 'disponibilidade de hidrogênio de baixo carbono', 'redução de custos em sistemas de células a combustível', 'políticas duradouras para apoiar a adoção']","['Participação de veículos a célula de combustível na frota de veículos', 'redução nas emissões de GEE por quilômetro', 'implantação de estações de abastecimento de hidrogênio', 'paridade de custo com veículos a diesel']",,,,,,,,,,none
