"EVALUACIÓN DE VIABILIDAD MUNICIPAL — ACCIONES DE MITIGACIÓN CLIMÁTICA / SECTOR ENERGÍA — TRAMO 2 (GENERACIÓN, REDES E INDUSTRIA)",,,,
"CÓMO LEER: Puntaje Total (0–100) = Legal×40% + Gobernanza×30% + Financiamiento×30%  |  ≥75 = Viable  |  40–74 = Viable con condiciones  |  <40 = Baja viabilidad actual  |  Ver pestaña ""Evaluación"" para desglose por componente, sub-criterio y referencias normativas",,,,
Código,Acción,Ámbito territorial,"Puntaje
Total
(0–100)",Justificación integrada — mecanismo jurídico principal y conclusión analítica
icare_0006,Desarrollar microrredes solares-batería para zonas rurales y periurbanas,Comunas rurales y periurbanas sin acceso pleno a la red eléctrica,54.3,"Mecanismo: contraparte ejecutora del PER (Ley 20.936 + Ley 21.185 + Ley 18.695). El municipio actúa como ejecutor local del Programa de Electrificación Rural del Ministerio de Energía, instalando microrredes solares-batería en zonas rurales y periurbanas sin acceso pleno a la red. Viable con condiciones: competencia compartida, requiere coordinación con el Ministerio de Energía y capacidad técnica especializada."
icare_0008,Habilitar integración de red inteligente y almacenamiento energético distribuido,Comunas con capacidad de coordinación con distribuidoras eléctricas,16.8,"Mecanismo: no existe competencia municipal directa sobre redes inteligentes. La regulación del sistema eléctrico inteligente es íntegramente de la CNE y las distribuidoras (Ley 20.936 + Ley 18.410). El municipio puede participar como sujeto piloto de gestión de demanda en sus instalaciones propias, pero no puede liderar ni operar sistemas de smart grid. Baja viabilidad municipal actual."
icare_0024,Integrar energías renovables en sistemas municipales de agua,Comunas con sistemas de agua potable rural (APR) propios,54.3,"Mecanismo: contraparte APR rural (DFL 382/1988 + Ley 20.936 + Ley 18.695). El municipio apoya la instalación de sistemas ERNC en los sistemas de agua potable rural (APR) de su territorio, en coordinación con la DOH y los Comités APR. Para sistemas urbanos: sin competencia. Viable con condiciones, acotado al contexto rural APR y dependiente de la DOH/MOP."
icare_0027,Crear programas de financiamiento para proyectos locales de energía renovable,Todas las comunas,68.5,"Mecanismo: fondo concursable municipal de subvenciones (Ley 18.695 art. 5° y 6°). El municipio crea un fondo local para financiar proyectos de energía renovable de vecinos, organizaciones comunitarias y pequeñas empresas locales. Requiere acuerdo del Concejo Municipal para la asignación de recursos. Viable con condiciones: potestad habilitada, depende de capacidad presupuestaria y voluntad del Concejo."
icare_0049,Desarrollar centros regionales de producción de energía renovable,Comunas con potencial de generación renovable a escala regional,4.0,"Mecanismo: no existe — acción fuera del ámbito de competencia municipal. El desarrollo de centros regionales de ERNC corresponde al GORE y al Ministerio de Energía (DFL 1/2005 + Ley 20.936 + SEIA Ley 19.300). El municipio puede ceder suelo o ser contraparte local, pero no puede liderar esta acción. Baja viabilidad municipal."
icare_0104,Adoptar sistemas híbridos de energía renovable (solar-eólico),Comunas rurales o aisladas con potencial solar y eólico,54.3,"Mecanismo: instalación directa en activos propios + PER para escala rural (Ley 20.936 + Ley 21.185 + Ley 18.695 art. 5°). El municipio instala sistemas híbridos solar-eólico en sus dependencias y apoya instalaciones en APR rurales de su territorio a través del PER. Viable con condiciones: directa para activos propios, condicionada por coordinación con Ministerio de Energía para escala comunitaria."
icare_0105,Reducir pérdidas técnicas en redes de distribución eléctrica,No aplica — competencia de distribuidoras eléctricas,4.0,Mecanismo: no existe competencia municipal. La reducción de pérdidas técnicas en redes de distribución es competencia exclusiva de las distribuidoras eléctricas concesionarias bajo regulación de la CNE y SEC (Ley 18.410 + Ley 20.936). Baja viabilidad — acción fuera del ámbito de competencia municipal.
icare_0023,Actualizar y mantener subestaciones eléctricas,No aplica — competencia de distribuidoras y transmisoras,4.0,Mecanismo: no existe competencia municipal. Las subestaciones eléctricas son infraestructura de transmisoras y distribuidoras privadas bajo regulación de la CNE y la SEC (Ley 20.936 + Ley 18.410). Baja viabilidad — acción completamente fuera del ámbito de competencia municipal.
icare_0026,Implementar tarifas eléctricas de tiempo de uso para flexibilidad de demanda,No aplica — competencia de la CNE y distribuidoras,19.0,"Mecanismo: sin competencia regulatoria municipal. Las tarifas TOU son definidas por la CNE (Ley 20.936 + Ley 18.410). El municipio puede optimizar su propia gestión de demanda aprovechando las tarifas existentes, pero no puede crear ni modificar el esquema tarifario. Baja viabilidad — acción fuera del ámbito regulatorio municipal."
icare_0015,Promover mini y micro hidroeléctrica y energía de biomasa,Comunas rurales con recursos hídricos o forestales disponibles,54.3,"Mecanismo: promotor/ejecutor comunitario con concesión DGA (DFL 1122/1981 + Ley 20.936 + Ley 18.695). El municipio promueve y facilita proyectos de mini hidroeléctrica o biomasa en su territorio, gestionando la concesión de aguas ante la DGA y articulando el financiamiento del PER. Viable con condiciones: proceso normativo complejo con múltiples habilitantes previos (DGA, SEIA, CNE)."
