action_id,action_name,action_type,hazard_name,sector_names,subsector_names,primary_purpose,description,cobenefits_airquality,cobenefits_waterquality,cobenefits_habitat,cobenefits_costofliving,cobenefits_housing,cobenefits_mobility,cobenefits_stakeholderengagement,equity_and_inclusion_considerations,ghgreduction_stationary_energy,ghgreduction_transportation,ghgreduction_waste,ghgreduction_ippu,ghgreduction_afolu,adaptation_effectiveness,cost_investment_needed,timeline_for_implementation,dependencies,key_performance_indicators,powers_and_mandates,adaptation_effectiveness_droughts,adaptation_effectiveness_heatwaves,adaptation_effectiveness_floods,adaptation_effectiveness_sealevelrise,adaptation_effectiveness_landslides,adaptation_effectiveness_storms,adaptation_effectiveness_wildfires,adaptation_effectiveness_diseases,biome
ipcc_0001,Promote compact urban form and transit-oriented development,{mitigation},,{transport},{on_road},{},"Encourages compact and mixed-use urban development to reduce travel distances, car dependency, and related GHG emissions. Measures include transit-oriented development (TOD), zoning reforms, densification around transport corridors, and integration of land use and mobility planning. Particularly suited for larger cities with the capacity to update master plans and invest in transit infrastructure.",1,0,0,1,1,2,1,"Improves access to efficient, affordable transport options for underserved communities, reducing social and economic disparities.",,0-19,,,,,high,>10 years,Policy support for land-use planning\npublic acceptance\nreallocation of transport budgets towards sustainable modes,,,,,,,,,,,
ipcc_0023,Design products with lightweight materials,{mitigation},,{ippu},{industrial_processes},{},"This action involves improving material efficiency by designing lighter products, optimizing material usage to maintain functionality, and incorporating circular economy principles such as reusability, repairability, and recyclability. It spans the entire product lifecycle, from design to end-of-life management.",1,0,0,0,0,0,0,Supports equitable access to energy-efficient technologies and promotes sustainable practices in developing regions with high industrial emissions. Focuses on reducing resource competition and ensuring fair distribution of technological advancements.,,,,20-39,,,high,5-10 years,Availability of advanced technologies\nsupportive regulatory frameworks\ninvestment in research and development\nalignment with global standards for emissions reduction and energy efficiency,Reduction in industrial GHG emissions\nadoption rates of heat and energy recovery technologies\nenergy intensity improvements in key industries\nrecycling rates,,,,,,,,,,
ipcc_0024,Improve material utilization efficiency in production,{mitigation},,{ippu},{industrial_processes},{},"This action focuses on enhancing material efficiency by adopting near-net shape casting and similar innovative manufacturing techniques. These methods reduce material wastage during production, improve yield from raw materials, and enhance energy efficiency by minimizing reprocessing. Strategies include optimizing product design, lightweighting, and improving recycling and reuse processes.",1,0,0,0,0,0,0,"Supports the equitable deployment of energy-efficient technologies in developing economies, ensuring fair access to resources and reducing environmental pollution in industrial regions.",,,,20-39,,,high,5-10 years,Availability of advanced fuel delivery systems\nsupportive policy frameworks\ninvestment in R&D for alternative reductants\nindustry-wide adoption of optimized process controls and technologies,Reduction in GHG emissions from heating in steel production\nenergy intensity improvements\nincreased adoption rates of pulverized coal injection and alternative fuels\nreduced production of hazardous wastes,,,,,,,,,,
ipcc_0025,"Design for Recovery, Reuse, or Repurposing",{mitigation},,{ippu},{industrial_processes},{},"This action involves designing products to enable circular principles such as extended product life, reusability, repairability, and ease of recycling. It emphasizes lightweighting, material optimization, and improved recovery of materials at the end of their lifecycle through reuse, remanufacturing, or recycling.",1,0,0,0,0,0,0,"Ensures that efficient furnace technologies are accessible to industries in developing economies, reducing pollution and improving workplace safety.",,,,20-39,,,high,5-10 years,Availability of advanced furnace designs\nsupportive policies and incentives\nskilled workforce for installation and maintenance\nindustry-wide adoption of energy-efficient technologies,Reduction in energy intensity\nGHG emissions\nhazardous waste production\nincreased adoption of advanced furnaces\nprocess controls,,,,,,,,,,
ipcc_0026,Adopt alternative feedstocks in industrial production,{mitigation},,{ippu},{industrial_processes},{},"Utilizing alternative feedstocks, such as blast furnace slag, fly ash, and pozzolans, to reduce the clinker-to-cement ratio in cement production. These alternatives lower emissions associated with calcination and energy-intensive processes. Improved material efficiency through high-strength concretes and innovative placement methods further reduces material usage.",1,0,0,0,0,0,0,"Ensures that advanced heat recovery technologies are accessible to small and medium industries, particularly in developing regions, helping them reduce energy costs and emissions.",60-79,,,40-59,,,high,5-10 years,Availability of advanced heat recovery technologies and pumps\nskilled workforce for installation and maintenance\npolitical support for the adoption of waste heat recovery systems\nInvestment in infrastructure to capture and redirect waste heat to meet other energy needs within the facility,Increase in waste heat recovery rate\nreduction in energy intensity\npercentage of heat reused through high-efficiency systems,,,,,,,,,,
ipcc_0028,"Behavioral Changes for Reduced Waste (e.g., Food)",{mitigation},,{ippu},{industrial_processes},{},"Encouraging behavioral changes to reduce waste in industrial processes and consumer habits, particularly in food production and consumption. This includes reducing food waste through better planning, optimizing portion sizes, and improving recycling and reuse practices in production and post-consumption stages.",0,0,0,0,0,0,0,"Promotes equitable access to efficient technologies for small-scale mining operations, reducing energy costs and environmental impacts for vulnerable communities dependent on mining activities.",,,,20-39,,,high,5-10 years,Development of advanced comminution and ore sorting technologies\navailability of renewable energy sources for power generation\npolicy support to incentivize adoption,Reduction in energy consumption per ton of ore processed\nimprovement in ore recovery ratio\nreduction in GHG emissions from mining operations,,,,,,,,,,
ipcc_0031,Enhanced product service levels per product (e.g. product sharing),{mitigation},,{ippu},{industrial_processes},{},"Promotes more intensive use of durable products by encouraging product sharing, which reduces the demand for new products and the associated GHG emissions from their manufacturing and supply chain.",0,0,0,0,0,1,1,"Facilitates access to energy-efficient technologies for small and medium enterprises, ensuring equitable participation in energy-saving initiatives.",,,,20-39,,,high,5-10 years,Availability of advanced technologies like sensors and machine learning systems\nadequate digital infrastructure\nsupportive policies for energy efficiency adoption,Reduction in energy use\ncost savings per production cycle\npercentage improvement in process efficiency,,,,,,,,,,
ipcc_0033,Improve product maintenance to extend lifespan,{mitigation},,{ippu},{industrial_processes},{},Extending the lifespan of buildings and infrastructure by maintaining their structural integrity through improved product stock maintenance. This involves ensuring concrete structures remain functional for over 200 years.,1,0,0,0,0,0,0,"Promotes equitable access to advanced electrification technologies and training for workforce, ensuring participation from underserved industrial sectors.",,,,40-59,,,high,5-10 years,Availability of low-carbon electricity\ndevelopment of suitable anode materials\ninfrastructure for large-scale electrification in steel production,Reduction in emissions per ton of steel produced\nincrease in the share of electrified processes\nenergy savings in production stages,,,,,,,,,,
ipcc_0034,Promote consumer behavior focused on sufficiency and reduced consumption,{mitigation},,{ippu},{industrial_processes},{},"Promotes behavioral and consumption changes to reduce overall industrial emissions, emphasizing reduced demand for products, reuse and recycling, and more efficient use of resources.",0,0,0,0,0,0,0,"Ensures access to energy recovery technologies for smaller manufacturers, promoting wider adoption across industries and geographies.",,,,40-59,,,high,5-10 years,Availability of advanced heat recovery technologies\nskilled workforce for installation and operation\nsupportive policies and funding incentives,Reduction in energy consumption per ton of product\nincrease in waste energy recovery rates\ndecrease in GHG emissions intensity in industrial processes,,,,,,,,,,
ipcc_0037,Adopt net-zero-emissions materials and supply chains,{mitigation},,{ippu},{industrial_processes},{},"Transition to net-zero embodied carbon in construction by substituting emissions-intensive materials (e.g., steel, concrete) with engineered timber systems (including mass timber for mid-rise buildings) and by integrating circular practices (reuse, recycling, design for disassembly). Prioritize certified sustainable forestry (e.g., FSC/PEFC), cascading use, and no-deforestation safeguards, ensuring timber use does not conflict with energy feedstocks. Use lifecycle assessment to guide material choices and supply-chain improvements.",1,0,0,0,0,0,0,"Supports equitable industrial development by promoting access to cleaner technologies, especially for industries in developing regions, to reduce emissions without compromising economic growth.",,,,40-59,,,high,>10 years,Requires advancements in CCS and CCU technologies\navailability of low-GHG electricity\nsupportive policies to incentivize industrial decarbonization,Reduction in GHG emissions from industrial processes\nincrease in the use of low-carbon feedstocks\nthe number of CCS/CCU projects implemented,,,,,,,,,,
ipcc_0038,Stimulate solar energy production in industrial facilities,{mitigation},,{ippu},{industrial_processes},{},Encourage the installation of solar energy systems in factories to reduce dependence on fossil fuels and minimize associated emissions.,1,0,0,0,0,0,0,"Ensures that benefits from CCU technologies are accessible to low-income regions, including reduced costs of building materials and fuels.",,,,20-39,,,high,5-10 years,Availability of clean energy for hydrogen production\ndevelopment of CCU technologies\npolicies to support adoption,Quantity of CO2 captured and reused\nreduction in emissions per ton of product\nmarket penetration of CCU-derived products,,,,,,,,,,
ipcc_0039,Promote the substitution of traditional materials with sustainable alternatives,{mitigation},,{ippu},{industrial_processes},{},"Stimulate the replacement of conventional materials in consumer goods with alternatives from Brazil's bioeconomy, such as sugarcane-based bioplastics, high-quality recycled polymers, bio-textiles made from biomass fibers or agricultural waste such as açaí seeds and coconut husks.",1,0,0,0,0,0,0,"Supports equitable transition by providing decarbonization pathways for energy-intensive and hard-to-abate industries, ensuring jobs and economic stability in regions dependent on these sectors.",,,,40-59,,,high,>10 years,Requires the development of CO2 transport and storage infrastructure\nsupportive policy frameworks\nsufficient clean energy for capture processes\nincentives for adoption,Amount of CO2 captured and stored annually\npercentage reduction in industrial emissions\noperational capacity of CCS projects globally,,,,,,,,,,
ipcc_0040,Promote industry-government collaborations on emissions reduction,{mitigation},,{ippu},{industrial_processes},{},Foster collaborations between industry and government to create policies and incentives for reducing industrial emissions and supporting sustainability goals.,0,0,0,0,0,0,0,"Promotes access to durable, affordable products for underserved communities and reduces waste in resource-constrained regions.",,,,40-59,,,medium,5-10 years,Availability of advanced materials\nsupportive policies for circular economy\nstakeholder collaboration across supply chains\ninvestment in R&D for lightweight materials\nhigh-efficiency design methods,Reduction in material usage per product\nincrease in product lifespan\npercentage of materials recovered and reused\nreduction in GHG emissions from production processes,,,,,,,,,,
ipcc_0041,Support research into carbon-neutral manufacturing technologies,{mitigation},,{ippu},{industrial_processes},{},Invest in research and development of carbon-neutral technologies and encourage their adoption in industrial production.,0,0,0,0,0,0,0,"Promotes access to advanced material-efficient technologies for industries of all scales, enabling smaller enterprises to participate in sustainable manufacturing practices.",,,,20-39,,,medium,5-10 years,Availability of advanced manufacturing technologies\nworkforce training\nsupportive regulations\naccess to materials for near-net shape casting,Reduction in material waste\nincrease in production yield\nreduction in GHG emissions per unit of material produced,,,,,,,,,,
