ActionID,record_id,document_id,record_type,source_native_id,relationship,match_relevance,explicitness,match_confidence,evidence_strength,evidence_text_pt,evidence_text_en,supporting_resources_en,supporting_indicators_en,pdf_page_start,pdf_page_end,match_rationale_en,review_status
ipcc_0096,br-ena-2025:target-9,br-ena-2025,target,9,targets,high,explicit,high,0.8500,"ampliar a adoção de sistemas de produção agropecuária diversificados, sustentáveis e resilientes, em 72,68 milhões de hectares.","By 2030, expand the adoption of diversified, sustainable and resilient agricultural production systems to 72.68 million hectares.",[],"[""Number of hectares with adoption of Sustainable Production Systems, Practices, Products and Processes (SPSabc), with the exception of Intensive Termination (number of animals) and Animal Waste Management."", ""Number of hectares of family farming units with agroecological production.""]",79,79,"The national target quantifies adoption of diversified, sustainable, and resilient agricultural production systems.",pilot_proposed
ipcc_0096,br-secadp-agricultura-pecuaria-2026:m1,br-secadp-agricultura-pecuaria-2026,target,M1,targets,high,explicit,high,0.8500,"Incrementar, em 10% ao ano, o valor total financiado em linhas de crédito que promovam a resiliência dos sistemas agropecuários de produção, até 2035, tendo como linha de base as análises do DFIN/SPA/MAPA para a safra 2021/22, no total de R$ 118 milhões","Increase, in 10% per year, the total amount financed on credit lines that promote the resilience of agricultural production systems, up to 2035, based on the analyses of DFIN/SPA/MAPA for the 2021 / 22 harvest, total of R$ 118 million",[],"[""Annual percentage increase of the total value made available.""]",43,43,The sector target increases financing for credit lines that promote resilient agricultural production systems.,pilot_proposed
ipcc_0096,br-secadp-agricultura-pecuaria-2026:a1-m1,br-secadp-agricultura-pecuaria-2026,action,A1.M1,funds,high,explicit,high,0.8500,"Ampliação do crédito para ações que promovam a resiliência dos sistemas agropecuários, dentro de uma abordagem integrada de paisagem","Extension of credit for actions that promote the resilience of agricultural systems, within an integrated landscape approach","[""Programme 1144 – Sustainable Agriculture; Specific objective 0033 – Extend producer access to Rural Credit; Specific objective 0007 – Extending rural producer access to climate risk mitigation instruments; Specific objective 0036 – Extend the official information available to the society of actions that promote the increase of sustainability. Program 1191 – Family Agriculture and Agroecology; Specific objective 0321 – Improve Rural Credit, focusing on food production, agroecology and sociobiodiversity; Specific objective 0324 –Safra-Guarantee – Ensure family farmers guarantee protection of production due to crop loss; Specific objective 0325 – Promote access to Ater services for family farmers, in line with the principles of Pnater and in accordance with priority demands and strategic policies for Family Agriculture (such as productive inclusion, agroecology, economic and production autonomy, family livestock and others); Specific objective 0326 – Promote the training of Ater agents, providing the updating of knowledge and the improvement of different approaches, methods and methodologies, to qualify the services offered in accordance with Pnater principles and guidelines.""]","[""Credit for the promotion of resilience in funded rural properties (million reais).""]",43,65,The action expands credit for agricultural-system resilience within an integrated landscape approach.,pilot_proposed
ipcc_0096,br-secadp-agricultura-pecuaria-2026:a1-m6,br-secadp-agricultura-pecuaria-2026,action,A1.M6,commits,high,explicit,high,1.0000,Ampliação do uso de práticas de aquicultura mais resilientes às variações climáticas,Extension of the use of aquaculture practices that are more resilient to climate variations,"[""Programme 1144 – Sustainable Agriculture; Specific objective 0007 – Extending rural producer access to climate risk mitigation instruments; Specific objective 0036 – Extend the official information available to the society of actions that promote increased sustainability; Specific objective 0175 – Promote and expand the sustainability of agricultural production and family livestock; Specific objective 0185 – Promoting sustainable use of forests and forest production chains in agricultural production areas (in private properties); Specific Objective 0187 – Expand and diversify agricultural production and beekeeping, fruit farming and family farming, adding value to their products and services. 5801 Programme – Sustainable Fisheries and Aquaculture; Specific objective 0389 – Promoting the appreciation of national fish and increasing aquaculture production. 2303 Programme – Agricultural Research and Innovation; Specific objective 0037 – Increase the sharing, application and generation of technical-scientific knowledge to overcome the economic, social and environmental challenges of the agricultural, agroindustrial and forestry sectors; Specific objective 0038 – Expand the actions of PD & I, in partnership with agents of national and international innovation ecosystems, to face the challenges of the future of the agricultural, agroindustrial and forestry sectors.""]","[""Sustainable aquaculture systems expanded (in production units), adoption of monitoring systems and precision techniques in aquaculture.""]",55,73,The action expands aquaculture practices that are resilient to climate variability.,pilot_proposed
ipcc_0091,br-secadp-seguranca-alimentar-2026:m16,br-secadp-seguranca-alimentar-2026,target,M16,targets,medium,inferred,high,0.5100,"Até 2031, ampliar a cobertura do Programa Fomento Rural, contemplando todos os estados com programas específicos de adaptação à mudança do clima, promovendo o acompanhamento familiar para inclusão social e produtiva, a segurança alimentar e a geração de renda","Until 2031, expand the coverage of the Rural Development Program, contemplating all states with specific programs to adapt to climate change, promoting family monitoring for social and productive inclusion, food security and income generation",[],"[""Number of families attended.""]",47,47,"The target expands climate-adaptation rural-development programmes that support productive inclusion and income generation, but does not focus on fisheries-dependent households or alternative sectors.",pilot_proposed
ipcc_0091,br-secadp-agricultura-familiar-2026:m38,br-secadp-agricultura-familiar-2026,target,M38,targets,medium,inferred,medium,0.3315,"Atender 1.550 famílias indígenas, quilombolas, e povos e comunidades tradicionais com projetos de etnodesenvolvimento para segurança alimentar e geração de renda, até 2027","Attend 1.550 indigenous families, quilombolas, and traditional peoples and communities with ethnodevelopment projects for food security and income generation, up to 2027",[],"[""Percentage of indigenous families, quilombolas and traditional communities served with ethnodevelopment projects, in relation to the target of 1.550 families, until 2027.""]",38,38,"Ethnodevelopment projects support food security and income generation for traditional families, providing an indirect livelihood-diversification pathway.",pilot_proposed
ipcc_0091,br-secadp-agricultura-familiar-2026:m40,br-secadp-agricultura-familiar-2026,target,M40,targets,medium,inferred,medium,0.3315,"Fortalecer 293 organizações de povos indígenas, quilombolas, PCT e de agricultores/as familiares na Amazônia em práticas de geração de renda e autonomia de organizações extrativistas, até 2031","Strengthen 293 organizations of indigenous peoples, quilombolas, PCT and family farmers in the Amazon in practices of income generation and autonomy of extractive organizations, until 2031",[],"[""Percentage of organizations of indigenous peoples, quilombolas, PCTs and family farmers in the Amazon in income generation and autonomy practices of strengthened extractive organizations, in relation to the goal of 293 organizations, until 2031.""]",39,39,"The target strengthens income generation and economic autonomy among traditional and family-producer organizations, but does not explicitly address climate-affected fishing livelihoods.",pilot_proposed
icare_0145,br-secadp-saude-2026:o2,br-secadp-saude-2026,objective,O2,prioritizes,high,explicit,high,0.5500,"Aprimorar a capacidade de Atenção à Saúde para garantir o atendimento dos serviços de saúde, incluindo a preparação de infraestruturas e equipes resilientes para lidar com os efeitos negativos da mudança do clima.","Improve the capacity of Health Care to ensure the care of health services, including the preparation of resilient infrastructure and teams to deal with the negative effects of climate change.",[],[],61,61,The health-sector objective explicitly prepares resilient infrastructure and teams to maintain care under climate impacts.,pilot_proposed
icare_0145,br-secadp-saude-2026:a8-m2,br-secadp-saude-2026,action,A8.M2,commits,high,explicit,high,1.0000,"Orientar e apoiar o desenvolvimento de um plano estratégico de enfrentamento da mudança do clima no setor hospitalar, com foco na adaptação da infraestrutura, segurança dos pacientes e resiliência das unidades de saúde, visando mitigar os impactos da mudança do clima, até 2026.","To guide and support the development of a strategic plan to cope with climate change in the hospital sector, focusing on adapting the infrastructure, patient safety and resilience of health units, aiming to mitigate the impacts of climate change, until 2026.","[""Program 5118 - Specialized Health Care; Program 5123 – Health and Environment Surveillance; 8535 – Structure of specialized health care units.""]",[],56,56,"The action supports a hospital-sector climate plan covering infrastructure adaptation, patient safety, and resilient health units.",pilot_proposed
icare_0145,br-secadp-saude-2026:m7,br-secadp-saude-2026,target,M7,targets,high,explicit,high,0.8500,"Assegurar a resiliência do Sistema Único de Saúde (SUS) frente aos eventos climáticos extremos, até 2031, em 100% dos territórios mais vulneráveis à mudança do clima: Priorizando grupos vulneráveis e vulnerabilizados, em particular Povos e Comunidades Tradicionais, povos indígenas, quilombolas e periféricos; garantindo a integralidade da atenção à saúde em seus diferentes níveis – primária, secundária e terciária – bem como na vigilância e na promoção da saúde, em especial em áreas com populações vulneráveis e vulnerabilizadas; assegurando a conectividade e gestão dos sistemas de informações de saúde; garantindo a operacionalização de: Rede de Atenção à Saúde; Rede de Frio do Programa Nacional de Imunizações; Rede de Laboratórios do SUS; Assistência Farmacêutica (Básica, Estratégica e Especializada); Telessaúde; Complexo Econômico Industrial da Saúde (CEIS)","Ensure the resilience of the Unified Health System (SUS) against extreme climate events, up to 2031, in 100% of the territories most vulnerable to climate change: Prioritizing vulnerable and vulnerable groups, in particular Traditional Peoples and Communities, indigenous peoples, quilombolas and peripherals; ensuring comprehensive health care at its different levels – primary, secondary and tertiary – as well as health surveillance and promotion, especially in areas with vulnerable and vulnerable populations; ensuring connectivity and management of health information systems; ensuring the operationalization of: Health Care Network; Cold Network of the National Immunization Program; Network of laboratories of SUS; Pharmaceutical Assistance (Basic, Strategic and Specialized); Telehealth; Industrial Economic Complex of Health (CEIS)",[],"[""% of priority municipalities covered by the strategy to strengthen the capacity of preparation, surveillance and response to Public Health Emergencies caused by extreme climatic events;% of territories more vulnerable to climate change prepared to act in climate emergency;% of vulnerable or vulnerable population with guaranteed care in climate emergencies; Proportion of health units in areas affected by extreme climatic events that remain operational, by health region.""]",61,61,The target requires SUS resilience against extreme climate events in all territories identified as most vulnerable.,pilot_proposed
