action_id,action_name,cost_band,prep_complexity,locode,name,cod_mun,uf,capag,credit_screen,finance_push_score,finance_push_bucket,funding_gap,routes_open,own_city_awards_any,own_city_awards_matched,own_city_award_detail,state_matched_awards,national_matched_awards,national_matched_median_brl,options_available
c40_0046,Strengthen coastal protection infrastructure,high,high,BR CXL,Caxias do Sul,4305108,RS,A+,credit_screen_pass,9,established,own_budget_or_credit_feasible,A-grant A-credit C B E,1,0,Novo PAC 2025 — Prevenção a Desastres (encostas): Novo PAC 2025 encostas — Caxias Do Sul (R$1.2M),13,217,32818739.0,"Novo PAC Prevenção a Desastres (OGU grant arm / FGTS financing; city can formulate directly) | MDB operation via COFIEX (Union guarantee open at this CAPAG; climate precedents: Palmas, Fortaleza, Joinville) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory) | MIDR/Sedec civil-defence transfers on declared emergency"
c40_0046,Strengthen coastal protection infrastructure,high,high,BR MGE,Maranguape,2307700,CE,C,credit_screen_fail_fiscal,9,established,needs_external_cofinance,A-grant B E,0,0,,8,217,32818739.0,Novo PAC Prevenção a Desastres (OGU grant arm / FGTS financing; city can formulate directly) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory) | MIDR/Sedec civil-defence transfers on declared emergency
c40_0046,Strengthen coastal protection infrastructure,high,high,BR RIO,Rio de Janeiro,3304557,RJ,B,credit_screen_pass,11,extensive,own_budget_or_credit_feasible,A-grant A-credit C B E,1,1,Novo PAC 2025 — Prevenção a Desastres (drenagem): Novo PAC 2025 drenagem — Municipio De Rio De Janeiro (R$150.0M),20,217,32818739.0,"Novo PAC Prevenção a Desastres (OGU grant arm / FGTS financing; city can formulate directly) | MDB operation via COFIEX (Union guarantee open at this CAPAG; climate precedents: Palmas, Fortaleza, Joinville) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory) | MIDR/Sedec civil-defence transfers on declared emergency"
c40_0046,Strengthen coastal protection infrastructure,high,high,BR BCA,Barcarena,1501303,PA,n.d.,credit_screen_unknown,10,extensive,needs_external_cofinance,A-grant B E,1,1,Novo PAC 2025 — Prevenção a Desastres (drenagem): Novo PAC 2025 drenagem — Municipio De Barcarena (R$13.4M),31,217,32818739.0,Novo PAC Prevenção a Desastres (OGU grant arm / FGTS financing; city can formulate directly) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory) | MIDR/Sedec civil-defence transfers on declared emergency
c40_0046,Strengthen coastal protection infrastructure,high,high,BR CMA,Cametá,1502103,PA,C,credit_screen_fail_information_quality,9,established,needs_external_cofinance,A-grant B,0,0,,31,217,32818739.0,Novo PAC Prevenção a Desastres (OGU grant arm / FGTS financing; city can formulate directly) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory)
c40_0046,Strengthen coastal protection infrastructure,high,high,BR PES,Petrópolis,3303906,RJ,n.d.,credit_screen_unknown,11,extensive,needs_external_cofinance,A-grant B E,3,1,Novo PAC 2025 — Prevenção a Desastres (drenagem): Novo PAC 2025 drenagem — Municipio De Petropolis (R$50.0M),20,217,32818739.0,Novo PAC Prevenção a Desastres (OGU grant arm / FGTS financing; city can formulate directly) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory) | MIDR/Sedec civil-defence transfers on declared emergency
c40_0046,Strengthen coastal protection infrastructure,high,high,BR FOR,Fortaleza,2304400,CE,B+,credit_screen_pass,11,extensive,own_budget_or_credit_feasible,A-grant A-credit C B E,2,1,Novo PAC 2025 — Prevenção a Desastres (drenagem): Novo PAC 2025 drenagem — Municipio De Fortaleza (R$103.3M),8,217,32818739.0,"Novo PAC Prevenção a Desastres (OGU grant arm / FGTS financing; city can formulate directly) | MDB operation via COFIEX (Union guarantee open at this CAPAG; climate precedents: Palmas, Fortaleza, Joinville) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory) | MIDR/Sedec civil-defence transfers on declared emergency"
c40_0046,Strengthen coastal protection infrastructure,high,high,BR CME,Camaragibe,2603454,PE,A+,credit_screen_pass,8,established,own_budget_or_credit_feasible,A-grant A-credit C B E,2,0,Novo PAC 2025 — Prevenção a Desastres (encostas): Novo PAC 2025 encostas — Camaragibe (R$7.4M); COFIEX — CAF: Desenvolvimento e Mobilidade Urbana de Camaragibe (R$50.0M),9,217,32818739.0,"Novo PAC Prevenção a Desastres (OGU grant arm / FGTS financing; city can formulate directly) | MDB operation via COFIEX (Union guarantee open at this CAPAG; climate precedents: Palmas, Fortaleza, Joinville) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory) | MIDR/Sedec civil-defence transfers on declared emergency"
c40_0048,Upgrade urban drainage systems,medium,high,BR CXL,Caxias do Sul,4305108,RS,A+,credit_screen_pass,9,established,own_budget_or_credit_feasible,A-grant A-credit C B E,1,0,Novo PAC 2025 — Prevenção a Desastres (encostas): Novo PAC 2025 encostas — Caxias Do Sul (R$1.2M),13,212,32566719.0,"Novo PAC Prevenção a Desastres (OGU grant arm / FGTS financing; city can formulate directly) | MDB operation via COFIEX (Union guarantee open at this CAPAG; climate precedents: Palmas, Fortaleza, Joinville) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory) | MIDR/Sedec civil-defence transfers on declared emergency"
c40_0048,Upgrade urban drainage systems,medium,high,BR MGE,Maranguape,2307700,CE,C,credit_screen_fail_fiscal,9,established,needs_external_cofinance,A-grant B E,0,0,,8,212,32566719.0,Novo PAC Prevenção a Desastres (OGU grant arm / FGTS financing; city can formulate directly) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory) | MIDR/Sedec civil-defence transfers on declared emergency
